step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,1.58102,"{""ntp"": 0.5732086300849915, ""mtp"": 1.007814884185791}",0.00000,0.00391,0.00761,25.39,1.00e-03,135105
400,0.95692,"{""ntp"": 0.20882265269756317, ""mtp"": 0.7480990886688232}",0.00391,0.28516,0.56581,40.21,9.94e-04,137841
600,0.75621,"{""ntp"": 0.17054036259651184, ""mtp"": 0.5856649279594421}",0.04688,0.45312,0.81142,49.90,9.76e-04,139034
800,0.63726,"{""ntp"": 0.14908963441848755, ""mtp"": 0.48816946148872375}",0.04297,0.48437,0.92853,56.47,9.46e-04,139872
1000,0.54323,"{""ntp"": 0.13472481071949005, ""mtp"": 0.4085087478160858}",0.11719,0.64844,0.94105,59.64,9.05e-04,140428
1200,0.50330,"{""ntp"": 0.12690511345863342, ""mtp"": 0.3763991594314575}",0.15234,0.64974,0.95754,64.48,8.55e-04,140747
1400,0.47912,"{""ntp"": 0.12444882839918137, ""mtp"": 0.3546738028526306}",0.20703,0.69531,0.97630,66.45,7.96e-04,140770
1600,0.43660,"{""ntp"": 0.11247257143259048, ""mtp"": 0.32412272691726685}",0.20312,0.67969,0.98299,66.14,7.31e-04,140838
1800,0.41896,"{""ntp"": 0.10961662232875824, ""mtp"": 0.30934199690818787}",0.27734,0.75521,0.98743,68.14,6.60e-04,140834
2000,0.40312,"{""ntp"": 0.10565482825040817, ""mtp"": 0.29746976494789124}",0.33984,0.78776,0.98193,66.52,5.87e-04,140945
2200,0.38808,"{""ntp"": 0.10028864443302155, ""mtp"": 0.28779277205467224}",0.45312,0.83073,0.99208,66.30,5.13e-04,141117
2400,0.38843,"{""ntp"": 0.10511473566293716, ""mtp"": 0.2833200693130493}",0.53125,0.85026,0.99008,66.00,4.40e-04,141282
2600,0.36343,"{""ntp"": 0.0960635393857956, ""mtp"": 0.26736512780189514}",0.60938,0.89193,0.98880,64.94,3.69e-04,141420
2800,0.35380,"{""ntp"": 0.09514902532100677, ""mtp"": 0.25864753127098083}",0.69531,0.91536,0.99899,64.18,3.04e-04,141539
3000,0.34956,"{""ntp"": 0.09269601851701736, ""mtp"": 0.25686633586883545}",0.72656,0.92187,0.99369,64.99,2.45e-04,141643
3200,0.34172,"{""ntp"": 0.09110503643751144, ""mtp"": 0.2506176829338074}",0.76953,0.94531,0.99912,63.44,1.95e-04,141737
3400,0.33836,"{""ntp"": 0.09209561347961426, ""mtp"": 0.24626339972019196}",0.76172,0.93229,0.99808,63.08,1.54e-04,141824
3600,0.35643,"{""ntp"": 0.09904071688652039, ""mtp"": 0.25738880038261414}",0.82812,0.95182,1.00000,64.07,1.24e-04,141902
3800,0.33428,"{""ntp"": 0.09307554364204407, ""mtp"": 0.2412049025297165}",0.79297,0.94661,0.99880,64.81,1.06e-04,141972
4000,0.31707,"{""ntp"": 0.08633430302143097, ""mtp"": 0.23073652386665344}",0.81250,0.96224,0.99884,63.89,1.00e-04,142030
