step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.52876,"{""ntp"": 0.5287647247314453}",0.00000,0.00781,0.00692,23.64,1.00e-03,98399
400,0.14639,"{""ntp"": 0.14639461040496826}",0.42188,0.55469,0.53636,32.92,9.94e-04,100182
600,0.10434,"{""ntp"": 0.10434103012084961}",0.66797,0.84766,0.82010,36.79,9.76e-04,101531
800,0.09596,"{""ntp"": 0.09595713764429092}",0.69141,0.86719,0.83421,37.44,9.46e-04,101758
1000,0.08891,"{""ntp"": 0.08891083300113678}",0.70703,0.93750,0.89076,41.75,9.05e-04,101853
1200,0.08950,"{""ntp"": 0.08949603885412216}",0.74219,0.92969,0.90349,40.28,8.55e-04,101946
1400,0.07789,"{""ntp"": 0.0778852328658104}",0.80859,0.96484,0.94155,41.74,7.96e-04,102058
1600,0.08402,"{""ntp"": 0.08402437716722488}",0.81250,0.98047,0.95044,41.40,7.31e-04,102151
1800,0.07689,"{""ntp"": 0.07688557356595993}",0.85547,0.98828,0.95918,41.31,6.60e-04,102405
2000,0.06850,"{""ntp"": 0.0685032457113266}",0.87500,0.99609,0.97779,40.41,5.87e-04,102410
2200,0.06101,"{""ntp"": 0.06101471558213234}",0.83594,0.99219,0.96285,39.79,5.13e-04,102417
2400,0.07288,"{""ntp"": 0.07287532836198807}",0.85156,0.99219,0.96240,39.79,4.40e-04,102390
2600,0.06147,"{""ntp"": 0.061465248465538025}",0.89062,0.99609,0.97541,40.25,3.69e-04,102632
2800,0.05716,"{""ntp"": 0.057158321142196655}",0.90625,0.99219,0.97358,39.50,3.04e-04,102687
3000,0.05428,"{""ntp"": 0.05427566543221474}",0.89062,0.98828,0.97108,39.78,2.45e-04,103382
3200,0.05960,"{""ntp"": 0.059597887098789215}",0.91406,1.00000,0.98868,39.56,1.95e-04,103387
3400,0.06852,"{""ntp"": 0.06851771473884583}",0.95703,1.00000,0.99197,39.49,1.54e-04,103265
3600,0.05793,"{""ntp"": 0.057930368930101395}",0.95312,0.99609,0.98844,38.27,1.24e-04,103076
3800,0.05540,"{""ntp"": 0.05540316924452782}",0.94922,1.00000,0.99399,38.06,1.06e-04,102918
4000,0.05217,"{""ntp"": 0.05217473581433296}",0.94141,0.99609,0.98541,38.34,1.00e-04,103126
