step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
17600,0.27775,"{""ntp"": 0.12641941010951996, ""mtp"": 0.15133385360240936}",0.75391,0.89062,0.97151,11.56,1.00e-03,168618
18000,0.27824,"{""ntp"": 0.12712910771369934, ""mtp"": 0.1511113941669464}",0.66406,0.83594,0.95633,9.42,1.00e-03,168511
18400,0.27360,"{""ntp"": 0.12272153794765472, ""mtp"": 0.15088051557540894}",0.70703,0.82422,0.96082,11.66,1.00e-03,168536
18800,0.27255,"{""ntp"": 0.12361331284046173, ""mtp"": 0.14893192052841187}",0.73828,0.85156,0.96746,10.48,1.00e-03,168941
19200,0.26936,"{""ntp"": 0.1207461953163147, ""mtp"": 0.14860978722572327}",0.77734,0.91406,0.97258,9.39,1.00e-03,168957
19600,0.27627,"{""ntp"": 0.12537124752998352, ""mtp"": 0.15089499950408936}",0.71484,0.82812,0.96383,8.70,1.00e-03,168881
20000,0.26715,"{""ntp"": 0.12131629884243011, ""mtp"": 0.14583054184913635}",0.71875,0.86719,0.96878,9.44,1.00e-03,168811
20400,0.26062,"{""ntp"": 0.11364207416772842, ""mtp"": 0.1469811499118805}",0.70312,0.87500,0.96599,10.63,1.00e-03,168737
20800,0.28410,"{""ntp"": 0.12896855175495148, ""mtp"": 0.15513567626476288}",0.73047,0.84375,0.96735,10.58,1.00e-03,168672
21200,0.26966,"{""ntp"": 0.11960592120885849, ""mtp"": 0.15005189180374146}",0.72656,0.85156,0.96245,9.03,1.00e-03,168619
21600,0.26824,"{""ntp"": 0.12068718671798706, ""mtp"": 0.1475478708744049}",0.69531,0.81250,0.95748,10.41,1.00e-03,168568
22000,0.26941,"{""ntp"": 0.12138928472995758, ""mtp"": 0.1480172872543335}",0.73047,0.85547,0.96767,9.69,1.00e-03,168510
22400,0.26620,"{""ntp"": 0.12068025767803192, ""mtp"": 0.14551647007465363}",0.73828,0.86328,0.96660,8.65,1.00e-03,168450
22800,0.26283,"{""ntp"": 0.12007337808609009, ""mtp"": 0.14275912940502167}",0.70703,0.84375,0.95952,8.56,1.00e-03,168394
23200,0.26708,"{""ntp"": 0.11867626011371613, ""mtp"": 0.1484076827764511}",0.76562,0.89453,0.97229,8.60,1.00e-03,168384
23600,0.26819,"{""ntp"": 0.12012757360935211, ""mtp"": 0.14806042611598969}",0.78906,0.89844,0.97171,7.77,1.00e-03,168332
24000,0.26235,"{""ntp"": 0.11727356165647507, ""mtp"": 0.14507713913917542}",0.82422,0.91016,0.97900,7.66,1.00e-03,168315
24400,0.26253,"{""ntp"": 0.1173783615231514, ""mtp"": 0.14514775574207306}",0.76562,0.86719,0.96990,8.94,1.00e-03,168382
24800,0.26345,"{""ntp"": 0.1178504154086113, ""mtp"": 0.145602285861969}",0.76953,0.88672,0.97257,7.71,1.00e-03,168337
25200,0.26824,"{""ntp"": 0.12155550718307495, ""mtp"": 0.14667990803718567}",0.76953,0.91016,0.97222,7.01,1.00e-03,168287
25600,0.26921,"{""ntp"": 0.12023032456636429, ""mtp"": 0.14898140728473663}",0.79688,0.92188,0.97966,7.06,1.00e-03,168254
26000,0.26100,"{""ntp"": 0.11858009546995163, ""mtp"": 0.14242355525493622}",0.79688,0.87109,0.97523,7.50,1.00e-03,168205
26400,0.26427,"{""ntp"": 0.11935968697071075, ""mtp"": 0.1449151486158371}",0.81250,0.89844,0.97484,7.70,1.00e-03,168169
26800,0.25553,"{""ntp"": 0.11408539116382599, ""mtp"": 0.1414484679698944}",0.83203,0.92578,0.98028,7.27,1.00e-03,168117
27200,0.26287,"{""ntp"": 0.11815225332975388, ""mtp"": 0.14471575617790222}",0.80859,0.88281,0.96934,7.50,1.00e-03,168106
27600,0.26631,"{""ntp"": 0.12016323208808899, ""mtp"": 0.14614951610565186}",0.85156,0.92188,0.98146,7.19,1.00e-03,168018
28000,0.25343,"{""ntp"": 0.11209938675165176, ""mtp"": 0.1413320153951645}",0.80859,0.91406,0.97801,6.83,1.00e-03,167965
28400,0.26230,"{""ntp"": 0.11832689493894577, ""mtp"": 0.1439700871706009}",0.78516,0.87500,0.97241,6.62,1.00e-03,167963
28800,0.26028,"{""ntp"": 0.11825819313526154, ""mtp"": 0.14201992750167847}",0.80859,0.88281,0.97624,6.70,1.00e-03,167938
29200,0.26129,"{""ntp"": 0.11849632114171982, ""mtp"": 0.14278921484947205}",0.85156,0.92188,0.98063,6.54,1.00e-03,168301
29600,0.26160,"{""ntp"": 0.11679071187973022, ""mtp"": 0.14480867981910706}",0.78516,0.87109,0.97281,6.23,1.00e-03,168756
30000,0.26023,"{""ntp"": 0.11762304604053497, ""mtp"": 0.14260359108448029}",0.81250,0.88672,0.97901,6.94,1.00e-03,169171
30400,0.26189,"{""ntp"": 0.11901289224624634, ""mtp"": 0.14287462830543518}",0.84766,0.88672,0.97967,6.40,1.00e-03,169513
30800,0.26021,"{""ntp"": 0.11429651081562042, ""mtp"": 0.1459091603755951}",0.83984,0.92188,0.98115,5.55,1.00e-03,169903
31200,0.25399,"{""ntp"": 0.1131722629070282, ""mtp"": 0.1408204883337021}",0.85156,0.91016,0.97580,6.40,1.00e-03,170161
31600,0.25609,"{""ntp"": 0.11577177792787552, ""mtp"": 0.14031678438186646}",0.83594,0.89453,0.98008,6.73,1.00e-03,170191
32000,0.25848,"{""ntp"": 0.11689195036888123, ""mtp"": 0.14158731698989868}",0.78125,0.87891,0.97090,5.66,1.00e-03,170141
32400,0.25620,"{""ntp"": 0.11387716978788376, ""mtp"": 0.14232522249221802}",0.84766,0.91797,0.98236,5.25,1.00e-03,170087
32800,0.25486,"{""ntp"": 0.11513563245534897, ""mtp"": 0.1397271454334259}",0.83984,0.89062,0.98156,5.83,1.00e-03,170036
33200,0.25527,"{""ntp"": 0.11418523639440536, ""mtp"": 0.1410829871892929}",0.80859,0.89453,0.97643,5.55,1.00e-03,169985
33600,0.26175,"{""ntp"": 0.11784646660089493, ""mtp"": 0.14389941096305847}",0.83203,0.91406,0.97961,5.87,1.00e-03,169942
34000,0.25584,"{""ntp"": 0.11271055042743683, ""mtp"": 0.1431288719177246}",0.84375,0.91016,0.97980,4.96,1.00e-03,169893
34400,0.25236,"{""ntp"": 0.11179988086223602, ""mtp"": 0.1405620574951172}",0.82422,0.91016,0.97766,5.25,1.00e-03,170005
34800,0.25110,"{""ntp"": 0.11289044469594955, ""mtp"": 0.1382078379392624}",0.82031,0.92188,0.97713,4.97,1.00e-03,170282
35200,0.25634,"{""ntp"": 0.11411652714014053, ""mtp"": 0.14222818613052368}",0.82031,0.91016,0.97554,5.08,1.00e-03,170561
35600,0.25047,"{""ntp"": 0.11284473538398743, ""mtp"": 0.13762247562408447}",0.86719,0.94531,0.98524,5.04,1.00e-03,170821
36000,0.25833,"{""ntp"": 0.11758963763713837, ""mtp"": 0.14074096083641052}",0.87891,0.92969,0.98402,5.37,1.00e-03,170851
36400,0.25775,"{""ntp"": 0.1158442422747612, ""mtp"": 0.14190617203712463}",0.85938,0.93359,0.98270,4.93,1.00e-03,171138
36800,0.26057,"{""ntp"": 0.11760800331830978, ""mtp"": 0.1429593414068222}",0.82812,0.92188,0.98114,4.79,1.00e-03,171447
