step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.69193,"{""ntp"": 1.1090431213378906, ""mtp"": 0.5828820466995239}",0.00000,0.00000,0.06545,4.80,1.00e-03,189782
400,1.41494,"{""ntp"": 0.8961268067359924, ""mtp"": 0.5188133716583252}",0.00000,0.42969,0.13157,10.81,9.94e-04,193979
600,1.16546,"{""ntp"": 0.721099317073822, ""mtp"": 0.4443560242652893}",0.00000,0.87500,0.15994,18.01,9.76e-04,196153
800,1.10806,"{""ntp"": 0.6744480729103088, ""mtp"": 0.4336153566837311}",0.00000,0.99609,0.15108,23.03,9.46e-04,197584
1000,1.06103,"{""ntp"": 0.6400769948959351, ""mtp"": 0.4209579527378082}",0.00000,0.99609,0.20202,27.61,9.05e-04,197595
1200,0.66672,"{""ntp"": 0.2565852701663971, ""mtp"": 0.4101375639438629}",0.00781,0.41406,0.73206,30.28,8.55e-04,197703
1400,0.61255,"{""ntp"": 0.24349163472652435, ""mtp"": 0.36905577778816223}",0.01562,0.25781,0.75010,28.14,7.96e-04,197609
1600,0.54720,"{""ntp"": 0.22066280245780945, ""mtp"": 0.3265414834022522}",0.03516,0.35938,0.77231,23.65,7.31e-04,197616
1800,0.46754,"{""ntp"": 0.20583167672157288, ""mtp"": 0.26170963048934937}",0.06250,0.35156,0.78878,19.89,6.60e-04,197567
2000,0.43010,"{""ntp"": 0.19073736667633057, ""mtp"": 0.23935794830322266}",0.09766,0.44922,0.84363,19.86,5.87e-04,198359
2200,0.40348,"{""ntp"": 0.18046192824840546, ""mtp"": 0.22301606833934784}",0.12500,0.41016,0.83256,18.28,5.13e-04,198325
2400,0.37458,"{""ntp"": 0.1659836620092392, ""mtp"": 0.2085951864719391}",0.22266,0.51172,0.87776,16.86,4.40e-04,198202
2600,0.37288,"{""ntp"": 0.16953125596046448, ""mtp"": 0.20334571599960327}",0.14453,0.50391,0.85325,16.13,3.69e-04,197813
2800,0.35601,"{""ntp"": 0.1607535034418106, ""mtp"": 0.1952587068080902}",0.15234,0.46094,0.83991,15.67,3.04e-04,197462
3000,0.35717,"{""ntp"": 0.161285862326622, ""mtp"": 0.1958806961774826}",0.15234,0.43750,0.82828,15.39,2.45e-04,197143
3200,0.33828,"{""ntp"": 0.15355855226516724, ""mtp"": 0.18472082912921906}",0.21094,0.58594,0.87245,15.55,1.95e-04,196887
3400,0.34856,"{""ntp"": 0.159281924366951, ""mtp"": 0.18927648663520813}",0.23828,0.64453,0.88386,15.50,1.54e-04,196698
3600,0.33112,"{""ntp"": 0.1488366723060608, ""mtp"": 0.18228130042552948}",0.18750,0.56250,0.87436,15.47,1.24e-04,196469
3800,0.33434,"{""ntp"": 0.1524912267923355, ""mtp"": 0.18184682726860046}",0.19141,0.56250,0.86493,15.73,1.06e-04,196257
4000,0.33120,"{""ntp"": 0.1522090584039688, ""mtp"": 0.1789938509464264}",0.21875,0.59375,0.87598,15.33,1.00e-04,196132
