step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,6.48525,"{""ntp"": 3.775453567504883, ""mtp"": 2.7097957134246826}",0.00000,0.28685,0.59168,-0.00448,14.48,1.00e-03,238331
400,5.46453,"{""ntp"": 2.9803528785705566, ""mtp"": 2.4841740131378174}",0.18359,0.49004,0.74875,-0.00586,21.89,9.94e-04,246629
600,5.20311,"{""ntp"": 2.825085401535034, ""mtp"": 2.3780264854431152}",0.27734,0.47809,0.79341,-0.00643,24.65,9.76e-04,252419
800,5.08604,"{""ntp"": 2.7761611938476562, ""mtp"": 2.309877872467041}",0.35938,0.54183,0.82173,-0.00685,23.81,9.46e-04,257034
1000,4.98275,"{""ntp"": 2.7624762058258057, ""mtp"": 2.2202744483947754}",0.36719,0.55378,0.84219,-0.00694,21.87,9.05e-04,261390
1200,4.88402,"{""ntp"": 2.7184841632843018, ""mtp"": 2.1655378341674805}",0.45312,0.57371,0.85779,-0.00681,39.21,8.55e-04,265393
1400,4.81270,"{""ntp"": 2.720719575881958, ""mtp"": 2.0919833183288574}",0.46484,0.59761,0.87026,-0.00672,39.43,7.96e-04,268651
1600,4.71800,"{""ntp"": 2.703434467315674, ""mtp"": 2.0145678520202637}",0.53516,0.64542,0.87891,-0.00641,38.37,7.31e-04,270053
1800,4.64585,"{""ntp"": 2.692807674407959, ""mtp"": 1.9530407190322876}",0.55469,0.66534,0.88611,-0.00608,39.89,6.60e-04,271194
2000,4.58129,"{""ntp"": 2.662684202194214, ""mtp"": 1.91860830783844}",0.62109,0.68924,0.89138,-0.00577,34.34,5.87e-04,271105
2200,4.53898,"{""ntp"": 2.655825614929199, ""mtp"": 1.8831578493118286}",0.61328,0.65737,0.89552,-0.00545,35.21,5.13e-04,269950
2400,4.51105,"{""ntp"": 2.6526241302490234, ""mtp"": 1.8584301471710205}",0.70312,0.74502,0.89861,-0.00513,37.67,4.40e-04,269536
2600,4.47535,"{""ntp"": 2.648163080215454, ""mtp"": 1.827189564704895}",0.70703,0.73705,0.90102,-0.00484,36.66,3.69e-04,269381
2800,4.46543,"{""ntp"": 2.6462013721466064, ""mtp"": 1.8192332983016968}",0.75000,0.79283,0.90287,-0.00458,36.85,3.04e-04,269115
3000,4.41535,"{""ntp"": 2.636293888092041, ""mtp"": 1.7790553569793701}",0.77734,0.82072,0.90427,-0.00438,32.36,2.45e-04,269769
3200,4.38625,"{""ntp"": 2.622987747192383, ""mtp"": 1.7632625102996826}",0.82422,0.84462,0.90534,-0.00419,33.41,1.95e-04,270144
3400,4.35666,"{""ntp"": 2.614816188812256, ""mtp"": 1.7418437004089355}",0.78906,0.82470,0.90610,-0.00401,32.28,1.54e-04,270331
3600,4.36649,"{""ntp"": 2.623059034347534, ""mtp"": 1.7434303760528564}",0.82422,0.84861,0.90656,-0.00386,33.62,1.24e-04,270788
3800,4.36143,"{""ntp"": 2.6228878498077393, ""mtp"": 1.7385387420654297}",0.84766,0.86454,0.90698,-0.00374,34.66,1.06e-04,271311
4000,4.34386,"{""ntp"": 2.62432861328125, ""mtp"": 1.7195310592651367}",0.85938,0.88048,0.90730,-0.00364,32.24,1.00e-04,271079
