step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.96989,"{""ntp"": 3.940631628036499, ""jepa_pooled"": 0.029260335490107536}",0.00000,0.01205,0.58404,-0.00854,14.65,1.00e-03,199261
400,3.00351,"{""ntp"": 2.9833035469055176, ""jepa_pooled"": 0.02020520344376564}",0.09766,0.46185,0.75501,-0.01350,16.94,9.94e-04,206783
600,2.86240,"{""ntp"": 2.8084604740142822, ""jepa_pooled"": 0.05394067242741585}",0.30859,0.52209,0.80891,-0.01484,18.80,9.76e-04,209410
800,2.84954,"{""ntp"": 2.76324725151062, ""jepa_pooled"": 0.08629206568002701}",0.40234,0.55020,0.83403,-0.01492,19.56,9.46e-04,210927
1000,2.83492,"{""ntp"": 2.742757558822632, ""jepa_pooled"": 0.0921635553240776}",0.39453,0.54618,0.85200,-0.01485,20.38,9.05e-04,211758
1200,2.81466,"{""ntp"": 2.7257134914398193, ""jepa_pooled"": 0.088948093354702}",0.41406,0.53815,0.86554,-0.01491,21.17,8.55e-04,212393
1400,2.80934,"{""ntp"": 2.723940849304199, ""jepa_pooled"": 0.08540263772010803}",0.42188,0.55020,0.87581,-0.01487,21.61,7.96e-04,212747
1600,2.79236,"{""ntp"": 2.7098333835601807, ""jepa_pooled"": 0.08253069221973419}",0.46484,0.58233,0.88367,-0.01468,22.13,7.31e-04,213092
1800,2.78917,"{""ntp"": 2.710644006729126, ""jepa_pooled"": 0.0785275399684906}",0.45312,0.63052,0.89001,-0.01445,22.28,6.60e-04,213245
2000,2.77501,"{""ntp"": 2.6998841762542725, ""jepa_pooled"": 0.07512965053319931}",0.46875,0.58233,0.89480,-0.01425,23.19,5.87e-04,213467
2200,2.76600,"{""ntp"": 2.6926865577697754, ""jepa_pooled"": 0.07331477850675583}",0.49219,0.61847,0.89905,-0.01405,22.96,5.13e-04,213595
2400,2.74117,"{""ntp"": 2.6708431243896484, ""jepa_pooled"": 0.07032762467861176}",0.56641,0.68273,0.90199,-0.01372,23.24,4.40e-04,213733
2600,2.73497,"{""ntp"": 2.666271924972534, ""jepa_pooled"": 0.06869702786207199}",0.56641,0.68273,0.90447,-0.01346,23.80,3.69e-04,213792
2800,2.71307,"{""ntp"": 2.6460788249969482, ""jepa_pooled"": 0.06699448823928833}",0.54688,0.65863,0.90633,-0.01319,23.89,3.04e-04,213907
3000,2.72397,"{""ntp"": 2.658390998840332, ""jepa_pooled"": 0.06557478755712509}",0.56250,0.66265,0.90768,-0.01308,24.37,2.45e-04,213935
3200,2.71643,"{""ntp"": 2.6525254249572754, ""jepa_pooled"": 0.06390412151813507}",0.58203,0.67871,0.90878,-0.01289,24.38,1.95e-04,214012
3400,2.71927,"{""ntp"": 2.6564407348632812, ""jepa_pooled"": 0.06282482296228409}",0.60156,0.70683,0.90964,-0.01275,24.46,1.54e-04,214049
3600,2.70604,"{""ntp"": 2.6446032524108887, ""jepa_pooled"": 0.06143297255039215}",0.64453,0.73092,0.91018,-0.01265,24.25,1.24e-04,214098
3800,2.71221,"{""ntp"": 2.652118444442749, ""jepa_pooled"": 0.060088325291872025}",0.62500,0.71486,0.91054,-0.01254,24.87,1.06e-04,213950
4000,2.69614,"{""ntp"": 2.6364283561706543, ""jepa_pooled"": 0.05970725789666176}",0.63672,0.71888,0.91083,-0.01245,24.28,1.00e-04,213755
