step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.20820,"{""ntp"": 1.2082009315490723}",0.00000,0.00000,0.04227,2.40,1.00e-03,280850
400,1.19340,"{""ntp"": 1.1934012174606323}",0.00000,0.00000,0.04861,2.25,9.94e-04,290751
600,1.20033,"{""ntp"": 1.2003297805786133}",0.00000,0.00000,0.06179,2.08,9.76e-04,304093
800,1.18008,"{""ntp"": 1.180080533027649}",0.00000,0.00000,0.06906,1.89,9.46e-04,316388
1000,1.18244,"{""ntp"": 1.1824381351470947}",0.00000,0.00000,0.05229,1.60,9.05e-04,323922
1200,1.17327,"{""ntp"": 1.1732672452926636}",0.00000,0.00000,0.06191,2.07,8.55e-04,321476
1400,1.13274,"{""ntp"": 1.132744550704956}",0.00000,0.00000,0.06861,2.68,7.96e-04,320089
1600,1.09643,"{""ntp"": 1.096432089805603}",0.00000,0.00000,0.07350,3.00,7.31e-04,318962
1800,1.05748,"{""ntp"": 1.057477355003357}",0.00000,0.00000,0.07576,3.53,6.60e-04,317639
2000,1.03042,"{""ntp"": 1.0304161310195923}",0.00000,0.00000,0.07495,3.76,5.87e-04,316197
2200,1.01431,"{""ntp"": 1.0143057107925415}",0.00000,0.00000,0.07008,3.88,5.13e-04,315454
2400,1.00027,"{""ntp"": 1.0002715587615967}",0.00000,0.00000,0.07374,4.16,4.40e-04,315446
2600,0.99028,"{""ntp"": 0.9902775287628174}",0.00000,0.00000,0.07240,4.13,3.69e-04,317435
2800,0.97883,"{""ntp"": 0.978825569152832}",0.00000,0.00000,0.07261,4.25,3.04e-04,319579
3000,0.97165,"{""ntp"": 0.9716454744338989}",0.00000,0.00000,0.07198,4.51,2.45e-04,318959
3200,0.96145,"{""ntp"": 0.9614483714103699}",0.00000,0.00000,0.07043,4.54,1.95e-04,318457
3400,0.95542,"{""ntp"": 0.9554219245910645}",0.00000,0.00000,0.07503,4.63,1.54e-04,317775
3600,0.94562,"{""ntp"": 0.945623517036438}",0.00000,0.00391,0.08086,4.80,1.24e-04,317207
3800,0.94147,"{""ntp"": 0.941466748714447}",0.00000,0.00391,0.07127,4.73,1.06e-04,316718
4000,0.93715,"{""ntp"": 0.9371490478515625}",0.00000,0.01172,0.07573,4.85,1.00e-04,316238
