step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,2.13666,"{""ntp"": 2.136658191680908}",0.00781,0.29921,0.71367,-0.01363,18.12,1.00e-03,215911
400,1.49659,"{""ntp"": 1.4965932369232178}",0.21484,0.48425,0.85607,-0.01599,18.36,9.94e-04,220452
600,1.46284,"{""ntp"": 1.4628411531448364}",0.23828,0.48031,0.90091,-0.01483,19.24,9.76e-04,223385
800,1.45793,"{""ntp"": 1.4579330682754517}",0.28125,0.52756,0.92828,-0.01427,20.63,9.46e-04,223893
1000,1.43491,"{""ntp"": 1.4349110126495361}",0.28906,0.50787,0.94591,-0.01427,22.27,9.05e-04,223663
1200,1.40969,"{""ntp"": 1.4096896648406982}",0.38672,0.53543,0.95712,-0.01411,22.45,8.55e-04,224284
1400,1.41895,"{""ntp"": 1.4189534187316895}",0.39062,0.57087,0.96489,-0.01433,22.70,7.96e-04,224284
1600,1.39295,"{""ntp"": 1.3929489850997925}",0.39844,0.55906,0.97019,-0.01415,23.46,7.31e-04,224621
1800,1.39681,"{""ntp"": 1.3968127965927124}",0.38281,0.51575,0.97406,-0.01408,23.67,6.60e-04,224539
2000,1.38695,"{""ntp"": 1.3869539499282837}",0.42188,0.53543,0.97664,-0.01385,24.05,5.87e-04,224914
2200,1.39574,"{""ntp"": 1.3957432508468628}",0.42969,0.57087,0.97882,-0.01359,24.17,5.13e-04,224987
2400,1.37509,"{""ntp"": 1.3750888109207153}",0.44531,0.57480,0.98066,-0.01350,24.03,4.40e-04,224848
2600,1.37979,"{""ntp"": 1.379790186882019}",0.46484,0.57480,0.98181,-0.01318,24.34,3.69e-04,224925
2800,1.35681,"{""ntp"": 1.3568061590194702}",0.50781,0.62205,0.98280,-0.01295,24.25,3.04e-04,224905
3000,1.36829,"{""ntp"": 1.3682948350906372}",0.55469,0.65354,0.98344,-0.01260,24.15,2.45e-04,225170
3200,1.35918,"{""ntp"": 1.359184741973877}",0.56250,0.66535,0.98394,-0.01223,24.10,1.95e-04,225240
3400,1.35666,"{""ntp"": 1.356658697128296}",0.59766,0.69291,0.98436,-0.01193,24.29,1.54e-04,225430
3600,1.35583,"{""ntp"": 1.3558274507522583}",0.55469,0.64961,0.98471,-0.01173,24.37,1.24e-04,227106
3800,1.35099,"{""ntp"": 1.350987195968628}",0.59766,0.70079,0.98494,-0.01150,24.43,1.06e-04,228834
4000,1.34861,"{""ntp"": 1.3486138582229614}",0.62109,0.71260,0.98513,-0.01127,24.12,1.00e-04,230208
