step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.90629,"{""ntp"": 3.8886749744415283, ""jepa_pooled"": 0.01761752925813198}",0.00391,0.21116,0.56869,-0.00687,14.23,1.00e-03,245134
400,3.06614,"{""ntp"": 3.047267436981201, ""jepa_pooled"": 0.018877480179071426}",0.11719,0.41833,0.73257,-0.01113,17.89,9.94e-04,254342
600,2.89960,"{""ntp"": 2.8506524562835693, ""jepa_pooled"": 0.04895123839378357}",0.23047,0.52191,0.78477,-0.01199,19.90,9.76e-04,258014
800,2.85580,"{""ntp"": 2.7774038314819336, ""jepa_pooled"": 0.0783952921628952}",0.33203,0.52191,0.81030,-0.01273,20.76,9.46e-04,260160
1000,2.84925,"{""ntp"": 2.753521680831909, ""jepa_pooled"": 0.09573183208703995}",0.38672,0.54980,0.82721,-0.01306,21.50,9.05e-04,261057
1200,2.82085,"{""ntp"": 2.719048500061035, ""jepa_pooled"": 0.10180072486400604}",0.44141,0.59761,0.84009,-0.01341,22.42,8.55e-04,261936
1400,2.83787,"{""ntp"": 2.734013795852661, ""jepa_pooled"": 0.10386025905609131}",0.42578,0.56175,0.84946,-0.01357,23.87,7.96e-04,263225
1600,2.83306,"{""ntp"": 2.7290942668914795, ""jepa_pooled"": 0.10396554321050644}",0.47656,0.57769,0.85657,-0.01357,24.78,7.31e-04,264181
1800,2.80625,"{""ntp"": 2.7049598693847656, ""jepa_pooled"": 0.10128729045391083}",0.48047,0.62948,0.86204,-0.01354,25.57,6.60e-04,264806
2000,2.77507,"{""ntp"": 2.6775829792022705, ""jepa_pooled"": 0.09748469293117523}",0.49219,0.60159,0.86669,-0.01351,26.33,5.87e-04,265414
2200,2.76410,"{""ntp"": 2.669525146484375, ""jepa_pooled"": 0.09457038342952728}",0.50391,0.62151,0.87027,-0.01345,26.37,5.13e-04,265757
2400,2.75900,"{""ntp"": 2.669278383255005, ""jepa_pooled"": 0.08972563594579697}",0.56641,0.68127,0.87311,-0.01331,27.08,4.40e-04,266252
2600,2.75166,"{""ntp"": 2.6639344692230225, ""jepa_pooled"": 0.08772779256105423}",0.57422,0.68526,0.87503,-0.01319,26.81,3.69e-04,266540
2800,2.75441,"{""ntp"": 2.6698009967803955, ""jepa_pooled"": 0.0846094861626625}",0.62109,0.70518,0.87678,-0.01313,27.13,3.04e-04,267291
3000,2.73608,"{""ntp"": 2.654778242111206, ""jepa_pooled"": 0.08130641281604767}",0.55859,0.66534,0.87805,-0.01307,26.83,2.45e-04,267467
3200,2.73010,"{""ntp"": 2.6517271995544434, ""jepa_pooled"": 0.0783708244562149}",0.59375,0.66135,0.87892,-0.01298,27.27,1.95e-04,267684
3400,2.72472,"{""ntp"": 2.6473774909973145, ""jepa_pooled"": 0.07734299451112747}",0.58984,0.70518,0.87942,-0.01291,27.35,1.54e-04,267837
3600,2.72985,"{""ntp"": 2.6541340351104736, ""jepa_pooled"": 0.07571340352296829}",0.64844,0.74900,0.87980,-0.01286,27.34,1.24e-04,268079
3800,2.73084,"{""ntp"": 2.6569888591766357, ""jepa_pooled"": 0.07384971529245377}",0.64453,0.73705,0.88009,-0.01281,27.68,1.06e-04,268252
4000,2.72471,"{""ntp"": 2.6510748863220215, ""jepa_pooled"": 0.07363031059503555}",0.67188,0.73705,0.88032,-0.01279,27.43,1.00e-04,267967
