step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.63229,"{""ntp"": 3.6322882175445557}",0.00391,0.16064,0.59996,-0.01101,14.19,1.00e-03,221130
400,2.89654,"{""ntp"": 2.896541118621826}",0.12109,0.44578,0.75931,-0.01527,16.89,9.94e-04,228390
600,2.79711,"{""ntp"": 2.7971079349517822}",0.32031,0.52209,0.80389,-0.01576,16.59,9.76e-04,230899
800,2.76719,"{""ntp"": 2.767186403274536}",0.37500,0.53414,0.82924,-0.01542,17.68,9.46e-04,232296
1000,2.74421,"{""ntp"": 2.744211196899414}",0.38281,0.59036,0.84801,-0.01521,18.34,9.05e-04,232981
1200,2.73813,"{""ntp"": 2.738126516342163}",0.38672,0.56225,0.86126,-0.01495,19.01,8.55e-04,233572
1400,2.73474,"{""ntp"": 2.7347376346588135}",0.40625,0.53414,0.87219,-0.01493,18.90,7.96e-04,237689
1600,2.70383,"{""ntp"": 2.703827142715454}",0.48438,0.59839,0.88049,-0.01460,20.01,7.31e-04,240281
1800,2.69923,"{""ntp"": 2.6992251873016357}",0.44531,0.62651,0.88710,-0.01433,20.40,6.60e-04,239868
2000,2.69738,"{""ntp"": 2.6973838806152344}",0.45312,0.60643,0.89221,-0.01404,20.92,5.87e-04,239578
2200,2.68896,"{""ntp"": 2.6889595985412598}",0.52734,0.65060,0.89640,-0.01388,21.10,5.13e-04,239337
2400,2.66829,"{""ntp"": 2.6682889461517334}",0.50000,0.61446,0.89938,-0.01360,21.08,4.40e-04,239112
2600,2.67408,"{""ntp"": 2.6740832328796387}",0.53906,0.63454,0.90186,-0.01342,21.26,3.69e-04,238975
2800,2.64523,"{""ntp"": 2.645230293273926}",0.54688,0.65462,0.90374,-0.01318,21.30,3.04e-04,238838
3000,2.65085,"{""ntp"": 2.6508522033691406}",0.53516,0.64659,0.90482,-0.01301,21.29,2.45e-04,238723
3200,2.65896,"{""ntp"": 2.6589598655700684}",0.57422,0.67871,0.90571,-0.01284,21.58,1.95e-04,238522
3400,2.66276,"{""ntp"": 2.6627564430236816}",0.62891,0.71888,0.90646,-0.01267,21.51,1.54e-04,238429
3600,2.64807,"{""ntp"": 2.6480655670166016}",0.59766,0.66667,0.90689,-0.01257,21.37,1.24e-04,238304
3800,2.65638,"{""ntp"": 2.6563773155212402}",0.62891,0.70281,0.90712,-0.01246,21.47,1.06e-04,238196
4000,2.64128,"{""ntp"": 2.641275405883789}",0.63672,0.69880,0.90739,-0.01236,21.48,1.00e-04,238089
