step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.70847,"{""ntp"": 1.1212555170059204, ""mtp"": 0.5872151851654053}",0.00000,0.00000,0.08032,4.39,1.00e-03,181332
400,1.36834,"{""ntp"": 0.848665177822113, ""mtp"": 0.5196737051010132}",0.00000,0.45312,0.14908,13.39,9.94e-04,187496
600,1.15830,"{""ntp"": 0.7169858813285828, ""mtp"": 0.4413127899169922}",0.00000,0.90625,0.14777,17.92,9.76e-04,190196
800,1.14563,"{""ntp"": 0.7109493017196655, ""mtp"": 0.434682160615921}",0.00000,0.94531,0.14904,20.13,9.46e-04,193029
1000,1.07253,"{""ntp"": 0.649718165397644, ""mtp"": 0.42280834913253784}",0.00000,0.99219,0.14571,26.67,9.05e-04,198279
1200,0.89555,"{""ntp"": 0.4694020748138428, ""mtp"": 0.42614543437957764}",0.00000,0.31250,0.49519,29.89,8.55e-04,206499
1400,0.55971,"{""ntp"": 0.2341388761997223, ""mtp"": 0.32557088136672974}",0.01562,0.23438,0.76073,32.37,7.96e-04,212753
1600,0.51912,"{""ntp"": 0.2543160319328308, ""mtp"": 0.2648058533668518}",0.03906,0.34766,0.79494,33.84,7.31e-04,217756
1800,0.44316,"{""ntp"": 0.20130956172943115, ""mtp"": 0.24184627830982208}",0.10938,0.51562,0.84376,36.83,6.60e-04,216199
2000,0.39769,"{""ntp"": 0.18286682665348053, ""mtp"": 0.2148202806711197}",0.11328,0.40625,0.83345,37.46,5.87e-04,214450
2200,0.37848,"{""ntp"": 0.1751435399055481, ""mtp"": 0.20333340764045715}",0.16016,0.51562,0.86337,36.77,5.13e-04,213113
2400,0.36664,"{""ntp"": 0.1684446930885315, ""mtp"": 0.1981978565454483}",0.24609,0.64062,0.89599,36.87,4.40e-04,211914
2600,0.35662,"{""ntp"": 0.16831038892269135, ""mtp"": 0.18830733001232147}",0.18359,0.60938,0.87257,35.80,3.69e-04,211334
2800,0.35202,"{""ntp"": 0.16665631532669067, ""mtp"": 0.1853666603565216}",0.26172,0.66406,0.89449,35.99,3.04e-04,210910
3000,0.34667,"{""ntp"": 0.16300976276397705, ""mtp"": 0.18365922570228577}",0.24219,0.62109,0.88779,34.79,2.45e-04,210407
3200,0.33485,"{""ntp"": 0.1539347767829895, ""mtp"": 0.18091155588626862}",0.15625,0.51562,0.84862,34.42,1.95e-04,210422
3400,0.32912,"{""ntp"": 0.15738528966903687, ""mtp"": 0.1717352420091629}",0.16016,0.55859,0.85312,33.52,1.54e-04,209873
3600,0.32245,"{""ntp"": 0.15220846235752106, ""mtp"": 0.17024566233158112}",0.24219,0.59375,0.88237,32.39,1.24e-04,209313
3800,0.32877,"{""ntp"": 0.15537233650684357, ""mtp"": 0.1734008491039276}",0.14453,0.53906,0.84325,32.61,1.06e-04,211473
4000,0.32590,"{""ntp"": 0.15415701270103455, ""mtp"": 0.17174607515335083}",0.13672,0.59375,0.85485,31.79,1.00e-04,213445
