step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,2.48285,"{""ntp"": 2.4828474521636963}",2.52355,12.47274,107.78,6.00e-04,113068
1000,2.01707,"{""ntp"": 2.017068386077881}",1.98724,7.29537,169.44,5.99e-04,111569
1500,1.77543,"{""ntp"": 1.7754347324371338}",1.82194,6.18381,188.50,5.97e-04,111187
2000,1.67571,"{""ntp"": 1.6757129430770874}",1.73650,5.67743,198.84,5.92e-04,110856
2500,1.65404,"{""ntp"": 1.6540403366088867}",1.67707,5.34986,198.28,5.86e-04,110939
3000,1.61899,"{""ntp"": 1.6189852952957153}",1.63163,5.11222,199.62,5.78e-04,110748
3500,1.57566,"{""ntp"": 1.5756595134735107}",1.60134,4.95968,203.86,5.69e-04,110636
4000,1.60675,"{""ntp"": 1.606747031211853}",1.56813,4.79768,199.73,5.58e-04,110533
4500,1.53858,"{""ntp"": 1.538578748703003}",1.54852,4.70449,202.69,5.46e-04,109954
5000,1.45622,"{""ntp"": 1.456215500831604}",1.52700,4.60435,198.91,5.32e-04,108648
5500,1.48598,"{""ntp"": 1.4859826564788818}",1.50959,4.52490,208.80,5.17e-04,108393
6000,1.47977,"{""ntp"": 1.4797676801681519}",1.49380,4.45399,207.57,5.01e-04,107832
6500,1.48652,"{""ntp"": 1.4865247011184692}",1.47698,4.37969,200.17,4.83e-04,107354
7000,1.47647,"{""ntp"": 1.4764676094055176}",1.46706,4.33646,203.89,4.65e-04,107385
7500,1.41234,"{""ntp"": 1.412343144416809}",1.45328,4.27711,202.79,4.46e-04,106932
8000,1.40624,"{""ntp"": 1.406237006187439}",1.44245,4.23107,200.92,4.26e-04,106766
8500,1.41421,"{""ntp"": 1.4142076969146729}",1.43083,4.18219,196.39,4.05e-04,106465
9000,1.39228,"{""ntp"": 1.3922808170318604}",1.42583,4.16133,203.07,3.84e-04,105801
9500,1.38008,"{""ntp"": 1.3800841569900513}",1.41344,4.11007,198.69,3.63e-04,105657
10000,1.43630,"{""ntp"": 1.4362971782684326}",1.40298,4.06731,200.58,3.41e-04,105476
10500,1.38485,"{""ntp"": 1.3848460912704468}",1.39662,4.04151,201.39,3.19e-04,105122
11000,1.46409,"{""ntp"": 1.464087724685669}",1.38786,4.00625,198.14,2.97e-04,104869
11500,1.38275,"{""ntp"": 1.3827455043792725}",1.37859,3.96931,200.28,2.76e-04,104619
12000,1.30327,"{""ntp"": 1.3032691478729248}",1.37270,3.94598,192.98,2.55e-04,104550
12500,1.28487,"{""ntp"": 1.2848703861236572}",1.36413,3.91232,198.79,2.34e-04,104570
13000,1.29120,"{""ntp"": 1.291204571723938}",1.35910,3.89270,194.27,2.14e-04,104477
13500,1.35593,"{""ntp"": 1.3559328317642212}",1.35337,3.87043,195.23,1.95e-04,104550
14000,1.21919,"{""ntp"": 1.2191882133483887}",1.34934,3.85490,190.79,1.77e-04,104563
14500,1.25373,"{""ntp"": 1.253731369972229}",1.34181,3.82597,193.32,1.59e-04,104589
15000,1.36584,"{""ntp"": 1.3658382892608643}",1.33696,3.80745,195.85,1.43e-04,104445
15500,1.31627,"{""ntp"": 1.31626558303833}",1.33290,3.79202,192.57,1.28e-04,104379
16000,1.29818,"{""ntp"": 1.2981785535812378}",1.32899,3.77724,195.38,1.14e-04,105636
16500,1.23441,"{""ntp"": 1.2344075441360474}",1.32534,3.76345,196.62,1.02e-04,107048
17000,1.29824,"{""ntp"": 1.2982356548309326}",1.32225,3.75187,191.04,9.09e-05,108413
17500,1.24525,"{""ntp"": 1.2452523708343506}",1.31899,3.73965,196.46,8.16e-05,109731
18000,1.29700,"{""ntp"": 1.296998381614685}",1.31675,3.73128,194.30,7.39e-05,111006
18500,1.26526,"{""ntp"": 1.2652604579925537}",1.31443,3.72262,190.53,6.78e-05,112239
19000,1.23354,"{""ntp"": 1.2335411310195923}",1.31147,3.71162,193.97,6.35e-05,113432
19500,1.29206,"{""ntp"": 1.2920578718185425}",1.30998,3.70612,195.29,6.09e-05,114589
20000,1.26181,"{""ntp"": 1.2618063688278198}",1.30869,3.70131,192.76,6.00e-05,115709
