step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.76654,"{""ntp"": 3.7443647384643555, ""jepa_pooled"": 0.022175556048750877}",0.00781,0.29134,0.57072,-0.00648,14.82,1.00e-03,248381
400,3.22100,"{""ntp"": 3.203335762023926, ""jepa_pooled"": 0.01766270399093628}",0.03906,0.38976,0.72673,-0.01040,19.17,9.94e-04,258731
600,2.94611,"{""ntp"": 2.904087781906128, ""jepa_pooled"": 0.04202702268958092}",0.18750,0.48031,0.77921,-0.01097,23.35,9.76e-04,262750
800,2.86864,"{""ntp"": 2.801546335220337, ""jepa_pooled"": 0.06708896160125732}",0.29297,0.55118,0.80425,-0.01121,25.10,9.46e-04,264467
1000,2.85143,"{""ntp"": 2.7736637592315674, ""jepa_pooled"": 0.07776156067848206}",0.37109,0.53937,0.82110,-0.01135,25.90,9.05e-04,265874
1200,2.80731,"{""ntp"": 2.721357583999634, ""jepa_pooled"": 0.08594880998134613}",0.39062,0.58268,0.83331,-0.01151,27.28,8.55e-04,266750
1400,2.80743,"{""ntp"": 2.717146873474121, ""jepa_pooled"": 0.09028202295303345}",0.42969,0.59843,0.84285,-0.01150,27.45,7.96e-04,267269
1600,2.82152,"{""ntp"": 2.7325425148010254, ""jepa_pooled"": 0.0889788344502449}",0.42188,0.58661,0.84976,-0.01149,28.06,7.31e-04,267823
1800,2.79842,"{""ntp"": 2.7087957859039307, ""jepa_pooled"": 0.08962514996528625}",0.44531,0.57480,0.85543,-0.01126,28.51,6.60e-04,268085
2000,2.78289,"{""ntp"": 2.696152448654175, ""jepa_pooled"": 0.08673329651355743}",0.51172,0.65354,0.85958,-0.01104,28.86,5.87e-04,268440
2200,2.76550,"{""ntp"": 2.6822350025177, ""jepa_pooled"": 0.08326543122529984}",0.50781,0.64173,0.86315,-0.01094,30.01,5.13e-04,268691
2400,2.75688,"{""ntp"": 2.6764962673187256, ""jepa_pooled"": 0.08038505166769028}",0.56250,0.68898,0.86586,-0.01085,29.87,4.40e-04,268898
2600,2.74501,"{""ntp"": 2.666818380355835, ""jepa_pooled"": 0.07819081842899323}",0.59375,0.69685,0.86814,-0.01069,30.21,3.69e-04,269128
2800,2.73714,"{""ntp"": 2.6612915992736816, ""jepa_pooled"": 0.07585228234529495}",0.58984,0.69685,0.86984,-0.01054,30.32,3.04e-04,269219
3000,2.72204,"{""ntp"": 2.6488401889801025, ""jepa_pooled"": 0.07320026308298111}",0.57031,0.69685,0.87097,-0.01042,30.57,2.45e-04,269406
3200,2.73062,"{""ntp"": 2.659562110900879, ""jepa_pooled"": 0.0710565447807312}",0.61719,0.70866,0.87192,-0.01028,30.57,1.95e-04,269518
3400,2.71781,"{""ntp"": 2.648730993270874, ""jepa_pooled"": 0.06907851994037628}",0.64844,0.74803,0.87253,-0.01019,30.42,1.54e-04,269607
3600,2.70432,"{""ntp"": 2.635948896408081, ""jepa_pooled"": 0.06836887449026108}",0.61719,0.70866,0.87298,-0.01013,30.37,1.24e-04,269728
3800,2.71236,"{""ntp"": 2.645339250564575, ""jepa_pooled"": 0.06702219694852829}",0.62109,0.71654,0.87326,-0.01006,30.22,1.06e-04,269756
4000,2.70575,"{""ntp"": 2.6394529342651367, ""jepa_pooled"": 0.06629949808120728}",0.62500,0.71260,0.87341,-0.00997,30.33,1.00e-04,269818
