step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
22800,0.18346,"{""ntp"": 0.18346038460731506}",0.06250,0.19141,0.81390,5.69,1.00e-03,210492
23200,0.18700,"{""ntp"": 0.18700185418128967}",0.05078,0.13281,0.81091,5.31,1.00e-03,210555
23600,0.18686,"{""ntp"": 0.18686030805110931}",0.07031,0.25000,0.82097,5.58,1.00e-03,210543
24000,0.18762,"{""ntp"": 0.18762491643428802}",0.08594,0.19531,0.81785,5.77,1.00e-03,210538
24400,0.18238,"{""ntp"": 0.1823815107345581}",0.03906,0.09766,0.77389,5.25,1.00e-03,210520
24800,0.18342,"{""ntp"": 0.18342004716396332}",0.05078,0.16016,0.81106,5.47,1.00e-03,210803
25200,0.18422,"{""ntp"": 0.18422172963619232}",0.05859,0.15625,0.81483,5.41,1.00e-03,211074
25600,0.18998,"{""ntp"": 0.18997612595558167}",0.06641,0.21875,0.81987,5.36,1.00e-03,211187
26000,0.18911,"{""ntp"": 0.18910625576972961}",0.03125,0.14062,0.79926,5.73,1.00e-03,211165
26400,0.18343,"{""ntp"": 0.1834333837032318}",0.04297,0.17578,0.79959,5.58,1.00e-03,211137
26800,0.18402,"{""ntp"": 0.18402111530303955}",0.06250,0.18359,0.79578,5.47,1.00e-03,211131
27200,0.18795,"{""ntp"": 0.18794631958007812}",0.03516,0.16797,0.79140,5.38,1.00e-03,211106
27600,0.18320,"{""ntp"": 0.1831965297460556}",0.04297,0.17969,0.80489,5.35,1.00e-03,211095
28000,0.18666,"{""ntp"": 0.18666177988052368}",0.04297,0.20312,0.80715,5.25,1.00e-03,211089
28400,0.18442,"{""ntp"": 0.18442083895206451}",0.04297,0.16797,0.77945,5.36,1.00e-03,211108
28800,0.18284,"{""ntp"": 0.18284012377262115}",0.04297,0.13672,0.77149,5.35,1.00e-03,211084
29200,0.19285,"{""ntp"": 0.19284842908382416}",0.04297,0.15625,0.79551,5.06,1.00e-03,211089
29600,0.18326,"{""ntp"": 0.18325740098953247}",0.05078,0.17969,0.81332,5.21,1.00e-03,211080
30000,0.18272,"{""ntp"": 0.18272459506988525}",0.03906,0.12891,0.78173,5.29,1.00e-03,211067
30400,0.18764,"{""ntp"": 0.1876407265663147}",0.03516,0.12500,0.78866,5.17,1.00e-03,211054
30800,0.18557,"{""ntp"": 0.1855715960264206}",0.04297,0.15625,0.81513,5.36,1.00e-03,211032
31200,0.18376,"{""ntp"": 0.18376274406909943}",0.04297,0.12891,0.77115,5.41,1.00e-03,211013
31600,0.18646,"{""ntp"": 0.18646149337291718}",0.04297,0.17969,0.77334,4.98,1.00e-03,210996
32000,0.18335,"{""ntp"": 0.18334592878818512}",0.04688,0.16406,0.81071,5.28,1.00e-03,210991
32400,0.18119,"{""ntp"": 0.18118983507156372}",0.07812,0.18750,0.80542,5.55,1.00e-03,211009
32800,0.18321,"{""ntp"": 0.1832062005996704}",0.01562,0.08984,0.75522,5.52,1.00e-03,211017
33200,0.18673,"{""ntp"": 0.18673281371593475}",0.07422,0.24609,0.81379,5.14,1.00e-03,211001
33600,0.18478,"{""ntp"": 0.1847805231809616}",0.03906,0.16016,0.80436,5.20,1.00e-03,210985
34000,0.18572,"{""ntp"": 0.18572044372558594}",0.07422,0.19922,0.80820,5.24,1.00e-03,210988
34400,0.18384,"{""ntp"": 0.1838444471359253}",0.04297,0.12891,0.78434,5.42,1.00e-03,211003
34800,0.17952,"{""ntp"": 0.17952264845371246}",0.04297,0.20312,0.79623,5.18,1.00e-03,211022
35200,0.18324,"{""ntp"": 0.1832391768693924}",0.03516,0.13281,0.77050,5.44,1.00e-03,211003
35600,0.18412,"{""ntp"": 0.18411576747894287}",0.01562,0.08594,0.75739,5.45,1.00e-03,210991
36000,0.18212,"{""ntp"": 0.18211548030376434}",0.06641,0.22656,0.81529,5.42,1.00e-03,210982
