step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,6.47940,"{""ntp"": 3.77258563041687, ""mtp"": 2.706817865371704}",0.00000,0.31102,0.58563,-0.00478,14.26,1.00e-03,256227
400,5.44539,"{""ntp"": 2.98028564453125, ""mtp"": 2.4651036262512207}",0.13281,0.51181,0.74653,-0.00467,24.72,9.94e-04,273538
600,5.17570,"{""ntp"": 2.8257343769073486, ""mtp"": 2.349966049194336}",0.34375,0.55906,0.79396,-0.00516,31.65,9.76e-04,270325
800,5.02352,"{""ntp"": 2.7628960609436035, ""mtp"": 2.2606239318847656}",0.42969,0.56299,0.82240,-0.00540,35.32,9.46e-04,268205
1000,4.97528,"{""ntp"": 2.7556018829345703, ""mtp"": 2.2196757793426514}",0.46875,0.62205,0.84352,-0.00539,35.19,9.05e-04,266424
1200,4.87134,"{""ntp"": 2.7115468978881836, ""mtp"": 2.1597959995269775}",0.45312,0.59449,0.85917,-0.00521,42.29,8.55e-04,266702
1400,4.78860,"{""ntp"": 2.696384906768799, ""mtp"": 2.0922117233276367}",0.56641,0.66535,0.87163,-0.00506,36.13,7.96e-04,266416
1600,4.77933,"{""ntp"": 2.7158491611480713, ""mtp"": 2.0634765625}",0.55859,0.64567,0.88078,-0.00492,34.96,7.31e-04,266310
1800,4.68845,"{""ntp"": 2.695504665374756, ""mtp"": 1.9929425716400146}",0.58203,0.68898,0.88814,-0.00476,34.91,6.60e-04,266601
2000,4.65592,"{""ntp"": 2.6812117099761963, ""mtp"": 1.9747077226638794}",0.69922,0.79921,0.89377,-0.00464,30.53,5.87e-04,266566
2200,4.58751,"{""ntp"": 2.661569833755493, ""mtp"": 1.9259450435638428}",0.71484,0.80315,0.89794,-0.00442,27.33,5.13e-04,266774
2400,4.55779,"{""ntp"": 2.653994560241699, ""mtp"": 1.9037902355194092}",0.73047,0.78740,0.90093,-0.00426,26.33,4.40e-04,266606
2600,4.51052,"{""ntp"": 2.638697624206543, ""mtp"": 1.8718219995498657}",0.73047,0.77559,0.90316,-0.00411,31.29,3.69e-04,266081
2800,4.48980,"{""ntp"": 2.643084764480591, ""mtp"": 1.8467168807983398}",0.81250,0.86614,0.90507,-0.00388,30.79,3.04e-04,265857
3000,4.45469,"{""ntp"": 2.6179778575897217, ""mtp"": 1.8367120027542114}",0.80078,0.84252,0.90648,-0.00374,30.19,2.45e-04,266304
3200,4.45902,"{""ntp"": 2.636965274810791, ""mtp"": 1.8220560550689697}",0.81250,0.85433,0.90755,-0.00362,35.35,1.95e-04,266552
3400,4.41989,"{""ntp"": 2.621603012084961, ""mtp"": 1.7982888221740723}",0.82812,0.85827,0.90821,-0.00351,31.51,1.54e-04,266539
3600,4.40287,"{""ntp"": 2.620859384536743, ""mtp"": 1.7820103168487549}",0.86328,0.88976,0.90876,-0.00335,30.02,1.24e-04,266789
3800,4.41691,"{""ntp"": 2.617783546447754, ""mtp"": 1.7991276979446411}",0.85547,0.89764,0.90913,-0.00326,30.10,1.06e-04,267141
4000,4.37298,"{""ntp"": 2.60964298248291, ""mtp"": 1.7633404731750488}",0.84375,0.87795,0.90938,-0.00316,31.97,1.00e-04,267181
