step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
400,1.43097,"{""ntp"": 0.9063575863838196, ""mtp"": 0.5246105194091797}",0.00000,0.25781,0.12648,10.95,1.00e-03,169013
800,1.12171,"{""ntp"": 0.6859654188156128, ""mtp"": 0.43574389815330505}",0.00000,1.00000,0.14502,22.91,1.00e-03,166680
1200,1.01636,"{""ntp"": 0.5986831784248352, ""mtp"": 0.4176722466945648}",0.00000,0.92578,0.25343,31.84,1.00e-03,164170
1600,0.47774,"{""ntp"": 0.22385822236537933, ""mtp"": 0.25388404726982117}",0.05859,0.35938,0.79461,33.18,1.00e-03,163527
2000,0.41074,"{""ntp"": 0.1904338300228119, ""mtp"": 0.22030450403690338}",0.06250,0.31250,0.80491,34.98,1.00e-03,163136
2400,0.37974,"{""ntp"": 0.1763707399368286, ""mtp"": 0.20336657762527466}",0.24219,0.61328,0.89483,41.14,1.00e-03,167015
2800,0.36397,"{""ntp"": 0.17421573400497437, ""mtp"": 0.18975375592708588}",0.11719,0.38672,0.83402,40.65,1.00e-03,167028
3200,0.35266,"{""ntp"": 0.1651676744222641, ""mtp"": 0.18748870491981506}",0.15625,0.49219,0.86841,39.31,1.00e-03,166753
3600,0.33956,"{""ntp"": 0.1592344045639038, ""mtp"": 0.1803208738565445}",0.16016,0.38672,0.85051,38.33,1.00e-03,166684
4000,0.34801,"{""ntp"": 0.1653704047203064, ""mtp"": 0.18263672292232513}",0.24219,0.52344,0.90039,31.94,1.00e-03,166829
4400,0.33538,"{""ntp"": 0.15910781919956207, ""mtp"": 0.17627328634262085}",0.14453,0.35938,0.85548,34.48,1.00e-03,166900
4800,0.32912,"{""ntp"": 0.15538494288921356, ""mtp"": 0.1737309843301773}",0.14844,0.42188,0.87953,33.35,1.00e-03,167017
5200,0.32620,"{""ntp"": 0.15573181211948395, ""mtp"": 0.1704646646976471}",0.24609,0.45312,0.89234,36.92,1.00e-03,166803
5600,0.32833,"{""ntp"": 0.15438944101333618, ""mtp"": 0.173940047621727}",0.23828,0.46094,0.89744,30.77,1.00e-03,166666
6000,0.32570,"{""ntp"": 0.15386371314525604, ""mtp"": 0.17183378338813782}",0.20312,0.42969,0.87885,29.04,1.00e-03,166523
6400,0.31609,"{""ntp"": 0.14841388165950775, ""mtp"": 0.16767290234565735}",0.28516,0.48828,0.90661,27.30,1.00e-03,166818
6800,0.31988,"{""ntp"": 0.1516537070274353, ""mtp"": 0.16822905838489532}",0.25000,0.51172,0.89969,25.44,1.00e-03,166747
7200,0.30786,"{""ntp"": 0.14410905539989471, ""mtp"": 0.16375179588794708}",0.32031,0.59766,0.91958,27.06,1.00e-03,166618
7600,0.30961,"{""ntp"": 0.14647729694843292, ""mtp"": 0.16313329339027405}",0.25000,0.44922,0.90856,20.38,1.00e-03,166572
8000,0.30884,"{""ntp"": 0.14305981993675232, ""mtp"": 0.16578346490859985}",0.25781,0.51562,0.90762,22.12,1.00e-03,166504
8400,0.30709,"{""ntp"": 0.14556646347045898, ""mtp"": 0.16152724623680115}",0.26172,0.50781,0.90178,19.94,1.00e-03,166671
8800,0.30434,"{""ntp"": 0.14220020174980164, ""mtp"": 0.1621413230895996}",0.34766,0.54688,0.91447,18.25,1.00e-03,166540
9200,0.30520,"{""ntp"": 0.14356373250484467, ""mtp"": 0.16164106130599976}",0.29688,0.50391,0.90222,19.42,1.00e-03,166344
9600,0.30404,"{""ntp"": 0.14409542083740234, ""mtp"": 0.15994472801685333}",0.44141,0.68750,0.93479,15.58,1.00e-03,166668
10000,0.30479,"{""ntp"": 0.14281408488750458, ""mtp"": 0.16197317838668823}",0.41016,0.64062,0.92520,12.51,1.00e-03,166404
10400,0.29761,"{""ntp"": 0.13593442738056183, ""mtp"": 0.1616763323545456}",0.45703,0.66797,0.93813,18.38,1.00e-03,166154
10800,0.30033,"{""ntp"": 0.13982973992824554, ""mtp"": 0.16050301492214203}",0.57031,0.75000,0.94749,13.86,1.00e-03,166295
11200,0.29270,"{""ntp"": 0.13319899141788483, ""mtp"": 0.15949732065200806}",0.58203,0.73438,0.94811,14.55,1.00e-03,166331
11600,0.29086,"{""ntp"": 0.1340232938528061, ""mtp"": 0.15683872997760773}",0.63281,0.80078,0.95606,14.66,1.00e-03,166248
12000,0.29193,"{""ntp"": 0.13257843255996704, ""mtp"": 0.15935131907463074}",0.60938,0.80078,0.95902,13.87,1.00e-03,166203
12400,0.28538,"{""ntp"": 0.13218869268894196, ""mtp"": 0.15319542586803436}",0.63281,0.80859,0.95890,11.46,1.00e-03,166155
12800,0.28888,"{""ntp"": 0.1353304088115692, ""mtp"": 0.15354712307453156}",0.66016,0.84375,0.96683,11.20,1.00e-03,166110
13200,0.28716,"{""ntp"": 0.13297304511070251, ""mtp"": 0.15418273210525513}",0.68750,0.85547,0.97066,9.11,1.00e-03,166071
13600,0.28079,"{""ntp"": 0.13026943802833557, ""mtp"": 0.15051770210266113}",0.62891,0.78125,0.95599,10.19,1.00e-03,166064
14000,0.27934,"{""ntp"": 0.12964636087417603, ""mtp"": 0.14969563484191895}",0.64453,0.77734,0.95959,10.22,1.00e-03,166023
14400,0.28193,"{""ntp"": 0.13058973848819733, ""mtp"": 0.15133696794509888}",0.67969,0.83984,0.96646,9.42,1.00e-03,165972
14800,0.27422,"{""ntp"": 0.12551745772361755, ""mtp"": 0.1487034559249878}",0.73047,0.84375,0.96993,10.15,1.00e-03,165902
15200,0.28199,"{""ntp"": 0.12962833046913147, ""mtp"": 0.1523570716381073}",0.77734,0.89062,0.97534,10.26,1.00e-03,165879
15600,0.28280,"{""ntp"": 0.1292668581008911, ""mtp"": 0.15352845191955566}",0.72266,0.86719,0.97337,9.20,1.00e-03,165866
16000,0.27728,"{""ntp"": 0.12613634765148163, ""mtp"": 0.15114688873291016}",0.67969,0.81641,0.96051,8.02,1.00e-03,165928
16400,0.27485,"{""ntp"": 0.12679877877235413, ""mtp"": 0.14805537462234497}",0.71484,0.86328,0.96614,8.77,1.00e-03,166657
16800,0.28251,"{""ntp"": 0.13078776001930237, ""mtp"": 0.15172617137432098}",0.66016,0.78516,0.95720,7.50,1.00e-03,166821
17200,0.27322,"{""ntp"": 0.1230395957827568, ""mtp"": 0.15017688274383545}",0.63672,0.75781,0.95577,8.23,1.00e-03,166888
17600,0.27480,"{""ntp"": 0.12497033923864365, ""mtp"": 0.14983320236206055}",0.76172,0.90234,0.97377,8.30,1.00e-03,166818
18000,0.27582,"{""ntp"": 0.12571436166763306, ""mtp"": 0.15010204911231995}",0.75781,0.89453,0.97473,8.13,1.00e-03,166703
18400,0.26964,"{""ntp"": 0.12323703616857529, ""mtp"": 0.1464020311832428}",0.83203,0.89453,0.98161,8.54,1.00e-03,166696
18800,0.27488,"{""ntp"": 0.124844491481781, ""mtp"": 0.15003864467144012}",0.75391,0.84766,0.97279,8.73,1.00e-03,166699
19200,0.27382,"{""ntp"": 0.12528680264949799, ""mtp"": 0.14853301644325256}",0.73047,0.82422,0.96634,7.73,1.00e-03,166672
19600,0.27004,"{""ntp"": 0.12311626225709915, ""mtp"": 0.14692288637161255}",0.83984,0.90234,0.98271,7.03,1.00e-03,166641
20000,0.26919,"{""ntp"": 0.121599942445755, ""mtp"": 0.147587388753891}",0.76172,0.85938,0.97440,6.59,1.00e-03,166615
20400,0.27323,"{""ntp"": 0.1247105672955513, ""mtp"": 0.14851652085781097}",0.69531,0.81641,0.95973,6.71,1.00e-03,166592
20800,0.26726,"{""ntp"": 0.12048813700675964, ""mtp"": 0.14677566289901733}",0.76172,0.86328,0.97439,6.06,1.00e-03,166577
21200,0.26723,"{""ntp"": 0.12271109223365784, ""mtp"": 0.14451394975185394}",0.75781,0.89844,0.97344,5.79,1.00e-03,166561
21600,0.26701,"{""ntp"": 0.12409190833568573, ""mtp"": 0.14291875064373016}",0.78516,0.89062,0.97490,5.88,1.00e-03,166545
22000,0.26750,"{""ntp"": 0.12356601655483246, ""mtp"": 0.1439301073551178}",0.77344,0.87500,0.97467,6.36,1.00e-03,166524
22400,0.26915,"{""ntp"": 0.12372735142707825, ""mtp"": 0.1454201638698578}",0.76172,0.87500,0.97357,5.88,1.00e-03,166507
22800,0.26579,"{""ntp"": 0.12166476994752884, ""mtp"": 0.1441258192062378}",0.79688,0.88281,0.97398,5.13,1.00e-03,166491
23200,0.27234,"{""ntp"": 0.12550827860832214, ""mtp"": 0.1468307375907898}",0.76172,0.83984,0.96880,5.58,1.00e-03,166469
23600,0.26961,"{""ntp"": 0.12294051796197891, ""mtp"": 0.14667174220085144}",0.80469,0.89062,0.97896,5.56,1.00e-03,166460
24000,0.26720,"{""ntp"": 0.12293941527605057, ""mtp"": 0.1442607194185257}",0.81250,0.86719,0.97480,5.09,1.00e-03,166567
24400,0.26622,"{""ntp"": 0.12270361930131912, ""mtp"": 0.14352011680603027}",0.75781,0.86719,0.97072,5.60,1.00e-03,166542
24800,0.26459,"{""ntp"": 0.12026763707399368, ""mtp"": 0.14431801438331604}",0.80859,0.90625,0.97572,5.51,1.00e-03,166512
25200,0.26559,"{""ntp"": 0.12038998305797577, ""mtp"": 0.14519637823104858}",0.86719,0.91797,0.98535,5.35,1.00e-03,166495
25600,0.25908,"{""ntp"": 0.11704658716917038, ""mtp"": 0.142031729221344}",0.82031,0.90234,0.98278,5.37,1.00e-03,166470
26000,0.26097,"{""ntp"": 0.11846807599067688, ""mtp"": 0.14250001311302185}",0.77734,0.87891,0.97124,5.34,1.00e-03,166453
26400,0.25917,"{""ntp"": 0.11700385808944702, ""mtp"": 0.14216342568397522}",0.87500,0.94141,0.98707,5.77,1.00e-03,166460
26800,0.26635,"{""ntp"": 0.11952979862689972, ""mtp"": 0.1468207687139511}",0.80078,0.88672,0.97719,4.23,1.00e-03,166435
27200,0.26519,"{""ntp"": 0.12240461260080338, ""mtp"": 0.14278684556484222}",0.80469,0.86328,0.97728,4.61,1.00e-03,166398
27600,0.26377,"{""ntp"": 0.12170124053955078, ""mtp"": 0.1420719474554062}",0.79297,0.87891,0.97648,4.98,1.00e-03,166371
28000,0.26070,"{""ntp"": 0.11823110282421112, ""mtp"": 0.1424662321805954}",0.78906,0.89844,0.97737,4.11,1.00e-03,166386
28400,0.26062,"{""ntp"": 0.11741475015878677, ""mtp"": 0.14320436120033264}",0.82031,0.92578,0.98345,4.62,1.00e-03,166350
28800,0.25583,"{""ntp"": 0.1158580407500267, ""mtp"": 0.13997282087802887}",0.85156,0.89453,0.98204,4.41,1.00e-03,166296
29200,0.25400,"{""ntp"": 0.11439516395330429, ""mtp"": 0.13960467278957367}",0.82031,0.88672,0.98063,4.16,1.00e-03,166193
29600,0.25815,"{""ntp"": 0.11748412996530533, ""mtp"": 0.1406697779893875}",0.81641,0.89062,0.98046,5.12,1.00e-03,166174
30000,0.25269,"{""ntp"": 0.11330512166023254, ""mtp"": 0.1393802911043167}",0.76562,0.86719,0.97220,4.57,1.00e-03,166107
30400,0.26417,"{""ntp"": 0.12145481258630753, ""mtp"": 0.1427135467529297}",0.83984,0.90234,0.98149,4.13,1.00e-03,166075
30800,0.26100,"{""ntp"": 0.11909880489110947, ""mtp"": 0.14190080761909485}",0.86328,0.91406,0.98550,5.35,1.00e-03,166158
31200,0.25894,"{""ntp"": 0.11876703053712845, ""mtp"": 0.14017385244369507}",0.81641,0.88672,0.97653,4.48,1.00e-03,166489
31600,0.26053,"{""ntp"": 0.11973391473293304, ""mtp"": 0.1407918483018875}",0.82422,0.89453,0.98079,4.54,1.00e-03,166488
32000,0.26098,"{""ntp"": 0.11873031407594681, ""mtp"": 0.14224986732006073}",0.80078,0.89062,0.97548,4.14,1.00e-03,166469
32400,0.25881,"{""ntp"": 0.1167249009013176, ""mtp"": 0.14208866655826569}",0.84375,0.91797,0.98174,4.63,1.00e-03,166462
32800,0.26369,"{""ntp"": 0.12070728093385696, ""mtp"": 0.1429862529039383}",0.78906,0.87109,0.97301,5.30,1.00e-03,166459
33200,0.25348,"{""ntp"": 0.11338531225919724, ""mtp"": 0.14009863138198853}",0.85547,0.93359,0.98469,3.73,1.00e-03,166447
33600,0.25834,"{""ntp"": 0.11802101135253906, ""mtp"": 0.14031542837619781}",0.79688,0.88672,0.97700,4.22,1.00e-03,166414
34000,0.26226,"{""ntp"": 0.11951134353876114, ""mtp"": 0.14274953305721283}",0.87500,0.92188,0.98315,4.08,1.00e-03,166288
34400,0.25008,"{""ntp"": 0.11300389468669891, ""mtp"": 0.13707317411899567}",0.83203,0.91797,0.98022,3.80,1.00e-03,166157
34800,0.25686,"{""ntp"": 0.1176944151520729, ""mtp"": 0.13916774094104767}",0.86328,0.91797,0.98624,3.84,1.00e-03,166084
35200,0.25533,"{""ntp"": 0.11488264799118042, ""mtp"": 0.1404503732919693}",0.82422,0.90625,0.97856,4.10,1.00e-03,166069
35600,0.25737,"{""ntp"": 0.11556179821491241, ""mtp"": 0.1418032944202423}",0.87500,0.92578,0.98641,3.84,1.00e-03,166025
36000,0.25139,"{""ntp"": 0.11356709152460098, ""mtp"": 0.13782186806201935}",0.83594,0.87891,0.98138,3.51,1.00e-03,166101
36400,0.25670,"{""ntp"": 0.11699210852384567, ""mtp"": 0.1397048681974411}",0.80078,0.89844,0.97729,4.00,1.00e-03,166089
36800,0.25008,"{""ntp"": 0.11243115365505219, ""mtp"": 0.1376536637544632}",0.88672,0.93750,0.98779,4.18,1.00e-03,166043
37200,0.25602,"{""ntp"": 0.1163661777973175, ""mtp"": 0.13965484499931335}",0.79688,0.86719,0.97677,3.66,1.00e-03,165964
37600,0.25831,"{""ntp"": 0.11943401396274567, ""mtp"": 0.13887494802474976}",0.87500,0.93359,0.98696,3.65,1.00e-03,165912
38000,0.25818,"{""ntp"": 0.118215411901474, ""mtp"": 0.13996776938438416}",0.75781,0.83594,0.96757,4.16,1.00e-03,166174
38400,0.25503,"{""ntp"": 0.11721780896186829, ""mtp"": 0.13780918717384338}",0.82422,0.89453,0.97857,3.94,1.00e-03,166153
38800,0.25209,"{""ntp"": 0.11470014601945877, ""mtp"": 0.13739123940467834}",0.83203,0.91406,0.98104,3.88,1.00e-03,166169
39200,0.25148,"{""ntp"": 0.11377314478158951, ""mtp"": 0.1377081423997879}",0.84766,0.91406,0.98339,3.56,1.00e-03,166164
39600,0.25211,"{""ntp"": 0.11526799947023392, ""mtp"": 0.13684242963790894}",0.88672,0.93359,0.98433,4.06,1.00e-03,166253
40000,0.24654,"{""ntp"": 0.1111830323934555, ""mtp"": 0.13535691797733307}",0.82422,0.87500,0.98003,3.49,1.00e-03,166494
40400,0.25469,"{""ntp"": 0.11500478535890579, ""mtp"": 0.13968060910701752}",0.85938,0.92188,0.98526,3.29,1.00e-03,166796
40800,0.24426,"{""ntp"": 0.1098916083574295, ""mtp"": 0.13437294960021973}",0.82812,0.88672,0.97874,3.42,1.00e-03,166829
41200,0.25707,"{""ntp"": 0.11542311310768127, ""mtp"": 0.14165137708187103}",0.87891,0.93359,0.98560,3.72,1.00e-03,166857
41600,0.25423,"{""ntp"": 0.11611030250787735, ""mtp"": 0.13812202215194702}",0.80078,0.86719,0.97150,3.70,1.00e-03,167114
42000,0.24770,"{""ntp"": 0.11197963356971741, ""mtp"": 0.13571612536907196}",0.89062,0.93359,0.98624,3.52,1.00e-03,167355
42400,0.25332,"{""ntp"": 0.11424429714679718, ""mtp"": 0.13907884061336517}",0.85547,0.94141,0.98541,3.91,1.00e-03,167632
42800,0.25336,"{""ntp"": 0.11527057737112045, ""mtp"": 0.138091579079628}",0.81250,0.89062,0.97984,3.49,1.00e-03,167820
43200,0.25396,"{""ntp"": 0.11536113917827606, ""mtp"": 0.13859878480434418}",0.84766,0.91797,0.98319,3.63,1.00e-03,167988
43600,0.25340,"{""ntp"": 0.11552539467811584, ""mtp"": 0.13787400722503662}",0.85938,0.93750,0.98610,3.70,1.00e-03,168043
44000,0.24632,"{""ntp"": 0.11249926686286926, ""mtp"": 0.1338256448507309}",0.87109,0.91406,0.98401,3.39,1.00e-03,168029
44400,0.24946,"{""ntp"": 0.11172913759946823, ""mtp"": 0.1377318948507309}",0.86328,0.92969,0.98480,3.19,1.00e-03,168013
44800,0.25586,"{""ntp"": 0.11692993342876434, ""mtp"": 0.13893412053585052}",0.85156,0.91016,0.98048,3.21,1.00e-03,167994
45200,0.24663,"{""ntp"": 0.10969720780849457, ""mtp"": 0.13693684339523315}",0.89453,0.92969,0.98827,3.64,1.00e-03,167979
45600,0.23939,"{""ntp"": 0.10718917846679688, ""mtp"": 0.1322035789489746}",0.86328,0.91797,0.98256,3.37,1.00e-03,168191
46000,0.25184,"{""ntp"": 0.11646448820829391, ""mtp"": 0.13537678122520447}",0.88281,0.92969,0.98853,3.33,1.00e-03,168318
46400,0.24815,"{""ntp"": 0.1129988357424736, ""mtp"": 0.13514775037765503}",0.88281,0.93750,0.98606,3.71,1.00e-03,168326
46800,0.25017,"{""ntp"": 0.1145961731672287, ""mtp"": 0.13557499647140503}",0.84375,0.92188,0.98154,3.28,1.00e-03,168345
47200,0.24944,"{""ntp"": 0.11314821243286133, ""mtp"": 0.13629621267318726}",0.87500,0.91406,0.98623,3.57,1.00e-03,168394
47600,0.25353,"{""ntp"": 0.11631710827350616, ""mtp"": 0.13720843195915222}",0.88672,0.93750,0.98826,3.29,1.00e-03,168344
48000,0.24474,"{""ntp"": 0.10929097980260849, ""mtp"": 0.1354442536830902}",0.88672,0.95312,0.98824,3.45,1.00e-03,168305
