step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,2.14328,"{""ntp"": 2.143275737762451}",0.00781,0.22892,0.71668,-0.01335,17.95,1.00e-03,214221
400,1.58432,"{""ntp"": 1.584322452545166}",0.12500,0.46185,0.85542,-0.01484,19.60,9.94e-04,218840
600,1.48872,"{""ntp"": 1.4887199401855469}",0.32422,0.56627,0.90346,-0.01342,21.78,9.76e-04,222637
800,1.45027,"{""ntp"": 1.450270175933838}",0.34766,0.55823,0.93000,-0.01184,22.27,9.46e-04,223727
1000,1.41587,"{""ntp"": 1.4158686399459839}",0.37500,0.59438,0.94648,-0.01167,23.14,9.05e-04,225727
1200,1.40064,"{""ntp"": 1.4006414413452148}",0.38281,0.55823,0.95826,-0.01142,22.67,8.55e-04,226131
1400,1.40522,"{""ntp"": 1.405218243598938}",0.45312,0.57028,0.96554,-0.01165,22.55,7.96e-04,226675
1600,1.38538,"{""ntp"": 1.3853789567947388}",0.44531,0.59438,0.97036,-0.01192,22.84,7.31e-04,226818
1800,1.38771,"{""ntp"": 1.3877087831497192}",0.49609,0.62249,0.97429,-0.01171,23.54,6.60e-04,227194
2000,1.39030,"{""ntp"": 1.3903049230575562}",0.51562,0.64659,0.97706,-0.01167,23.01,5.87e-04,227230
2200,1.37667,"{""ntp"": 1.3766720294952393}",0.52344,0.63454,0.97925,-0.01162,23.18,5.13e-04,227467
2400,1.37559,"{""ntp"": 1.3755890130996704}",0.55078,0.63454,0.98062,-0.01142,22.10,4.40e-04,227352
2600,1.35977,"{""ntp"": 1.3597731590270996}",0.57031,0.65863,0.98178,-0.01139,22.87,3.69e-04,228904
2800,1.36255,"{""ntp"": 1.3625532388687134}",0.60938,0.69880,0.98276,-0.01129,22.05,3.04e-04,228914
3000,1.36487,"{""ntp"": 1.3648735284805298}",0.55859,0.68273,0.98332,-0.01107,22.80,2.45e-04,228751
3200,1.35414,"{""ntp"": 1.3541377782821655}",0.58594,0.67871,0.98385,-0.01083,22.62,1.95e-04,228852
3400,1.35551,"{""ntp"": 1.35551118850708}",0.62109,0.71084,0.98426,-0.01060,22.37,1.54e-04,228760
3600,1.34852,"{""ntp"": 1.3485214710235596}",0.62109,0.69076,0.98458,-0.01039,22.37,1.24e-04,228824
3800,1.35790,"{""ntp"": 1.3579044342041016}",0.63281,0.71486,0.98484,-0.01025,22.48,1.06e-04,228719
4000,1.33953,"{""ntp"": 1.3395299911499023}",0.67578,0.73092,0.98500,-0.01009,22.28,1.00e-04,228601
