step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,6.49961,"{""ntp"": 3.8155293464660645, ""mtp"": 2.6840837001800537}",0.00781,0.19277,0.59809,-0.00788,14.58,1.00e-03,200756
400,5.41548,"{""ntp"": 2.9489190578460693, ""mtp"": 2.466562271118164}",0.11719,0.49398,0.76783,-0.00975,22.79,9.94e-04,207003
600,5.26344,"{""ntp"": 2.8720290660858154, ""mtp"": 2.3914108276367188}",0.23828,0.48193,0.81545,-0.00971,23.60,9.76e-04,209005
800,5.07739,"{""ntp"": 2.771064519882202, ""mtp"": 2.3063278198242188}",0.33203,0.51807,0.84423,-0.00906,14.86,9.46e-04,210045
1000,5.00545,"{""ntp"": 2.7531745433807373, ""mtp"": 2.2522706985473633}",0.46484,0.60241,0.86576,-0.00835,13.37,9.05e-04,210640
1200,4.91095,"{""ntp"": 2.729569673538208, ""mtp"": 2.181382656097412}",0.45312,0.60241,0.88122,-0.00791,12.69,8.55e-04,211139
1400,4.82181,"{""ntp"": 2.7107977867126465, ""mtp"": 2.1110095977783203}",0.55859,0.64659,0.89344,-0.00739,9.46,7.96e-04,211548
1600,4.73919,"{""ntp"": 2.7034709453582764, ""mtp"": 2.03572416305542}",0.57031,0.69076,0.90248,-0.00703,7.28,7.31e-04,211939
1800,4.69482,"{""ntp"": 2.6970596313476562, ""mtp"": 1.9977648258209229}",0.61719,0.71084,0.90894,-0.00675,6.06,6.60e-04,212022
2000,4.63579,"{""ntp"": 2.67535138130188, ""mtp"": 1.960437297821045}",0.58594,0.66667,0.91422,-0.00644,5.63,5.87e-04,212129
2200,4.57378,"{""ntp"": 2.6798667907714844, ""mtp"": 1.8939152956008911}",0.66016,0.75904,0.91819,-0.00626,4.88,5.13e-04,212189
2400,4.52597,"{""ntp"": 2.6557178497314453, ""mtp"": 1.8702555894851685}",0.65234,0.71084,0.92137,-0.00590,4.67,4.40e-04,212256
2600,4.47970,"{""ntp"": 2.6458308696746826, ""mtp"": 1.8338719606399536}",0.67578,0.75100,0.92385,-0.00572,5.35,3.69e-04,212364
2800,4.45920,"{""ntp"": 2.625555992126465, ""mtp"": 1.833648681640625}",0.75391,0.80321,0.92573,-0.00548,4.86,3.04e-04,212425
3000,4.42633,"{""ntp"": 2.6257193088531494, ""mtp"": 1.8006120920181274}",0.76562,0.80321,0.92719,-0.00520,5.70,2.45e-04,212497
3200,4.41346,"{""ntp"": 2.633755922317505, ""mtp"": 1.7796990871429443}",0.75000,0.79116,0.92828,-0.00503,5.04,1.95e-04,212496
3400,4.38808,"{""ntp"": 2.639572858810425, ""mtp"": 1.7485036849975586}",0.77734,0.81124,0.92911,-0.00481,4.77,1.54e-04,212528
3600,4.37041,"{""ntp"": 2.6174368858337402, ""mtp"": 1.7529728412628174}",0.80078,0.82731,0.92976,-0.00464,5.67,1.24e-04,212539
3800,4.37222,"{""ntp"": 2.6208302974700928, ""mtp"": 1.7513898611068726}",0.82422,0.86747,0.93017,-0.00450,5.81,1.06e-04,212589
4000,4.36160,"{""ntp"": 2.614776372909546, ""mtp"": 1.7468191385269165}",0.83594,0.86345,0.93052,-0.00436,5.88,1.00e-04,212588
