step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,4.39154,"{""ntp"": 2.3903026580810547, ""mtp"": 2.0012407302856445}",0.00391,0.25197,0.71515,-0.01242,19.65,1.00e-03,178038
400,3.29710,"{""ntp"": 1.5099306106567383, ""mtp"": 1.7871735095977783}",0.22656,0.46063,0.85224,-0.01147,26.70,9.94e-04,184740
600,3.13626,"{""ntp"": 1.4555364847183228, ""mtp"": 1.680726408958435}",0.32812,0.47244,0.89829,-0.00962,34.76,9.76e-04,187830
800,2.99358,"{""ntp"": 1.4277900457382202, ""mtp"": 1.5657883882522583}",0.40234,0.52756,0.92788,-0.00929,35.52,9.46e-04,188933
1000,2.85899,"{""ntp"": 1.403387427330017, ""mtp"": 1.4556013345718384}",0.43359,0.57480,0.94681,-0.00915,39.44,9.05e-04,189584
1200,2.78880,"{""ntp"": 1.393917441368103, ""mtp"": 1.3948866128921509}",0.47266,0.58661,0.95797,-0.00910,39.01,8.55e-04,190511
1400,2.72689,"{""ntp"": 1.3771182298660278, ""mtp"": 1.349767804145813}",0.56641,0.64567,0.96540,-0.00893,41.04,7.96e-04,190699
1600,2.68545,"{""ntp"": 1.37565279006958, ""mtp"": 1.3097985982894897}",0.56250,0.64567,0.97075,-0.00909,30.25,7.31e-04,190796
1800,2.63287,"{""ntp"": 1.3614001274108887, ""mtp"": 1.2714684009552002}",0.62500,0.68504,0.97442,-0.00890,25.83,6.60e-04,191582
2000,2.60542,"{""ntp"": 1.3644989728927612, ""mtp"": 1.2409226894378662}",0.62891,0.71654,0.97728,-0.00880,26.19,5.87e-04,195426
2200,2.59464,"{""ntp"": 1.3589534759521484, ""mtp"": 1.2356839179992676}",0.68359,0.71654,0.97925,-0.00889,23.03,5.13e-04,199286
2400,2.53118,"{""ntp"": 1.3394395112991333, ""mtp"": 1.191735863685608}",0.65625,0.68898,0.98083,-0.00874,18.63,4.40e-04,202155
2600,2.51087,"{""ntp"": 1.3352707624435425, ""mtp"": 1.175599455833435}",0.74609,0.78740,0.98228,-0.00857,17.48,3.69e-04,203035
2800,2.48705,"{""ntp"": 1.3396780490875244, ""mtp"": 1.1473731994628906}",0.74609,0.78740,0.98337,-0.00864,17.83,3.04e-04,205103
3000,2.44641,"{""ntp"": 1.330521821975708, ""mtp"": 1.1158907413482666}",0.77734,0.81102,0.98409,-0.00857,17.80,2.45e-04,206940
3200,2.44690,"{""ntp"": 1.3310096263885498, ""mtp"": 1.1158944368362427}",0.78906,0.81496,0.98478,-0.00854,18.61,1.95e-04,208897
3400,2.43337,"{""ntp"": 1.3233046531677246, ""mtp"": 1.110061764717102}",0.82812,0.84646,0.98535,-0.00849,17.13,1.54e-04,210404
3600,2.43046,"{""ntp"": 1.3217576742172241, ""mtp"": 1.108697533607483}",0.82422,0.84252,0.98575,-0.00842,17.69,1.24e-04,210531
3800,2.39660,"{""ntp"": 1.3250999450683594, ""mtp"": 1.0714964866638184}",0.87891,0.88583,0.98608,-0.00836,18.74,1.06e-04,209436
4000,2.42230,"{""ntp"": 1.3168896436691284, ""mtp"": 1.1054061651229858}",0.88281,0.90551,0.98634,-0.00831,18.66,1.00e-04,208606
