step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,2.54577,"{""ntp"": 2.545769691467285}",2.52719,12.51833,108.30,6.00e-04,191967
1000,1.97518,"{""ntp"": 1.975182294845581}",1.95789,7.08433,165.09,5.99e-04,189390
1500,1.83338,"{""ntp"": 1.8333845138549805}",1.79312,6.00814,186.50,5.97e-04,188474
2000,1.72378,"{""ntp"": 1.7237781286239624}",1.71366,5.54925,196.31,5.92e-04,188076
2500,1.67064,"{""ntp"": 1.6706368923187256}",1.65102,5.21228,186.83,5.86e-04,187827
3000,1.70087,"{""ntp"": 1.7008650302886963}",1.60761,4.99085,195.71,5.78e-04,187646
3500,1.56949,"{""ntp"": 1.5694907903671265}",1.57895,4.84985,194.69,5.69e-04,187510
4000,1.52079,"{""ntp"": 1.520794153213501}",1.54925,4.70792,196.62,5.58e-04,187428
4500,1.55537,"{""ntp"": 1.5553697347640991}",1.52083,4.57604,195.57,5.46e-04,187353
5000,1.48746,"{""ntp"": 1.4874553680419922}",1.50353,4.49753,192.95,5.32e-04,187298
5500,1.43827,"{""ntp"": 1.4382740259170532}",1.48822,4.42919,197.15,5.17e-04,187247
6000,1.45804,"{""ntp"": 1.4580389261245728}",1.46871,4.34364,190.58,5.01e-04,187208
6500,1.48106,"{""ntp"": 1.4810633659362793}",1.45413,4.28075,193.77,4.83e-04,187183
7000,1.43196,"{""ntp"": 1.4319647550582886}",1.44211,4.22962,190.96,4.65e-04,187163
7500,1.42737,"{""ntp"": 1.4273664951324463}",1.42893,4.17424,193.66,4.46e-04,187140
8000,1.39229,"{""ntp"": 1.3922866582870483}",1.41970,4.13590,186.30,4.26e-04,187127
8500,1.40452,"{""ntp"": 1.4045166969299316}",1.40567,4.07827,193.23,4.05e-04,187116
9000,1.34279,"{""ntp"": 1.3427897691726685}",1.39570,4.03779,181.42,3.84e-04,187100
9500,1.41395,"{""ntp"": 1.413954734802246}",1.38741,4.00445,191.61,3.63e-04,187076
10000,1.34330,"{""ntp"": 1.3433034420013428}",1.37924,3.97187,187.76,3.41e-04,187060
10500,1.35514,"{""ntp"": 1.3551374673843384}",1.36979,3.93452,176.19,3.19e-04,187046
11000,1.32989,"{""ntp"": 1.3298916816711426}",1.36492,3.91540,180.29,2.97e-04,187036
11500,1.38505,"{""ntp"": 1.385050654411316}",1.35544,3.87847,181.62,2.76e-04,187013
12000,1.32150,"{""ntp"": 1.3214961290359497}",1.34799,3.84968,183.58,2.55e-04,186999
12500,1.31422,"{""ntp"": 1.3142236471176147}",1.34049,3.82091,188.84,2.34e-04,186990
13000,1.31701,"{""ntp"": 1.3170109987258911}",1.33492,3.79971,186.56,2.14e-04,186984
13500,1.35651,"{""ntp"": 1.356512188911438}",1.33096,3.78466,182.95,1.95e-04,186968
14000,1.31819,"{""ntp"": 1.31818687915802}",1.32292,3.75437,180.77,1.77e-04,186955
14500,1.26794,"{""ntp"": 1.2679448127746582}",1.31760,3.73444,185.31,1.59e-04,186952
15000,1.28571,"{""ntp"": 1.2857129573822021}",1.31248,3.71539,187.18,1.43e-04,186949
15500,1.26284,"{""ntp"": 1.2628390789031982}",1.30822,3.69960,184.95,1.28e-04,186942
16000,1.39616,"{""ntp"": 1.3961639404296875}",1.30432,3.68517,180.35,1.14e-04,186936
16500,1.29657,"{""ntp"": 1.2965713739395142}",1.30032,3.67048,183.50,1.02e-04,186932
17000,1.20407,"{""ntp"": 1.204067587852478}",1.29673,3.65734,181.66,9.09e-05,186932
17500,1.26698,"{""ntp"": 1.2669768333435059}",1.29363,3.64598,182.74,8.16e-05,186920
18000,1.29726,"{""ntp"": 1.2972590923309326}",1.29064,3.63512,178.06,7.39e-05,186907
18500,1.30727,"{""ntp"": 1.3072673082351685}",1.28935,3.63043,179.43,6.78e-05,186901
19000,1.27118,"{""ntp"": 1.2711812257766724}",1.28749,3.62370,181.75,6.35e-05,186897
19500,1.21694,"{""ntp"": 1.2169411182403564}",1.28462,3.61328,183.64,6.09e-05,186891
20000,1.24514,"{""ntp"": 1.2451374530792236}",1.28439,3.61247,181.10,6.00e-05,186887
