step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.11553,"{""ntp"": 1.1155284643173218}",0.00000,0.00000,0.07973,2.41,1.00e-03,206646
400,0.89902,"{""ntp"": 0.8990150690078735}",0.00000,0.46484,0.13701,3.75,9.94e-04,219932
600,0.79030,"{""ntp"": 0.7903019785881042}",0.00000,0.97266,0.15055,5.67,9.76e-04,226904
800,0.64851,"{""ntp"": 0.6485106945037842}",0.00000,0.89062,0.20447,8.18,9.46e-04,229532
1000,0.28830,"{""ntp"": 0.2882950007915497}",0.00781,0.31250,0.71890,5.72,9.05e-04,231557
1200,0.25915,"{""ntp"": 0.25915348529815674}",0.01562,0.21484,0.73264,6.34,8.55e-04,237421
1400,0.24916,"{""ntp"": 0.24916361272335052}",0.00391,0.29297,0.74870,6.75,7.96e-04,244094
1600,0.24497,"{""ntp"": 0.24497118592262268}",0.02734,0.28906,0.76787,7.61,7.31e-04,249428
1800,0.23578,"{""ntp"": 0.23577982187271118}",0.01953,0.24609,0.75605,8.17,6.60e-04,253635
2000,0.23115,"{""ntp"": 0.23114921152591705}",0.02734,0.25391,0.75035,8.34,5.87e-04,256870
2200,0.22960,"{""ntp"": 0.22960224747657776}",0.01953,0.21094,0.76000,8.67,5.13e-04,255454
2400,0.22022,"{""ntp"": 0.2202184498310089}",0.03125,0.33203,0.77744,9.27,4.40e-04,254187
2600,0.22025,"{""ntp"": 0.2202545553445816}",0.03516,0.27734,0.77041,9.17,3.69e-04,253767
2800,0.21701,"{""ntp"": 0.2170061469078064}",0.01562,0.14844,0.74047,8.64,3.04e-04,253964
3000,0.21195,"{""ntp"": 0.21195431053638458}",0.02734,0.21875,0.75409,9.04,2.45e-04,254748
3200,0.21302,"{""ntp"": 0.21301564574241638}",0.06641,0.25781,0.78590,8.37,1.95e-04,256836
3400,0.21019,"{""ntp"": 0.21019385755062103}",0.03125,0.22656,0.77113,8.46,1.54e-04,256753
3600,0.20636,"{""ntp"": 0.20636051893234253}",0.03125,0.21484,0.77056,8.66,1.24e-04,256616
3800,0.20381,"{""ntp"": 0.20381368696689606}",0.03125,0.26172,0.75712,8.94,1.06e-04,257990
4000,0.20717,"{""ntp"": 0.20716877281665802}",0.02344,0.22266,0.73450,9.12,1.00e-04,258585
