step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,4.01394,"{""ntp"": 4.013941764831543}",0.00000,0.03150,0.58444,-0.00707,12.45,1.00e-03,217138
400,3.08625,"{""ntp"": 3.08624529838562}",0.07422,0.42520,0.75241,-0.01094,15.54,9.94e-04,224308
600,2.88686,"{""ntp"": 2.886855125427246}",0.24609,0.48819,0.80765,-0.01258,18.40,9.76e-04,227043
800,2.78725,"{""ntp"": 2.7872486114501953}",0.27344,0.47638,0.83517,-0.01267,18.90,9.46e-04,228021
1000,2.76336,"{""ntp"": 2.76336407661438}",0.37109,0.54724,0.85300,-0.01268,18.21,9.05e-04,228901
1200,2.73195,"{""ntp"": 2.7319483757019043}",0.33594,0.51575,0.86672,-0.01234,18.06,8.55e-04,229257
1400,2.72664,"{""ntp"": 2.726635217666626}",0.41797,0.56693,0.87740,-0.01208,18.18,7.96e-04,229622
1600,2.71838,"{""ntp"": 2.7183754444122314}",0.47656,0.61024,0.88553,-0.01180,17.88,7.31e-04,229811
1800,2.71400,"{""ntp"": 2.713995933532715}",0.48438,0.59449,0.89188,-0.01141,18.04,6.60e-04,230124
2000,2.69355,"{""ntp"": 2.693552255630493}",0.48438,0.59449,0.89687,-0.01121,17.80,5.87e-04,230194
2200,2.67905,"{""ntp"": 2.679051637649536}",0.50781,0.62992,0.90066,-0.01093,18.30,5.13e-04,230362
2400,2.67682,"{""ntp"": 2.67682147026062}",0.44141,0.55906,0.90366,-0.01070,18.22,4.40e-04,230401
2600,2.65787,"{""ntp"": 2.6578731536865234}",0.53906,0.64173,0.90600,-0.01041,18.76,3.69e-04,230532
2800,2.67336,"{""ntp"": 2.6733577251434326}",0.53516,0.61811,0.90770,-0.01013,18.77,3.04e-04,230599
3000,2.66948,"{""ntp"": 2.6694796085357666}",0.55469,0.65354,0.90898,-0.00991,18.79,2.45e-04,230690
3200,2.65133,"{""ntp"": 2.651334762573242}",0.55469,0.63780,0.90989,-0.00969,18.95,1.95e-04,230890
3400,2.65549,"{""ntp"": 2.6554932594299316}",0.55469,0.65354,0.91050,-0.00954,19.13,1.54e-04,231007
3600,2.65301,"{""ntp"": 2.6530072689056396}",0.58594,0.67717,0.91094,-0.00937,19.10,1.24e-04,231270
3800,2.65301,"{""ntp"": 2.6530075073242188}",0.58203,0.67323,0.91129,-0.00921,19.13,1.06e-04,231479
4000,2.63495,"{""ntp"": 2.634949207305908}",0.58203,0.66142,0.91146,-0.00909,19.13,1.00e-04,231725
