step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.48371,"{""ntp"": 3.4587762355804443, ""jepa_pooled"": 0.024936169385910034}",0.00000,0.00651,0.00496,0.68459,-0.02057,15.27,1.00e-03,112863
400,2.93275,"{""ntp"": 2.914641857147217, ""jepa_pooled"": 0.018108448013663292}",0.00000,0.25000,0.43666,0.81465,-0.02209,22.10,9.94e-04,115165
600,2.87334,"{""ntp"": 2.8462467193603516, ""jepa_pooled"": 0.027097085490822792}",0.01953,0.57682,0.71876,0.85513,-0.02151,26.07,9.76e-04,115965
800,2.85022,"{""ntp"": 2.81900954246521, ""jepa_pooled"": 0.031205935403704643}",0.01562,0.61849,0.79059,0.88158,-0.02077,27.85,9.46e-04,116417
1000,2.83864,"{""ntp"": 2.801790475845337, ""jepa_pooled"": 0.036854103207588196}",0.03516,0.70182,0.88076,0.90043,-0.02032,29.95,9.05e-04,116680
1200,2.83208,"{""ntp"": 2.790257453918457, ""jepa_pooled"": 0.041823163628578186}",0.21484,0.78646,0.92112,0.91381,-0.01966,32.20,8.55e-04,116874
1400,2.82878,"{""ntp"": 2.7821853160858154, ""jepa_pooled"": 0.04659935459494591}",0.23438,0.82552,0.93798,0.92394,-0.01925,33.27,7.96e-04,116967
1600,2.82248,"{""ntp"": 2.7757344245910645, ""jepa_pooled"": 0.04674387350678444}",0.36328,0.87760,0.95017,0.93147,-0.01902,33.86,7.31e-04,117056
1800,2.81302,"{""ntp"": 2.767366647720337, ""jepa_pooled"": 0.04564914479851723}",0.39453,0.89193,0.96058,0.93784,-0.01875,35.09,6.60e-04,117132
2000,2.80350,"{""ntp"": 2.760005235671997, ""jepa_pooled"": 0.04349300265312195}",0.50391,0.93359,0.97806,0.94238,-0.01840,34.29,5.87e-04,117218
2200,2.79924,"{""ntp"": 2.7576680183410645, ""jepa_pooled"": 0.04156745225191116}",0.51953,0.94401,0.97991,0.94621,-0.01819,34.93,5.13e-04,117287
2400,2.79393,"{""ntp"": 2.753800868988037, ""jepa_pooled"": 0.04013010114431381}",0.61328,0.94661,0.98880,0.94907,-0.01807,34.82,4.40e-04,117342
2600,2.78646,"{""ntp"": 2.7481913566589355, ""jepa_pooled"": 0.03826858475804329}",0.55078,0.95312,0.99262,0.95133,-0.01791,35.15,3.69e-04,117368
2800,2.78792,"{""ntp"": 2.749903678894043, ""jepa_pooled"": 0.0380205474793911}",0.60156,0.95703,0.98509,0.95321,-0.01786,34.75,3.04e-04,117382
3000,2.78291,"{""ntp"": 2.7466485500335693, ""jepa_pooled"": 0.03626468777656555}",0.68359,0.96224,0.98802,0.95464,-0.01782,34.69,2.45e-04,117425
3200,2.77505,"{""ntp"": 2.739189863204956, ""jepa_pooled"": 0.03586436063051224}",0.65625,0.96484,0.98966,0.95574,-0.01781,33.98,1.95e-04,117459
3400,2.77471,"{""ntp"": 2.740313768386841, ""jepa_pooled"": 0.03439706563949585}",0.73828,0.97396,0.99715,0.95659,-0.01776,33.48,1.54e-04,117481
3600,2.76988,"{""ntp"": 2.7358179092407227, ""jepa_pooled"": 0.03406427055597305}",0.74609,0.97917,0.99589,0.95720,-0.01774,33.59,1.24e-04,117490
3800,2.76911,"{""ntp"": 2.735257387161255, ""jepa_pooled"": 0.03385630249977112}",0.72266,0.97917,0.99712,0.95768,-0.01773,33.33,1.06e-04,117510
4000,2.77624,"{""ntp"": 2.7424838542938232, ""jepa_pooled"": 0.03375772386789322}",0.71484,0.98568,0.99753,0.95808,-0.01771,33.59,1.00e-04,117525
