step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.69892,"{""ntp"": 3.6989152431488037}",0.00781,0.23108,0.58922,-0.00746,12.69,1.00e-03,277111
400,2.99729,"{""ntp"": 2.9972896575927734}",0.12109,0.43825,0.73642,-0.01166,15.64,9.94e-04,281050
600,2.81673,"{""ntp"": 2.816725969314575}",0.22266,0.48207,0.78445,-0.01282,17.89,9.76e-04,287463
800,2.75697,"{""ntp"": 2.7569732666015625}",0.37500,0.52988,0.80972,-0.01348,17.24,9.46e-04,287109
1000,2.72957,"{""ntp"": 2.729566812515259}",0.36328,0.49801,0.82729,-0.01401,18.03,9.05e-04,288298
1200,2.72674,"{""ntp"": 2.72674298286438}",0.41016,0.56972,0.84035,-0.01433,18.68,8.55e-04,287624
1400,2.71760,"{""ntp"": 2.7176032066345215}",0.39844,0.50598,0.85063,-0.01468,19.08,7.96e-04,289770
1600,2.72464,"{""ntp"": 2.7246429920196533}",0.45703,0.54183,0.85890,-0.01477,19.31,7.31e-04,291017
1800,2.71480,"{""ntp"": 2.7148022651672363}",0.48047,0.60159,0.86500,-0.01488,19.58,6.60e-04,293028
2000,2.68114,"{""ntp"": 2.6811366081237793}",0.45703,0.58964,0.87006,-0.01490,19.36,5.87e-04,293791
2200,2.67813,"{""ntp"": 2.678130626678467}",0.49609,0.58167,0.87388,-0.01483,19.60,5.13e-04,294015
2400,2.67302,"{""ntp"": 2.6730167865753174}",0.51953,0.59761,0.87690,-0.01472,19.89,4.40e-04,293603
2600,2.66758,"{""ntp"": 2.6675822734832764}",0.49609,0.59363,0.87882,-0.01457,20.04,3.69e-04,297032
2800,2.67269,"{""ntp"": 2.672685384750366}",0.54688,0.64143,0.88055,-0.01442,19.93,3.04e-04,296589
3000,2.65555,"{""ntp"": 2.6555488109588623}",0.57031,0.66534,0.88164,-0.01423,20.16,2.45e-04,297213
3200,2.65002,"{""ntp"": 2.6500182151794434}",0.54297,0.62948,0.88237,-0.01406,20.20,1.95e-04,299308
3400,2.65029,"{""ntp"": 2.6502938270568848}",0.54688,0.64542,0.88277,-0.01394,20.01,1.54e-04,301642
3600,2.65377,"{""ntp"": 2.6537716388702393}",0.60156,0.69721,0.88291,-0.01384,20.28,1.24e-04,302711
3800,2.64960,"{""ntp"": 2.6496007442474365}",0.62500,0.70518,0.88308,-0.01376,20.08,1.06e-04,301623
4000,2.64592,"{""ntp"": 2.645920991897583}",0.60156,0.68526,0.88319,-0.01368,20.19,1.00e-04,301075
