step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,6.62689,"{""ntp"": 3.91021728515625, ""mtp"": 2.71667218208313}",0.00000,0.16929,0.59370,-0.00546,14.31,1.00e-03,200106
400,5.53253,"{""ntp"": 3.010939359664917, ""mtp"": 2.5215868949890137}",0.08594,0.49606,0.76815,-0.00723,21.68,9.94e-04,204632
600,5.23720,"{""ntp"": 2.8321900367736816, ""mtp"": 2.4050140380859375}",0.31641,0.53543,0.81930,-0.00731,28.12,9.76e-04,206567
800,5.09057,"{""ntp"": 2.7577037811279297, ""mtp"": 2.3328685760498047}",0.38672,0.53150,0.84733,-0.00645,28.19,9.46e-04,207782
1000,5.00018,"{""ntp"": 2.733234167098999, ""mtp"": 2.266942024230957}",0.45312,0.55906,0.86681,-0.00564,28.79,9.05e-04,208085
1200,4.90496,"{""ntp"": 2.7141518592834473, ""mtp"": 2.190810203552246}",0.35547,0.49606,0.88207,-0.00507,30.74,8.55e-04,209118
1400,4.84318,"{""ntp"": 2.7034146785736084, ""mtp"": 2.139760732650757}",0.48047,0.58661,0.89401,-0.00462,31.21,7.96e-04,209942
1600,4.78574,"{""ntp"": 2.6988730430603027, ""mtp"": 2.0868659019470215}",0.51562,0.62205,0.90265,-0.00409,31.20,7.31e-04,210492
1800,4.75217,"{""ntp"": 2.69856595993042, ""mtp"": 2.0536015033721924}",0.54688,0.64567,0.90947,-0.00351,33.93,6.60e-04,212661
2000,4.68148,"{""ntp"": 2.6907286643981934, ""mtp"": 1.9907543659210205}",0.59375,0.68898,0.91466,-0.00319,38.70,5.87e-04,212832
2200,4.64523,"{""ntp"": 2.667402744293213, ""mtp"": 1.9778271913528442}",0.61328,0.67717,0.91887,-0.00292,32.98,5.13e-04,213025
2400,4.61391,"{""ntp"": 2.670213460922241, ""mtp"": 1.9436941146850586}",0.60156,0.66535,0.92220,-0.00278,36.49,4.40e-04,213122
2600,4.55270,"{""ntp"": 2.6387200355529785, ""mtp"": 1.913983941078186}",0.72266,0.79134,0.92468,-0.00259,35.88,3.69e-04,213278
2800,4.53536,"{""ntp"": 2.6488139629364014, ""mtp"": 1.886542797088623}",0.73828,0.79134,0.92657,-0.00258,36.87,3.04e-04,213343
3000,4.50538,"{""ntp"": 2.6460132598876953, ""mtp"": 1.8593639135360718}",0.75781,0.78346,0.92810,-0.00243,34.21,2.45e-04,213441
3200,4.45772,"{""ntp"": 2.629244327545166, ""mtp"": 1.8284728527069092}",0.74609,0.78740,0.92924,-0.00222,39.19,1.95e-04,213500
3400,4.46397,"{""ntp"": 2.6306581497192383, ""mtp"": 1.8333168029785156}",0.75000,0.78346,0.93011,-0.00207,35.46,1.54e-04,213590
3600,4.43741,"{""ntp"": 2.6217846870422363, ""mtp"": 1.8156232833862305}",0.78125,0.81496,0.93078,-0.00190,34.82,1.24e-04,213596
3800,4.41927,"{""ntp"": 2.634315013885498, ""mtp"": 1.7849546670913696}",0.81641,0.83465,0.93125,-0.00179,35.67,1.06e-04,213750
4000,4.41179,"{""ntp"": 2.5984954833984375, ""mtp"": 1.8132988214492798}",0.79297,0.81890,0.93162,-0.00170,36.38,1.00e-04,213805
