step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,4.26839,"{""ntp"": 2.32069730758667, ""mtp"": 1.9476964473724365}",0.00000,0.29317,0.71453,-0.01217,19.06,1.00e-03,184183
400,3.39010,"{""ntp"": 1.6083452701568604, ""mtp"": 1.7817574739456177}",0.12500,0.44980,0.85273,-0.01082,26.06,9.94e-04,189158
600,3.21477,"{""ntp"": 1.5093555450439453, ""mtp"": 1.705410122871399}",0.22656,0.53414,0.90107,-0.00974,37.33,9.76e-04,191910
800,3.03404,"{""ntp"": 1.444037914276123, ""mtp"": 1.5900059938430786}",0.38672,0.57028,0.92824,-0.00880,41.07,9.46e-04,192645
1000,2.97280,"{""ntp"": 1.4290378093719482, ""mtp"": 1.5437586307525635}",0.50000,0.65462,0.94603,-0.00809,43.84,9.05e-04,193073
1200,2.85455,"{""ntp"": 1.3875378370285034, ""mtp"": 1.4670100212097168}",0.51172,0.60241,0.95739,-0.00815,49.43,8.55e-04,193869
1400,2.79592,"{""ntp"": 1.3806430101394653, ""mtp"": 1.415276050567627}",0.60938,0.65863,0.96564,-0.00822,50.48,7.96e-04,194070
1600,2.73574,"{""ntp"": 1.3744934797286987, ""mtp"": 1.3612456321716309}",0.62109,0.72691,0.97090,-0.00841,44.97,7.31e-04,193301
1800,2.70779,"{""ntp"": 1.3731753826141357, ""mtp"": 1.3346155881881714}",0.67188,0.73092,0.97436,-0.00860,35.29,6.60e-04,193787
2000,2.65807,"{""ntp"": 1.3709551095962524, ""mtp"": 1.287119746208191}",0.67188,0.75904,0.97711,-0.00828,33.84,5.87e-04,193985
2200,2.58134,"{""ntp"": 1.357810139656067, ""mtp"": 1.2235249280929565}",0.64062,0.72289,0.97941,-0.00817,25.77,5.13e-04,193842
2400,2.55335,"{""ntp"": 1.3490656614303589, ""mtp"": 1.2042863368988037}",0.71875,0.77912,0.98093,-0.00820,27.87,4.40e-04,194161
2600,2.51535,"{""ntp"": 1.3470131158828735, ""mtp"": 1.1683377027511597}",0.72266,0.78715,0.98229,-0.00806,24.45,3.69e-04,194208
2800,2.52171,"{""ntp"": 1.3348885774612427, ""mtp"": 1.1868237257003784}",0.75391,0.79116,0.98332,-0.00799,26.53,3.04e-04,194133
3000,2.48970,"{""ntp"": 1.3369693756103516, ""mtp"": 1.1527260541915894}",0.78516,0.81928,0.98422,-0.00786,27.56,2.45e-04,194324
3200,2.46086,"{""ntp"": 1.3310270309448242, ""mtp"": 1.1298340559005737}",0.80469,0.83936,0.98482,-0.00791,24.71,1.95e-04,194303
3400,2.42573,"{""ntp"": 1.327977180480957, ""mtp"": 1.0977489948272705}",0.79688,0.83133,0.98536,-0.00787,24.15,1.54e-04,194318
3600,2.43365,"{""ntp"": 1.3244662284851074, ""mtp"": 1.1091870069503784}",0.83984,0.87952,0.98583,-0.00785,27.89,1.24e-04,194464
3800,2.40975,"{""ntp"": 1.3211677074432373, ""mtp"": 1.088585376739502}",0.83984,0.88353,0.98611,-0.00784,27.98,1.06e-04,194436
4000,2.40611,"{""ntp"": 1.316481590270996, ""mtp"": 1.089632272720337}",0.81641,0.85542,0.98636,-0.00781,26.42,1.00e-04,194481
