step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
400,0.87083,"{""ntp"": 0.8708274960517883}",0.00000,0.92969,0.13945,3.47,1.00e-03,203639
800,0.66534,"{""ntp"": 0.6653380393981934}",0.00000,0.96875,0.14874,5.93,1.00e-03,211206
1200,0.32855,"{""ntp"": 0.3285518288612366}",0.01172,0.16797,0.65590,5.16,1.00e-03,212702
1600,0.25373,"{""ntp"": 0.25373318791389465}",0.00391,0.22266,0.71803,4.75,1.00e-03,214004
2000,0.23568,"{""ntp"": 0.23567914962768555}",0.02734,0.18359,0.75096,5.03,1.00e-03,213463
2400,0.22544,"{""ntp"": 0.22544045746326447}",0.03516,0.28125,0.77188,5.38,1.00e-03,212828
2800,0.21852,"{""ntp"": 0.2185245156288147}",0.01953,0.21484,0.77125,6.04,1.00e-03,212336
3200,0.21362,"{""ntp"": 0.21361632645130157}",0.03906,0.25781,0.77463,6.17,1.00e-03,212106
3600,0.20858,"{""ntp"": 0.20858104526996613}",0.04688,0.30469,0.80227,5.43,1.00e-03,211975
4000,0.20399,"{""ntp"": 0.2039903700351715}",0.03906,0.26562,0.79742,5.54,1.00e-03,211896
4400,0.18798,"{""ntp"": 0.18797996640205383}",0.09766,0.26172,0.81479,5.42,1.00e-03,212043
4800,0.18671,"{""ntp"": 0.18670818209648132}",0.16016,0.32031,0.84530,5.02,1.00e-03,212073
5200,0.20057,"{""ntp"": 0.20056940615177155}",0.11328,0.28906,0.84623,4.81,1.00e-03,211870
5600,0.17038,"{""ntp"": 0.17037761211395264}",0.12891,0.31641,0.84692,5.07,1.00e-03,211730
6000,0.17127,"{""ntp"": 0.17126750946044922}",0.22266,0.38281,0.87613,4.73,1.00e-03,211541
6400,0.16770,"{""ntp"": 0.16770072281360626}",0.21094,0.42969,0.88594,4.93,1.00e-03,211540
6800,0.17703,"{""ntp"": 0.17702694237232208}",0.25781,0.43359,0.89196,4.47,1.00e-03,211466
7200,0.16830,"{""ntp"": 0.1683030128479004}",0.22266,0.40625,0.89730,4.87,1.00e-03,211473
7600,0.16417,"{""ntp"": 0.16416603326797485}",0.26562,0.44922,0.89734,5.06,1.00e-03,211478
8000,0.16406,"{""ntp"": 0.16405901312828064}",0.19141,0.42969,0.88193,5.14,1.00e-03,211414
8400,0.16355,"{""ntp"": 0.16355004906654358}",0.17188,0.39844,0.86514,5.18,1.00e-03,211345
8800,0.16620,"{""ntp"": 0.1662026196718216}",0.20312,0.41406,0.88780,4.75,1.00e-03,211607
9200,0.15845,"{""ntp"": 0.15845096111297607}",0.25000,0.46484,0.89982,4.79,1.00e-03,212901
9600,0.16005,"{""ntp"": 0.16005292534828186}",0.27734,0.48828,0.90986,4.85,1.00e-03,212950
10000,0.16416,"{""ntp"": 0.16415724158287048}",0.27344,0.50000,0.90691,4.62,1.00e-03,212871
10400,0.16061,"{""ntp"": 0.16061395406723022}",0.27734,0.49219,0.91308,4.20,1.00e-03,212792
10800,0.16086,"{""ntp"": 0.16085651516914368}",0.28516,0.46484,0.91716,4.50,1.00e-03,212734
11200,0.15409,"{""ntp"": 0.1540887951850891}",0.23047,0.37891,0.87332,4.48,1.00e-03,212745
11600,0.15258,"{""ntp"": 0.15258343517780304}",0.19141,0.34766,0.85935,4.70,1.00e-03,212704
12000,0.15945,"{""ntp"": 0.15945181250572205}",0.20703,0.39844,0.86424,4.59,1.00e-03,212623
12400,0.15517,"{""ntp"": 0.15516546368598938}",0.17969,0.37500,0.85189,4.53,1.00e-03,212617
12800,0.15092,"{""ntp"": 0.15092384815216064}",0.28906,0.51172,0.91697,4.84,1.00e-03,212581
13200,0.15400,"{""ntp"": 0.1540030837059021}",0.16797,0.32031,0.84766,4.51,1.00e-03,212532
13600,0.15682,"{""ntp"": 0.15681663155555725}",0.26953,0.46484,0.90665,4.51,1.00e-03,212482
14000,0.15021,"{""ntp"": 0.15021105110645294}",0.21875,0.39844,0.86036,4.62,1.00e-03,212443
14400,0.15208,"{""ntp"": 0.15208426117897034}",0.30469,0.51172,0.91933,4.65,1.00e-03,212400
14800,0.14771,"{""ntp"": 0.147710919380188}",0.31250,0.52734,0.91946,4.72,1.00e-03,212349
15200,0.14944,"{""ntp"": 0.14943872392177582}",0.20312,0.42969,0.86911,4.34,1.00e-03,212332
15600,0.15040,"{""ntp"": 0.150403693318367}",0.30078,0.52734,0.90105,4.58,1.00e-03,212308
16000,0.15035,"{""ntp"": 0.15035130083560944}",0.23828,0.47656,0.89114,4.56,1.00e-03,212296
16400,0.14769,"{""ntp"": 0.14769166707992554}",0.33203,0.52344,0.91946,4.41,1.00e-03,212247
16800,0.15001,"{""ntp"": 0.1500082015991211}",0.37109,0.54297,0.89643,4.45,1.00e-03,212192
17200,0.15100,"{""ntp"": 0.1509953886270523}",0.39453,0.57031,0.92388,4.10,1.00e-03,212156
17600,0.14696,"{""ntp"": 0.14696051180362701}",0.37500,0.60547,0.93065,4.43,1.00e-03,212092
18000,0.14808,"{""ntp"": 0.14808395504951477}",0.47266,0.66016,0.92212,4.22,1.00e-03,212035
18400,0.14183,"{""ntp"": 0.1418297439813614}",0.48047,0.62500,0.91604,4.51,1.00e-03,212022
18800,0.14340,"{""ntp"": 0.14339882135391235}",0.40625,0.59766,0.92214,4.54,1.00e-03,211973
19200,0.13854,"{""ntp"": 0.13854308426380157}",0.51953,0.73047,0.94628,4.36,1.00e-03,211924
19600,0.13921,"{""ntp"": 0.13920845091342926}",0.51953,0.63281,0.93571,4.43,1.00e-03,211916
20000,0.14065,"{""ntp"": 0.14064595103263855}",0.47266,0.62500,0.91740,4.52,1.00e-03,211843
20400,0.13618,"{""ntp"": 0.13617753982543945}",0.53125,0.67188,0.94732,4.55,1.00e-03,211777
20800,0.14436,"{""ntp"": 0.14436176419258118}",0.57422,0.69531,0.93666,4.69,1.00e-03,211718
21200,0.14251,"{""ntp"": 0.14251190423965454}",0.51172,0.66406,0.92216,4.47,1.00e-03,211672
21600,0.14010,"{""ntp"": 0.1400960385799408}",0.54297,0.70703,0.94847,4.75,1.00e-03,211626
22000,0.13835,"{""ntp"": 0.13835346698760986}",0.52734,0.65234,0.93027,4.51,1.00e-03,211543
22400,0.13629,"{""ntp"": 0.13628531992435455}",0.56641,0.71094,0.94140,4.83,1.00e-03,211527
