step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,4.85880,"{""ntp"": 2.6322970390319824, ""mtp"": 2.2265076637268066}",2.63163,13.89642,89.24,6.00e-04,155119
1000,4.06341,"{""ntp"": 2.0549139976501465, ""mtp"": 2.0084972381591797}",2.01643,7.51146,163.65,5.99e-04,155794
1500,3.58344,"{""ntp"": 1.7566472291946411, ""mtp"": 1.8267967700958252}",1.82468,6.20079,204.76,5.97e-04,156085
2000,3.58132,"{""ntp"": 1.7484756708145142, ""mtp"": 1.832844614982605}",1.72494,5.61220,225.86,5.92e-04,156197
2500,3.46566,"{""ntp"": 1.6891556978225708, ""mtp"": 1.7765083312988281}",1.66807,5.30192,240.07,5.86e-04,156253
3000,3.36646,"{""ntp"": 1.6211965084075928, ""mtp"": 1.7452672719955444}",1.62229,5.06469,245.82,5.78e-04,156319
3500,3.43470,"{""ntp"": 1.6540255546569824, ""mtp"": 1.7806752920150757}",1.59039,4.90566,254.56,5.69e-04,156339
4000,3.18801,"{""ntp"": 1.5159355401992798, ""mtp"": 1.67207932472229}",1.56274,4.77187,255.85,5.58e-04,156368
4500,3.23081,"{""ntp"": 1.543467402458191, ""mtp"": 1.6873458623886108}",1.54134,4.67086,258.47,5.46e-04,156385
5000,3.34357,"{""ntp"": 1.6065937280654907, ""mtp"": 1.7369771003723145}",1.51970,4.57084,264.04,5.32e-04,156400
5500,3.09620,"{""ntp"": 1.4616986513137817, ""mtp"": 1.634499430656433}",1.50332,4.49659,264.18,5.17e-04,156400
6000,3.06133,"{""ntp"": 1.449407935142517, ""mtp"": 1.6119208335876465}",1.48922,4.43366,263.77,5.01e-04,156414
6500,3.09518,"{""ntp"": 1.4637682437896729, ""mtp"": 1.6314125061035156}",1.47403,4.36679,264.16,4.83e-04,156418
7000,3.06012,"{""ntp"": 1.4415143728256226, ""mtp"": 1.6186096668243408}",1.46515,4.32820,265.92,4.65e-04,156423
7500,3.06587,"{""ntp"": 1.445690393447876, ""mtp"": 1.6201751232147217}",1.44713,4.25088,265.11,4.46e-04,156404
8000,2.94021,"{""ntp"": 1.37245774269104, ""mtp"": 1.5677541494369507}",1.43793,4.21198,260.89,4.26e-04,156384
8500,2.88458,"{""ntp"": 1.343579888343811, ""mtp"": 1.5409973859786987}",1.42867,4.17313,265.61,4.05e-04,156380
9000,2.92032,"{""ntp"": 1.3594589233398438, ""mtp"": 1.560856580734253}",1.41883,4.13228,262.42,3.84e-04,156367
9500,2.91341,"{""ntp"": 1.3600447177886963, ""mtp"": 1.5533604621887207}",1.40825,4.08879,265.36,3.63e-04,156358
10000,2.88600,"{""ntp"": 1.3467036485671997, ""mtp"": 1.5392942428588867}",1.40361,4.06985,261.62,3.41e-04,156353
10500,2.95258,"{""ntp"": 1.38441801071167, ""mtp"": 1.5681594610214233}",1.39486,4.03440,258.83,3.19e-04,156347
11000,3.00712,"{""ntp"": 1.4094295501708984, ""mtp"": 1.597691535949707}",1.38909,4.01119,258.95,2.97e-04,156346
11500,2.91148,"{""ntp"": 1.3587760925292969, ""mtp"": 1.5527005195617676}",1.38029,3.97607,257.11,2.76e-04,156343
12000,3.02641,"{""ntp"": 1.4216092824935913, ""mtp"": 1.604804515838623}",1.37304,3.94734,258.69,2.55e-04,156341
12500,2.83350,"{""ntp"": 1.31324303150177, ""mtp"": 1.520261526107788}",1.36632,3.92091,256.59,2.34e-04,156331
13000,2.96376,"{""ntp"": 1.386910319328308, ""mtp"": 1.5768464803695679}",1.35720,3.88531,255.69,2.14e-04,156321
13500,2.89447,"{""ntp"": 1.3535375595092773, ""mtp"": 1.5409291982650757}",1.35310,3.86939,252.80,1.95e-04,156316
14000,2.81031,"{""ntp"": 1.3056412935256958, ""mtp"": 1.5046730041503906}",1.34748,3.84770,254.79,1.77e-04,156314
14500,2.83807,"{""ntp"": 1.3046001195907593, ""mtp"": 1.53346586227417}",1.34236,3.82805,248.18,1.59e-04,156315
15000,2.95314,"{""ntp"": 1.3805851936340332, ""mtp"": 1.572549819946289}",1.33735,3.80892,248.31,1.43e-04,156315
15500,2.91181,"{""ntp"": 1.354920744895935, ""mtp"": 1.556884765625}",1.33297,3.79229,247.92,1.28e-04,156312
16000,2.83308,"{""ntp"": 1.3127682209014893, ""mtp"": 1.5203107595443726}",1.32889,3.77686,247.04,1.14e-04,156312
16500,2.83356,"{""ntp"": 1.302976369857788, ""mtp"": 1.5305793285369873}",1.32601,3.76598,244.19,1.02e-04,156309
17000,2.76044,"{""ntp"": 1.2767268419265747, ""mtp"": 1.483708381652832}",1.32260,3.75317,246.33,9.09e-05,156307
17500,2.77149,"{""ntp"": 1.2753039598464966, ""mtp"": 1.4961827993392944}",1.31897,3.73956,242.63,8.16e-05,156304
18000,2.80459,"{""ntp"": 1.2950776815414429, ""mtp"": 1.5095078945159912}",1.31668,3.73101,243.48,7.39e-05,156303
18500,2.76554,"{""ntp"": 1.2759565114974976, ""mtp"": 1.4895848035812378}",1.31389,3.72063,241.55,6.78e-05,156303
19000,2.70805,"{""ntp"": 1.240943193435669, ""mtp"": 1.4671030044555664}",1.31337,3.71867,239.58,6.35e-05,156302
19500,2.85921,"{""ntp"": 1.3232364654541016, ""mtp"": 1.5359739065170288}",1.31195,3.71339,241.46,6.09e-05,156301
20000,2.82293,"{""ntp"": 1.302433729171753, ""mtp"": 1.5205001831054688}",1.30997,3.70606,239.18,6.00e-05,156298
