step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,2.63185,"{""ntp"": 2.537407398223877, ""jepa_pooled"": 0.09444525092840195}",2.51830,12.40745,108.42,6.00e-04,179001
1000,2.03835,"{""ntp"": 1.9699409008026123, ""jepa_pooled"": 0.06841393560171127}",1.95271,7.04778,170.55,5.99e-04,179907
1500,1.88808,"{""ntp"": 1.8257299661636353, ""jepa_pooled"": 0.062349237501621246}",1.79685,6.03061,191.55,5.97e-04,180292
2000,1.77127,"{""ntp"": 1.7204176187515259, ""jepa_pooled"": 0.05085362493991852}",1.70894,5.52313,198.03,5.92e-04,180496
2500,1.70499,"{""ntp"": 1.6571342945098877, ""jepa_pooled"": 0.047858741134405136}",1.64781,5.19556,191.16,5.86e-04,180606
3000,1.73661,"{""ntp"": 1.6994364261627197, ""jepa_pooled"": 0.03717350214719772}",1.60691,4.98739,196.00,5.78e-04,180674
3500,1.60018,"{""ntp"": 1.568481683731079, ""jepa_pooled"": 0.031702302396297455}",1.57699,4.84038,197.66,5.69e-04,180723
4000,1.54674,"{""ntp"": 1.5192592144012451, ""jepa_pooled"": 0.02748187445104122}",1.54564,4.69098,199.56,5.58e-04,180749
4500,1.57672,"{""ntp"": 1.5516464710235596, ""jepa_pooled"": 0.025073926895856857}",1.52087,4.57621,196.82,5.46e-04,180756
5000,1.50866,"{""ntp"": 1.4863125085830688, ""jepa_pooled"": 0.022349832579493523}",1.50359,4.49782,195.50,5.32e-04,180760
5500,1.45473,"{""ntp"": 1.4345982074737549, ""jepa_pooled"": 0.02012864127755165}",1.48432,4.41197,196.56,5.17e-04,180767
6000,1.47686,"{""ntp"": 1.4578617811203003, ""jepa_pooled"": 0.01900283433496952}",1.46941,4.34667,192.09,5.01e-04,180768
6500,1.49206,"{""ntp"": 1.4742060899734497, ""jepa_pooled"": 0.017854325473308563}",1.45430,4.28147,196.26,4.83e-04,180774
7000,1.44458,"{""ntp"": 1.4277236461639404, ""jepa_pooled"": 0.01685812696814537}",1.44505,4.24205,193.43,4.65e-04,180781
7500,1.44461,"{""ntp"": 1.4290423393249512, ""jepa_pooled"": 0.01556527242064476}",1.42914,4.17509,197.61,4.46e-04,180792
8000,1.39900,"{""ntp"": 1.3833400011062622, ""jepa_pooled"": 0.015658816322684288}",1.42037,4.13865,190.86,4.26e-04,180799
8500,1.41931,"{""ntp"": 1.4048596620559692, ""jepa_pooled"": 0.014449557289481163}",1.40790,4.08736,195.84,4.05e-04,180797
9000,1.35963,"{""ntp"": 1.3460679054260254, ""jepa_pooled"": 0.013563011772930622}",1.39465,4.03357,184.86,3.84e-04,180790
9500,1.42121,"{""ntp"": 1.4071661233901978, ""jepa_pooled"": 0.014045432209968567}",1.38722,4.00372,195.78,3.63e-04,180789
10000,1.35137,"{""ntp"": 1.3386057615280151, ""jepa_pooled"": 0.01276507880538702}",1.37798,3.96686,190.19,3.41e-04,180791
10500,1.36518,"{""ntp"": 1.3526010513305664, ""jepa_pooled"": 0.012575837783515453}",1.37009,3.93571,179.49,3.19e-04,180793
11000,1.33988,"{""ntp"": 1.3273561000823975, ""jepa_pooled"": 0.012523063458502293}",1.36248,3.90587,182.97,2.97e-04,180798
11500,1.39554,"{""ntp"": 1.3828798532485962, ""jepa_pooled"": 0.012658300809562206}",1.35348,3.87088,183.27,2.76e-04,180798
12000,1.33424,"{""ntp"": 1.3220349550247192, ""jepa_pooled"": 0.012202956713736057}",1.34683,3.84522,186.19,2.55e-04,180795
12500,1.32003,"{""ntp"": 1.3084447383880615, ""jepa_pooled"": 0.011586352251470089}",1.34063,3.82145,190.75,2.34e-04,180794
13000,1.32615,"{""ntp"": 1.3144689798355103, ""jepa_pooled"": 0.011679664254188538}",1.33341,3.79397,188.75,2.14e-04,180793
13500,1.36327,"{""ntp"": 1.3515746593475342, ""jepa_pooled"": 0.011691016145050526}",1.32860,3.77575,186.53,1.95e-04,180794
14000,1.32693,"{""ntp"": 1.315403699874878, ""jepa_pooled"": 0.011525076813995838}",1.32162,3.74951,185.03,1.77e-04,180796
14500,1.28089,"{""ntp"": 1.269536018371582, ""jepa_pooled"": 0.011357356794178486}",1.31758,3.73436,189.62,1.59e-04,180801
15000,1.29412,"{""ntp"": 1.2825840711593628, ""jepa_pooled"": 0.011534763500094414}",1.31149,3.71171,186.70,1.43e-04,180808
15500,1.27304,"{""ntp"": 1.2621965408325195, ""jepa_pooled"": 0.01084817573428154}",1.30637,3.69276,187.23,1.28e-04,180813
16000,1.41207,"{""ntp"": 1.400634527206421, ""jepa_pooled"": 0.011434166692197323}",1.30372,3.68297,182.83,1.14e-04,180834
16500,1.30862,"{""ntp"": 1.2974891662597656, ""jepa_pooled"": 0.01113430317491293}",1.29886,3.66512,185.84,1.02e-04,180852
17000,1.21948,"{""ntp"": 1.208622694015503, ""jepa_pooled"": 0.010854305699467659}",1.29545,3.65265,182.11,9.09e-05,180863
17500,1.27702,"{""ntp"": 1.2664813995361328, ""jepa_pooled"": 0.010534443892538548}",1.29267,3.64248,183.30,8.16e-05,180876
18000,1.30242,"{""ntp"": 1.2917356491088867, ""jepa_pooled"": 0.010684257373213768}",1.28963,3.63143,181.00,7.39e-05,180889
18500,1.31313,"{""ntp"": 1.3024107217788696, ""jepa_pooled"": 0.010720621794462204}",1.28769,3.62440,181.24,6.78e-05,180896
19000,1.28001,"{""ntp"": 1.2692145109176636, ""jepa_pooled"": 0.010793362744152546}",1.28580,3.61758,184.29,6.35e-05,180904
19500,1.22818,"{""ntp"": 1.2176969051361084, ""jepa_pooled"": 0.010486243292689323}",1.28361,3.60963,185.57,6.09e-05,180910
20000,1.26527,"{""ntp"": 1.2547509670257568, ""jepa_pooled"": 0.010517856106162071}",1.28343,3.60900,182.99,6.00e-05,180916
