step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.46548,"{""ntp"": 0.46548041701316833}",0.00000,0.01172,0.03194,27.10,1.00e-03,146919
400,0.18163,"{""ntp"": 0.1816326528787613}",0.03125,0.35807,0.66184,32.33,9.94e-04,149526
600,0.15894,"{""ntp"": 0.15893813967704773}",0.02344,0.42448,0.83716,35.89,9.76e-04,150359
800,0.16127,"{""ntp"": 0.161271870136261}",0.07812,0.49349,0.88483,36.02,9.46e-04,150747
1000,0.13714,"{""ntp"": 0.13714106380939484}",0.08984,0.56641,0.92879,37.36,9.05e-04,150993
1200,0.13513,"{""ntp"": 0.13513118028640747}",0.06250,0.55729,0.94465,39.28,8.55e-04,151149
1400,0.12650,"{""ntp"": 0.12650276720523834}",0.09375,0.60807,0.98031,38.94,7.96e-04,151328
1600,0.12225,"{""ntp"": 0.12224742770195007}",0.15625,0.64714,0.96494,40.67,7.31e-04,151449
1800,0.11943,"{""ntp"": 0.1194271519780159}",0.21094,0.71484,0.98180,40.46,6.60e-04,151527
2000,0.11233,"{""ntp"": 0.11233309656381607}",0.26172,0.74219,0.98710,40.05,5.87e-04,151571
2200,0.10725,"{""ntp"": 0.10725439339876175}",0.35156,0.75130,0.98610,40.28,5.13e-04,151617
2400,0.11326,"{""ntp"": 0.11326157301664352}",0.44531,0.82812,0.99579,41.34,4.40e-04,151697
2600,0.09913,"{""ntp"": 0.0991268903017044}",0.46875,0.84115,0.98929,39.75,3.69e-04,151716
2800,0.10093,"{""ntp"": 0.10092787444591522}",0.59766,0.88151,0.99614,40.81,3.04e-04,151733
3000,0.09690,"{""ntp"": 0.09690015017986298}",0.60156,0.88411,0.99533,40.43,2.45e-04,151762
3200,0.09570,"{""ntp"": 0.09569597989320755}",0.66016,0.90755,0.99820,40.34,1.95e-04,151772
3400,0.09525,"{""ntp"": 0.09524594247341156}",0.69141,0.91797,0.99441,40.31,1.54e-04,151795
3600,0.10420,"{""ntp"": 0.10420167446136475}",0.74609,0.94010,0.99762,40.12,1.24e-04,151791
3800,0.09655,"{""ntp"": 0.09654797613620758}",0.72656,0.92187,0.99861,40.23,1.06e-04,151821
4000,0.09179,"{""ntp"": 0.0917888954281807}",0.79297,0.94401,0.99677,40.05,1.00e-04,151838
