step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,5.83299,"{""ntp"": 3.4253106117248535, ""mtp"": 2.4076781272888184}",0.00000,0.00260,0.00277,0.70268,-0.02014,15.78,1.00e-03,111971
400,5.12782,"{""ntp"": 2.919163703918457, ""mtp"": 2.2086589336395264}",0.00391,0.19922,0.33050,0.82913,-0.02156,26.16,9.94e-04,113704
600,4.90574,"{""ntp"": 2.8480355739593506, ""mtp"": 2.0577003955841064}",0.01562,0.42969,0.63176,0.86810,-0.02156,33.43,9.76e-04,115590
800,4.76300,"{""ntp"": 2.831908941268921, ""mtp"": 1.931093692779541}",0.04297,0.59245,0.80083,0.89419,-0.02196,40.35,9.46e-04,118104
1000,4.65314,"{""ntp"": 2.806154251098633, ""mtp"": 1.8469873666763306}",0.06250,0.65365,0.85649,0.91326,-0.02238,45.85,9.05e-04,119684
1200,4.57574,"{""ntp"": 2.7861695289611816, ""mtp"": 1.7895667552947998}",0.10938,0.67969,0.88722,0.92695,-0.02269,49.97,8.55e-04,119397
1400,4.55698,"{""ntp"": 2.7863638401031494, ""mtp"": 1.77061128616333}",0.16016,0.79427,0.94275,0.93748,-0.02283,54.89,7.96e-04,119081
1600,4.51194,"{""ntp"": 2.780705451965332, ""mtp"": 1.7312335968017578}",0.32812,0.80990,0.95190,0.94542,-0.02284,58.17,7.31e-04,118812
1800,4.49274,"{""ntp"": 2.775895595550537, ""mtp"": 1.7168467044830322}",0.37109,0.85026,0.95751,0.95138,-0.02276,61.82,6.60e-04,118617
2000,4.45120,"{""ntp"": 2.7647368907928467, ""mtp"": 1.6864674091339111}",0.48828,0.88021,0.96266,0.95592,-0.02265,60.73,5.87e-04,118407
2200,4.42798,"{""ntp"": 2.7585127353668213, ""mtp"": 1.6694668531417847}",0.58203,0.91146,0.98493,0.95935,-0.02257,60.95,5.13e-04,118173
2400,4.40162,"{""ntp"": 2.7498092651367188, ""mtp"": 1.6518146991729736}",0.63672,0.91927,0.97980,0.96214,-0.02250,61.09,4.40e-04,117991
2600,4.39461,"{""ntp"": 2.7496466636657715, ""mtp"": 1.6449611186981201}",0.63281,0.93620,0.98602,0.96421,-0.02246,60.51,3.69e-04,117841
2800,4.35698,"{""ntp"": 2.7381443977355957, ""mtp"": 1.6188398599624634}",0.65234,0.92318,0.98526,0.96591,-0.02251,59.73,3.04e-04,117743
3000,4.36824,"{""ntp"": 2.7395150661468506, ""mtp"": 1.6287235021591187}",0.67188,0.94792,0.98566,0.96721,-0.02250,60.55,2.45e-04,117696
3200,4.35098,"{""ntp"": 2.7386341094970703, ""mtp"": 1.612341046333313}",0.70703,0.96615,0.99157,0.96818,-0.02246,59.36,1.95e-04,117670
3400,4.34951,"{""ntp"": 2.7372400760650635, ""mtp"": 1.612265944480896}",0.73828,0.97396,0.99722,0.96891,-0.02248,58.17,1.54e-04,117633
3600,4.33233,"{""ntp"": 2.733795166015625, ""mtp"": 1.598533034324646}",0.71875,0.95312,0.98529,0.96947,-0.02248,58.95,1.24e-04,117652
3800,4.32676,"{""ntp"": 2.7338247299194336, ""mtp"": 1.5929386615753174}",0.75781,0.96484,0.98654,0.96991,-0.02248,58.28,1.06e-04,117613
4000,4.33891,"{""ntp"": 2.736360788345337, ""mtp"": 1.6025464534759521}",0.76172,0.96875,0.99260,0.97025,-0.02249,58.05,1.00e-04,117594
