step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
500,4.81569,"{""ntp"": 2.6046226024627686, ""mtp"": 2.2110676765441895}",2.64426,14.07305,88.32,6.00e-04,154953
1000,4.08463,"{""ntp"": 2.067025899887085, ""mtp"": 2.0176002979278564}",2.02685,7.59011,166.64,5.99e-04,155667
1500,3.63024,"{""ntp"": 1.7913771867752075, ""mtp"": 1.8388599157333374}",1.84345,6.31829,206.60,5.97e-04,155936
2000,3.48757,"{""ntp"": 1.697392225265503, ""mtp"": 1.7901816368103027}",1.74751,5.74030,228.96,5.92e-04,155994
2500,3.43215,"{""ntp"": 1.6693673133850098, ""mtp"": 1.7627815008163452}",1.68571,5.39627,241.59,5.86e-04,156036
3000,3.37749,"{""ntp"": 1.6310844421386719, ""mtp"": 1.7464088201522827}",1.63997,5.15500,252.34,5.78e-04,156076
3500,3.29448,"{""ntp"": 1.5837407112121582, ""mtp"": 1.7107412815093994}",1.60550,4.98033,254.67,5.69e-04,156094
4000,3.35029,"{""ntp"": 1.6128703355789185, ""mtp"": 1.7374190092086792}",1.57307,4.82141,255.60,5.58e-04,156112
4500,3.24509,"{""ntp"": 1.5515326261520386, ""mtp"": 1.693555235862732}",1.55519,4.73597,259.63,5.46e-04,156131
5000,3.08875,"{""ntp"": 1.467098355293274, ""mtp"": 1.6216552257537842}",1.53183,4.62662,258.89,5.32e-04,156150
5500,3.14440,"{""ntp"": 1.491747498512268, ""mtp"": 1.65264892578125}",1.51780,4.56219,267.22,5.17e-04,156169
6000,3.14223,"{""ntp"": 1.488120675086975, ""mtp"": 1.6541050672531128}",1.49986,4.48108,265.07,5.01e-04,156190
6500,3.15535,"{""ntp"": 1.4931846857070923, ""mtp"": 1.6621688604354858}",1.48522,4.41593,262.63,4.83e-04,156205
7000,3.12661,"{""ntp"": 1.4845426082611084, ""mtp"": 1.642068862915039}",1.47267,4.36086,261.01,4.65e-04,156216
7500,3.02587,"{""ntp"": 1.4279769659042358, ""mtp"": 1.5978935956954956}",1.46178,4.31364,265.04,4.46e-04,156230
8000,3.01148,"{""ntp"": 1.4180848598480225, ""mtp"": 1.5933942794799805}",1.44615,4.24672,261.16,4.26e-04,156239
8500,3.02577,"{""ntp"": 1.4257100820541382, ""mtp"": 1.6000570058822632}",1.43774,4.21118,259.59,4.05e-04,156245
9000,3.00165,"{""ntp"": 1.413256049156189, ""mtp"": 1.5883973836898804}",1.43029,4.17993,263.74,3.84e-04,156258
9500,2.96170,"{""ntp"": 1.3865281343460083, ""mtp"": 1.575175166130066}",1.42232,4.14673,259.15,3.63e-04,156261
10000,3.07440,"{""ntp"": 1.447405457496643, ""mtp"": 1.6269900798797607}",1.41164,4.10270,259.61,3.41e-04,156266
10500,2.98685,"{""ntp"": 1.3971518278121948, ""mtp"": 1.5896992683410645}",1.40633,4.08097,259.99,3.19e-04,156271
11000,3.13759,"{""ntp"": 1.4813812971115112, ""mtp"": 1.6562055349349976}",1.39622,4.03988,260.60,2.97e-04,156277
11500,2.98506,"{""ntp"": 1.3998488187789917, ""mtp"": 1.5852100849151611}",1.38815,4.00745,258.43,2.76e-04,156276
12000,2.84271,"{""ntp"": 1.3164258003234863, ""mtp"": 1.5262832641601562}",1.38302,3.98694,252.80,2.55e-04,156282
12500,2.80807,"{""ntp"": 1.2970261573791504, ""mtp"": 1.51104736328125}",1.37547,3.95695,256.35,2.34e-04,156287
13000,2.83164,"{""ntp"": 1.308541178703308, ""mtp"": 1.5231026411056519}",1.36935,3.93278,253.97,2.14e-04,156289
13500,2.93555,"{""ntp"": 1.3751813173294067, ""mtp"": 1.5603660345077515}",1.36268,3.90665,251.12,1.95e-04,156293
14000,2.70494,"{""ntp"": 1.2376019954681396, ""mtp"": 1.4673421382904053}",1.35755,3.88666,245.54,1.77e-04,156298
14500,2.75350,"{""ntp"": 1.2669246196746826, ""mtp"": 1.4865769147872925}",1.35216,3.86575,246.65,1.59e-04,156300
15000,2.95579,"{""ntp"": 1.3803682327270508, ""mtp"": 1.5754213333129883}",1.34633,3.84331,248.99,1.43e-04,156297
15500,2.86505,"{""ntp"": 1.3255798816680908, ""mtp"": 1.5394744873046875}",1.34215,3.82726,246.32,1.28e-04,156296
16000,2.84231,"{""ntp"": 1.3135038614273071, ""mtp"": 1.5288045406341553}",1.33966,3.81776,247.12,1.14e-04,156299
16500,2.74248,"{""ntp"": 1.2572643756866455, ""mtp"": 1.4852174520492554}",1.33555,3.80209,246.10,1.02e-04,156299
17000,2.85010,"{""ntp"": 1.3130741119384766, ""mtp"": 1.5370287895202637}",1.33190,3.78825,241.17,9.09e-05,156298
17500,2.73602,"{""ntp"": 1.2633615732192993, ""mtp"": 1.4726555347442627}",1.32874,3.77629,245.90,8.16e-05,156299
18000,2.83328,"{""ntp"": 1.3133749961853027, ""mtp"": 1.5199005603790283}",1.32577,3.76510,242.78,7.39e-05,156297
18500,2.79652,"{""ntp"": 1.283430814743042, ""mtp"": 1.513091802597046}",1.32479,3.76140,238.15,6.78e-05,156295
19000,2.72064,"{""ntp"": 1.2475064992904663, ""mtp"": 1.4731323719024658}",1.32198,3.75084,239.96,6.35e-05,156295
19500,2.82602,"{""ntp"": 1.3063217401504517, ""mtp"": 1.5196940898895264}",1.32152,3.74911,241.21,6.09e-05,156291
20000,2.76924,"{""ntp"": 1.2779479026794434, ""mtp"": 1.4912885427474976}",1.31991,3.74308,239.08,6.00e-05,156288
