step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.44799,"{""ntp"": 3.420457363128662, ""jepa_pooled"": 0.027528652921319008}",0.00000,0.00391,0.00681,0.68751,-0.01926,15.64,1.00e-03,110422
400,2.93100,"{""ntp"": 2.9096548557281494, ""jepa_pooled"": 0.021347390487790108}",0.00781,0.20573,0.30407,0.81739,-0.02113,22.38,9.94e-04,112649
600,2.86531,"{""ntp"": 2.83101749420166, ""jepa_pooled"": 0.03429084271192551}",0.02344,0.54167,0.72421,0.85693,-0.02073,25.62,9.76e-04,113258
800,2.86601,"{""ntp"": 2.8241443634033203, ""jepa_pooled"": 0.04186800494790077}",0.01953,0.60937,0.77637,0.88286,-0.02031,28.19,9.46e-04,113719
1000,2.84919,"{""ntp"": 2.8015670776367188, ""jepa_pooled"": 0.047618620097637177}",0.06641,0.62500,0.83127,0.90120,-0.01975,30.79,9.05e-04,114001
1200,2.83390,"{""ntp"": 2.7842183113098145, ""jepa_pooled"": 0.04968166723847389}",0.07031,0.69531,0.85587,0.91475,-0.01931,32.53,8.55e-04,114231
1400,2.83969,"{""ntp"": 2.7902867794036865, ""jepa_pooled"": 0.049401916563510895}",0.17578,0.74349,0.90167,0.92512,-0.01899,33.51,7.96e-04,114379
1600,2.83637,"{""ntp"": 2.7880990505218506, ""jepa_pooled"": 0.0482710525393486}",0.17969,0.78646,0.93310,0.93305,-0.01855,34.36,7.31e-04,114477
1800,2.82775,"{""ntp"": 2.7805185317993164, ""jepa_pooled"": 0.04723607748746872}",0.22656,0.81510,0.93852,0.93933,-0.01839,35.61,6.60e-04,114564
2000,2.81778,"{""ntp"": 2.7721424102783203, ""jepa_pooled"": 0.04563914239406586}",0.39062,0.87370,0.97197,0.94397,-0.01808,36.00,5.87e-04,114624
2200,2.80765,"{""ntp"": 2.7638444900512695, ""jepa_pooled"": 0.043809134513139725}",0.36719,0.89844,0.95971,0.94765,-0.01778,35.54,5.13e-04,114661
2400,2.79925,"{""ntp"": 2.756649971008301, ""jepa_pooled"": 0.04259679839015007}",0.39844,0.91536,0.96633,0.95061,-0.01767,36.20,4.40e-04,114704
2600,2.80134,"{""ntp"": 2.7600603103637695, ""jepa_pooled"": 0.04127555340528488}",0.48047,0.93099,0.97466,0.95293,-0.01753,36.01,3.69e-04,114973
2800,2.78854,"{""ntp"": 2.7487545013427734, ""jepa_pooled"": 0.03978210687637329}",0.55469,0.93880,0.98249,0.95469,-0.01746,36.30,3.04e-04,114976
3000,2.78529,"{""ntp"": 2.746356725692749, ""jepa_pooled"": 0.03892842307686806}",0.62109,0.94401,0.98335,0.95613,-0.01742,35.81,2.45e-04,114989
3200,2.78382,"{""ntp"": 2.745388984680176, ""jepa_pooled"": 0.038431596010923386}",0.67969,0.95964,0.99182,0.95722,-0.01736,35.48,1.95e-04,114990
3400,2.78072,"{""ntp"": 2.743093967437744, ""jepa_pooled"": 0.03762413188815117}",0.64453,0.95182,0.98861,0.95802,-0.01730,35.58,1.54e-04,115019
3600,2.77745,"{""ntp"": 2.740752935409546, ""jepa_pooled"": 0.036692723631858826}",0.67969,0.96224,0.98456,0.95865,-0.01728,35.75,1.24e-04,115036
3800,2.77440,"{""ntp"": 2.7381591796875, ""jepa_pooled"": 0.036239128559827805}",0.65625,0.95833,0.99128,0.95910,-0.01725,34.98,1.06e-04,115051
4000,2.77937,"{""ntp"": 2.743062973022461, ""jepa_pooled"": 0.03631015494465828}",0.67578,0.96354,0.98702,0.95948,-0.01724,35.00,1.00e-04,115068
