step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.38521,"{""ntp"": 3.3852128982543945}",0.00000,0.00130,0.00039,0.69266,-0.02082,16.36,1.00e-03,118830
400,2.90478,"{""ntp"": 2.9047813415527344}",0.00391,0.21875,0.37064,0.81594,-0.02212,22.33,9.94e-04,120676
600,2.84989,"{""ntp"": 2.8498942852020264}",0.01953,0.56250,0.76454,0.85526,-0.02126,25.67,9.76e-04,121600
800,2.82152,"{""ntp"": 2.8215160369873047}",0.02344,0.59635,0.81540,0.87998,-0.02063,26.64,9.46e-04,122170
1000,2.80423,"{""ntp"": 2.8042330741882324}",0.02344,0.60677,0.85043,0.89772,-0.01985,27.18,9.05e-04,122521
1200,2.80167,"{""ntp"": 2.8016717433929443}",0.05859,0.67448,0.91258,0.91102,-0.01917,28.23,8.55e-04,122751
1400,2.78810,"{""ntp"": 2.7880985736846924}",0.09766,0.76432,0.93154,0.92106,-0.01843,28.99,7.96e-04,122905
1600,2.78650,"{""ntp"": 2.7864973545074463}",0.21094,0.80729,0.93862,0.92863,-0.01782,29.67,7.31e-04,123026
1800,2.77507,"{""ntp"": 2.7750675678253174}",0.22656,0.82292,0.94826,0.93475,-0.01714,29.92,6.60e-04,123118
2000,2.76558,"{""ntp"": 2.765575408935547}",0.28125,0.84375,0.95736,0.93918,-0.01662,29.85,5.87e-04,123627
2200,2.76156,"{""ntp"": 2.7615630626678467}",0.30078,0.90755,0.96796,0.94288,-0.01619,30.03,5.13e-04,124346
2400,2.75465,"{""ntp"": 2.754645347595215}",0.44141,0.91406,0.98385,0.94587,-0.01579,29.65,4.40e-04,124948
2600,2.75409,"{""ntp"": 2.754094123840332}",0.44922,0.92318,0.97938,0.94821,-0.01546,29.90,3.69e-04,125031
2800,2.75234,"{""ntp"": 2.7523398399353027}",0.40234,0.92839,0.98190,0.95002,-0.01531,30.11,3.04e-04,124958
3000,2.74796,"{""ntp"": 2.7479605674743652}",0.55859,0.96354,0.98366,0.95151,-0.01516,30.05,2.45e-04,124891
3200,2.74331,"{""ntp"": 2.743311643600464}",0.60547,0.94922,0.98984,0.95253,-0.01506,30.07,1.95e-04,124841
3400,2.73860,"{""ntp"": 2.738598108291626}",0.60156,0.96484,0.99060,0.95335,-0.01499,29.94,1.54e-04,124784
3600,2.73574,"{""ntp"": 2.735743522644043}",0.64062,0.96875,0.99378,0.95394,-0.01495,29.67,1.24e-04,124734
3800,2.73695,"{""ntp"": 2.7369484901428223}",0.67969,0.97135,0.99435,0.95442,-0.01492,29.98,1.06e-04,124688
4000,2.74146,"{""ntp"": 2.7414560317993164}",0.64844,0.97396,0.99342,0.95480,-0.01488,29.79,1.00e-04,124648
