step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.77738,"{""ntp"": 3.7773828506469727}",0.00000,0.01181,0.60017,-0.00952,14.87,1.00e-03,223693
400,2.91235,"{""ntp"": 2.9123497009277344}",0.12500,0.47244,0.75816,-0.01315,16.27,9.94e-04,230421
600,2.83270,"{""ntp"": 2.8326964378356934}",0.21484,0.46457,0.80331,-0.01388,18.40,9.76e-04,233390
800,2.78027,"{""ntp"": 2.7802717685699463}",0.31250,0.52362,0.82934,-0.01358,18.88,9.46e-04,234700
1000,2.74369,"{""ntp"": 2.743685007095337}",0.33203,0.55906,0.84802,-0.01316,18.91,9.05e-04,235824
1200,2.72842,"{""ntp"": 2.7284152507781982}",0.35547,0.54331,0.86160,-0.01302,19.51,8.55e-04,236474
1400,2.71266,"{""ntp"": 2.7126588821411133}",0.46875,0.64173,0.87266,-0.01279,19.94,7.96e-04,236816
1600,2.69481,"{""ntp"": 2.694807291030884}",0.47656,0.61811,0.88088,-0.01223,20.41,7.31e-04,236989
1800,2.70374,"{""ntp"": 2.703742504119873}",0.48828,0.61024,0.88691,-0.01193,20.43,6.60e-04,237216
2000,2.69666,"{""ntp"": 2.696657419204712}",0.47656,0.61417,0.89254,-0.01165,20.93,5.87e-04,237403
2200,2.68493,"{""ntp"": 2.684927463531494}",0.49219,0.63780,0.89649,-0.01140,20.85,5.13e-04,237425
2400,2.66269,"{""ntp"": 2.6626877784729004}",0.47656,0.62205,0.89971,-0.01104,21.02,4.40e-04,237567
2600,2.67259,"{""ntp"": 2.6725924015045166}",0.56250,0.67323,0.90220,-0.01070,20.91,3.69e-04,237599
2800,2.64907,"{""ntp"": 2.6490650177001953}",0.51562,0.61024,0.90392,-0.01040,21.45,3.04e-04,237730
3000,2.65578,"{""ntp"": 2.655780792236328}",0.53906,0.62598,0.90540,-0.01014,21.37,2.45e-04,237778
3200,2.65152,"{""ntp"": 2.6515188217163086}",0.55859,0.66535,0.90623,-0.00991,21.55,1.95e-04,237885
3400,2.65179,"{""ntp"": 2.6517856121063232}",0.58984,0.68110,0.90689,-0.00967,21.61,1.54e-04,237906
3600,2.64396,"{""ntp"": 2.64395809173584}",0.53516,0.61024,0.90727,-0.00949,21.77,1.24e-04,237993
3800,2.64765,"{""ntp"": 2.6476542949676514}",0.59375,0.67717,0.90763,-0.00929,21.82,1.06e-04,238067
4000,2.63730,"{""ntp"": 2.6372992992401123}",0.59375,0.68504,0.90784,-0.00913,21.82,1.00e-04,238101
