step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.50578,"{""ntp"": 0.5057830810546875}",0.00000,0.01302,0.03313,26.81,1.00e-03,145068
400,0.20261,"{""ntp"": 0.2026105672121048}",0.00781,0.31641,0.66045,30.98,9.94e-04,148556
600,0.15877,"{""ntp"": 0.15877193212509155}",0.01953,0.44271,0.81618,35.90,9.76e-04,149826
800,0.14462,"{""ntp"": 0.14462240040302277}",0.03906,0.46875,0.85548,38.63,9.46e-04,150477
1000,0.13402,"{""ntp"": 0.13401952385902405}",0.07031,0.55339,0.93877,40.15,9.05e-04,150897
1200,0.13693,"{""ntp"": 0.13693177700042725}",0.05469,0.53516,0.94883,43.75,8.55e-04,151140
1400,0.13503,"{""ntp"": 0.13503442704677582}",0.11719,0.58854,0.96084,43.44,7.96e-04,151343
1600,0.12698,"{""ntp"": 0.12698382139205933}",0.19922,0.64974,0.97276,44.81,7.31e-04,151486
1800,0.11591,"{""ntp"": 0.11590724438428879}",0.22656,0.66406,0.98500,46.22,6.60e-04,151588
2000,0.11323,"{""ntp"": 0.11322683095932007}",0.23828,0.71484,0.98707,44.08,5.87e-04,151699
2200,0.10819,"{""ntp"": 0.10818823426961899}",0.33594,0.75781,0.98146,44.55,5.13e-04,151779
2400,0.11509,"{""ntp"": 0.11508556455373764}",0.37109,0.79036,0.99498,44.29,4.40e-04,151834
2600,0.10821,"{""ntp"": 0.10820750147104263}",0.42969,0.81771,0.98859,44.98,3.69e-04,151899
2800,0.10034,"{""ntp"": 0.1003442332148552}",0.50781,0.84505,0.99138,44.54,3.04e-04,151948
3000,0.09888,"{""ntp"": 0.09887924045324326}",0.56250,0.87109,0.99418,43.68,2.45e-04,151997
3200,0.09432,"{""ntp"": 0.09431988000869751}",0.61719,0.89714,0.99461,44.33,1.95e-04,152038
3400,0.09662,"{""ntp"": 0.09661980718374252}",0.66406,0.89974,0.99295,43.24,1.54e-04,152082
3600,0.09837,"{""ntp"": 0.09836839884519577}",0.69531,0.91536,0.99761,43.50,1.24e-04,152117
3800,0.09814,"{""ntp"": 0.09814058244228363}",0.73828,0.92448,0.99802,44.01,1.06e-04,152152
4000,0.09171,"{""ntp"": 0.09170611202716827}",0.76562,0.94141,0.99750,43.22,1.00e-04,152170
