step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.54744,"{""ntp"": 0.5227630138397217, ""jepa_pooled"": 0.02467946894466877}",0.00000,0.01042,0.03035,31.38,1.00e-03,128162
400,0.21904,"{""ntp"": 0.1840072125196457, ""jepa_pooled"": 0.035035427659749985}",0.01953,0.30729,0.62141,41.44,9.94e-04,132446
600,0.20196,"{""ntp"": 0.1576816886663437, ""jepa_pooled"": 0.04427378624677658}",0.02344,0.46875,0.87697,50.84,9.76e-04,136180
800,0.19947,"{""ntp"": 0.14980754256248474, ""jepa_pooled"": 0.04965934529900551}",0.04297,0.48047,0.88054,56.56,9.46e-04,138224
1000,0.17961,"{""ntp"": 0.13247817754745483, ""jepa_pooled"": 0.04713085666298866}",0.10547,0.59245,0.93434,59.27,9.05e-04,139271
1200,0.18266,"{""ntp"": 0.1344197690486908, ""jepa_pooled"": 0.04824301227927208}",0.07422,0.56250,0.93637,63.40,8.55e-04,138295
1400,0.17064,"{""ntp"": 0.12353966385126114, ""jepa_pooled"": 0.04710300639271736}",0.09766,0.60938,0.95849,64.72,7.96e-04,137300
1600,0.15955,"{""ntp"": 0.11199471354484558, ""jepa_pooled"": 0.04755713790655136}",0.20703,0.70052,0.97427,65.40,7.31e-04,136976
1800,0.16032,"{""ntp"": 0.11430533230304718, ""jepa_pooled"": 0.046014729887247086}",0.26172,0.75391,0.99489,66.84,6.60e-04,136589
2000,0.15246,"{""ntp"": 0.10689667612314224, ""jepa_pooled"": 0.045563705265522}",0.32812,0.77995,0.99254,67.41,5.87e-04,136237
2200,0.14752,"{""ntp"": 0.10241290926933289, ""jepa_pooled"": 0.04510786384344101}",0.38281,0.78906,0.98024,67.72,5.13e-04,135994
2400,0.15343,"{""ntp"": 0.10922342538833618, ""jepa_pooled"": 0.044203244149684906}",0.42969,0.81901,0.99049,68.20,4.40e-04,135739
2600,0.14014,"{""ntp"": 0.09744727611541748, ""jepa_pooled"": 0.04269490763545036}",0.56250,0.87240,0.99510,68.47,3.69e-04,135551
2800,0.14103,"{""ntp"": 0.0998779684305191, ""jepa_pooled"": 0.041150178760290146}",0.67969,0.92057,0.99795,68.15,3.04e-04,135353
3000,0.13569,"{""ntp"": 0.09531840682029724, ""jepa_pooled"": 0.04036751389503479}",0.69922,0.91927,0.99842,67.25,2.45e-04,134989
3200,0.13300,"{""ntp"": 0.0943361222743988, ""jepa_pooled"": 0.03866591677069664}",0.69531,0.92448,0.99530,67.28,1.95e-04,134745
3400,0.13107,"{""ntp"": 0.09291926771402359, ""jepa_pooled"": 0.038153063505887985}",0.76172,0.94531,0.99921,65.86,1.54e-04,134366
3600,0.14059,"{""ntp"": 0.10323109477758408, ""jepa_pooled"": 0.03735491633415222}",0.70312,0.92318,0.99505,66.12,1.24e-04,134010
3800,0.13071,"{""ntp"": 0.09498278796672821, ""jepa_pooled"": 0.03572426363825798}",0.76953,0.93880,0.99941,64.71,1.06e-04,133896
4000,0.12739,"{""ntp"": 0.09191343188285828, ""jepa_pooled"": 0.03547924384474754}",0.81641,0.95964,0.99896,65.56,1.00e-04,133838
