step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,2.42860,"{""ntp"": 2.389636754989624, ""jepa_pooled"": 0.03896263241767883}",0.00000,0.08661,0.71245,-0.01299,18.53,1.00e-03,184532
400,1.60884,"{""ntp"": 1.566707730293274, ""jepa_pooled"": 0.042128562927246094}",0.19141,0.54724,0.86094,-0.01308,22.52,9.94e-04,188810
600,1.52577,"{""ntp"": 1.4556025266647339, ""jepa_pooled"": 0.07017218321561813}",0.38281,0.51969,0.90763,-0.01171,24.26,9.76e-04,192511
800,1.50970,"{""ntp"": 1.4285577535629272, ""jepa_pooled"": 0.08114393800497055}",0.34375,0.49213,0.93330,-0.01097,26.44,9.46e-04,193368
1000,1.50989,"{""ntp"": 1.422957181930542, ""jepa_pooled"": 0.08693328499794006}",0.41406,0.57480,0.94970,-0.01098,27.28,9.05e-04,193881
1200,1.48108,"{""ntp"": 1.3953044414520264, ""jepa_pooled"": 0.08577821403741837}",0.41797,0.57480,0.95992,-0.01118,27.29,8.55e-04,194764
1400,1.48998,"{""ntp"": 1.405004620552063, ""jepa_pooled"": 0.08497192710638046}",0.46484,0.61417,0.96664,-0.01111,27.76,7.96e-04,194967
1600,1.47658,"{""ntp"": 1.3959349393844604, ""jepa_pooled"": 0.08064565807580948}",0.45703,0.58268,0.97122,-0.01106,28.19,7.31e-04,195174
1800,1.46567,"{""ntp"": 1.3898488283157349, ""jepa_pooled"": 0.07582131028175354}",0.57031,0.67323,0.97431,-0.01079,29.42,6.60e-04,195667
2000,1.45484,"{""ntp"": 1.3830937147140503, ""jepa_pooled"": 0.07174506038427353}",0.48438,0.62205,0.97689,-0.01098,29.03,5.87e-04,195748
2200,1.45304,"{""ntp"": 1.3827015161514282, ""jepa_pooled"": 0.07033739238977432}",0.52734,0.64961,0.97890,-0.01067,30.03,5.13e-04,195720
2400,1.43648,"{""ntp"": 1.3674839735031128, ""jepa_pooled"": 0.06899517774581909}",0.50391,0.62992,0.98026,-0.01060,30.03,4.40e-04,195993
2600,1.43072,"{""ntp"": 1.3626518249511719, ""jepa_pooled"": 0.06806568056344986}",0.55469,0.67323,0.98145,-0.01053,30.42,3.69e-04,196002
2800,1.43141,"{""ntp"": 1.3642582893371582, ""jepa_pooled"": 0.06714706867933273}",0.60156,0.74016,0.98237,-0.01077,30.94,3.04e-04,195926
3000,1.43455,"{""ntp"": 1.3681437969207764, ""jepa_pooled"": 0.06640308350324631}",0.63281,0.72835,0.98314,-0.01078,30.44,2.45e-04,196186
3200,1.41313,"{""ntp"": 1.3478562831878662, ""jepa_pooled"": 0.0652705654501915}",0.63281,0.70472,0.98364,-0.01067,30.61,1.95e-04,196275
3400,1.41323,"{""ntp"": 1.3481658697128296, ""jepa_pooled"": 0.06506619602441788}",0.64844,0.71260,0.98418,-0.01064,30.34,1.54e-04,197280
3600,1.41505,"{""ntp"": 1.350545883178711, ""jepa_pooled"": 0.0645013377070427}",0.60547,0.70079,0.98448,-0.01067,30.07,1.24e-04,198497
3800,1.40962,"{""ntp"": 1.3453421592712402, ""jepa_pooled"": 0.06428264081478119}",0.61328,0.70866,0.98475,-0.01053,30.20,1.06e-04,199562
4000,1.40809,"{""ntp"": 1.3441561460494995, ""jepa_pooled"": 0.06393864750862122}",0.65625,0.73622,0.98493,-0.01055,30.47,1.00e-04,199782
