step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.04231,"{""ntp"": 1.0219348669052124, ""jepa_pooled"": 0.02037022076547146}",0.00000,0.00000,0.12122,5.55,1.00e-03,215126
400,0.86496,"{""ntp"": 0.8473047614097595, ""jepa_pooled"": 0.01765897125005722}",0.00000,0.96875,0.13064,8.96,9.94e-04,226235
600,0.35321,"{""ntp"": 0.320558100938797, ""jepa_pooled"": 0.03265288099646568}",0.00781,0.21484,0.70258,14.83,9.76e-04,220212
800,0.28856,"{""ntp"": 0.25472787022590637, ""jepa_pooled"": 0.033832889050245285}",0.01953,0.23828,0.75560,20.46,9.46e-04,217264
1000,0.29030,"{""ntp"": 0.2583235502243042, ""jepa_pooled"": 0.03197486326098442}",0.01562,0.26562,0.76335,23.54,9.05e-04,215724
1200,0.28734,"{""ntp"": 0.2515210509300232, ""jepa_pooled"": 0.035819265991449356}",0.02734,0.21875,0.77442,25.27,8.55e-04,214730
1400,0.26297,"{""ntp"": 0.2285601794719696, ""jepa_pooled"": 0.03440525755286217}",0.00391,0.25391,0.76363,26.14,7.96e-04,214021
1600,0.26913,"{""ntp"": 0.23325346410274506, ""jepa_pooled"": 0.03588007017970085}",0.03125,0.31641,0.76588,27.12,7.31e-04,214640
1800,0.26618,"{""ntp"": 0.22836509346961975, ""jepa_pooled"": 0.037813201546669006}",0.04297,0.33594,0.79130,27.36,6.60e-04,218482
2000,0.26087,"{""ntp"": 0.21993665397167206, ""jepa_pooled"": 0.04092904180288315}",0.01562,0.32031,0.78335,28.47,5.87e-04,221669
2200,0.26231,"{""ntp"": 0.2188904881477356, ""jepa_pooled"": 0.04341575503349304}",0.00781,0.23047,0.76455,28.01,5.13e-04,221436
2400,0.25765,"{""ntp"": 0.21328002214431763, ""jepa_pooled"": 0.044370632618665695}",0.04688,0.34375,0.78472,29.33,4.40e-04,220299
2600,0.25578,"{""ntp"": 0.20918574929237366, ""jepa_pooled"": 0.04659292474389076}",0.02344,0.27734,0.78976,28.42,3.69e-04,219431
2800,0.25290,"{""ntp"": 0.20527371764183044, ""jepa_pooled"": 0.047629464417696}",0.02344,0.28906,0.78398,29.15,3.04e-04,218661
3000,0.25135,"{""ntp"": 0.20114052295684814, ""jepa_pooled"": 0.0502055287361145}",0.03125,0.35156,0.79983,28.96,2.45e-04,217935
3200,0.24986,"{""ntp"": 0.1985926777124405, ""jepa_pooled"": 0.05126430466771126}",0.07422,0.34766,0.80234,28.76,1.95e-04,217393
3400,0.24095,"{""ntp"": 0.1896524876356125, ""jepa_pooled"": 0.05129818990826607}",0.04297,0.33594,0.78559,27.81,1.54e-04,216880
3600,0.23810,"{""ntp"": 0.18428780138492584, ""jepa_pooled"": 0.05381003022193909}",0.04297,0.34375,0.79760,26.32,1.24e-04,216421
3800,0.23548,"{""ntp"": 0.18194158375263214, ""jepa_pooled"": 0.0535396970808506}",0.05859,0.34766,0.79169,26.31,1.06e-04,216011
4000,0.23175,"{""ntp"": 0.17836719751358032, ""jepa_pooled"": 0.053379081189632416}",0.05859,0.35547,0.80322,26.23,1.00e-04,215504
