step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.85185,"{""ntp"": 1.2117429971694946, ""mtp"": 0.6401063203811646}",0.00000,0.00000,0.05360,4.15,1.00e-03,248917
400,1.80023,"{""ntp"": 1.18940269947052, ""mtp"": 0.6108253598213196}",0.00000,0.00000,0.05822,4.38,9.94e-04,258525
600,1.73631,"{""ntp"": 1.1351431608200073, ""mtp"": 0.6011684536933899}",0.00000,0.00000,0.07043,6.65,9.76e-04,262169
800,1.51636,"{""ntp"": 0.9737731218338013, ""mtp"": 0.5425896048545837}",0.00000,0.00000,0.08272,14.84,9.46e-04,263911
1000,1.37340,"{""ntp"": 0.877800703048706, ""mtp"": 0.495602011680603}",0.00000,0.02344,0.08993,19.54,9.05e-04,265253
1200,1.29395,"{""ntp"": 0.8216496706008911, ""mtp"": 0.4722970128059387}",0.00000,0.00781,0.09002,26.08,8.55e-04,266063
1400,1.27331,"{""ntp"": 0.8021981120109558, ""mtp"": 0.4711165726184845}",0.00000,0.05859,0.08898,29.32,7.96e-04,266748
1600,1.23642,"{""ntp"": 0.7784945964813232, ""mtp"": 0.457923948764801}",0.00000,0.08594,0.09995,29.59,7.31e-04,267067
1800,1.20973,"{""ntp"": 0.760928750038147, ""mtp"": 0.4488058388233185}",0.00000,0.18750,0.09570,31.63,6.60e-04,271555
2000,1.18008,"{""ntp"": 0.7319112420082092, ""mtp"": 0.4481709599494934}",0.00000,0.46484,0.13110,37.82,5.87e-04,274284
2200,0.70250,"{""ntp"": 0.2700817883014679, ""mtp"": 0.43242064118385315}",0.00000,0.08203,0.70295,38.33,5.13e-04,273829
2400,0.61785,"{""ntp"": 0.24502015113830566, ""mtp"": 0.37283313274383545}",0.00000,0.12109,0.72683,39.62,4.40e-04,273250
2600,0.53322,"{""ntp"": 0.23151522874832153, ""mtp"": 0.3017040193080902}",0.00000,0.08984,0.73030,39.28,3.69e-04,272433
2800,0.49793,"{""ntp"": 0.22163324058055878, ""mtp"": 0.27630144357681274}",0.00000,0.09375,0.73817,38.43,3.04e-04,271761
3000,0.47521,"{""ntp"": 0.2090926468372345, ""mtp"": 0.2661193609237671}",0.00781,0.11328,0.75600,36.91,2.45e-04,271206
3200,0.47040,"{""ntp"": 0.20955748856067657, ""mtp"": 0.2608409821987152}",0.00391,0.10547,0.76078,37.28,1.95e-04,270654
3400,0.45340,"{""ntp"": 0.20344668626785278, ""mtp"": 0.24994853138923645}",0.00000,0.14453,0.74006,37.22,1.54e-04,270257
3600,0.44680,"{""ntp"": 0.19736966490745544, ""mtp"": 0.24943295121192932}",0.00000,0.12500,0.76145,36.15,1.24e-04,269837
3800,0.44827,"{""ntp"": 0.20122577250003815, ""mtp"": 0.24704816937446594}",0.00000,0.16797,0.75999,37.23,1.06e-04,269449
4000,0.44442,"{""ntp"": 0.20027346909046173, ""mtp"": 0.24414579570293427}",0.00391,0.13672,0.77501,37.72,1.00e-04,269161
