step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.55336,"{""ntp"": 0.5302062034606934, ""jepa_pooled"": 0.023151228204369545}",0.00000,0.00781,0.02223,30.46,1.00e-03,131448
400,0.22850,"{""ntp"": 0.18767304718494415, ""jepa_pooled"": 0.04082832857966423}",0.04297,0.31510,0.64952,42.83,9.94e-04,133240
600,0.20727,"{""ntp"": 0.1592225581407547, ""jepa_pooled"": 0.04805147647857666}",0.05469,0.47135,0.83884,51.11,9.76e-04,133783
800,0.19059,"{""ntp"": 0.1382705271244049, ""jepa_pooled"": 0.05231524258852005}",0.07422,0.54297,0.90304,57.66,9.46e-04,134047
1000,0.18706,"{""ntp"": 0.13310903310775757, ""jepa_pooled"": 0.05395308881998062}",0.08984,0.58203,0.95255,60.30,9.05e-04,134295
1200,0.18201,"{""ntp"": 0.1305365264415741, ""jepa_pooled"": 0.051471345126628876}",0.09375,0.59766,0.93325,65.52,8.55e-04,133869
1400,0.17913,"{""ntp"": 0.12695179879665375, ""jepa_pooled"": 0.052177995443344116}",0.11719,0.63411,0.95019,67.56,7.96e-04,134053
1600,0.17466,"{""ntp"": 0.12400241196155548, ""jepa_pooled"": 0.05065739154815674}",0.21484,0.68750,0.97202,69.44,7.31e-04,134041
1800,0.16447,"{""ntp"": 0.11451338231563568, ""jepa_pooled"": 0.04995891824364662}",0.31641,0.74870,0.98380,71.25,6.60e-04,134146
2000,0.16181,"{""ntp"": 0.11285146325826645, ""jepa_pooled"": 0.048957694321870804}",0.35547,0.76042,0.98444,71.71,5.87e-04,134127
2200,0.15576,"{""ntp"": 0.10670968890190125, ""jepa_pooled"": 0.04905495420098305}",0.42188,0.80599,0.98973,72.61,5.13e-04,134201
2400,0.15636,"{""ntp"": 0.10873042047023773, ""jepa_pooled"": 0.047629233449697495}",0.50391,0.84635,0.99459,72.89,4.40e-04,134215
2600,0.15224,"{""ntp"": 0.10601566731929779, ""jepa_pooled"": 0.04622485116124153}",0.53906,0.85807,0.99540,72.84,3.69e-04,134259
2800,0.14380,"{""ntp"": 0.09912804514169693, ""jepa_pooled"": 0.04467673972249031}",0.60547,0.87891,0.99395,72.78,3.04e-04,134262
3000,0.14038,"{""ntp"": 0.09672342985868454, ""jepa_pooled"": 0.04365941882133484}",0.62500,0.90104,0.99288,71.90,2.45e-04,134341
3200,0.13330,"{""ntp"": 0.09095963090658188, ""jepa_pooled"": 0.042345281690359116}",0.70703,0.92839,0.99702,71.92,1.95e-04,134313
3400,0.13544,"{""ntp"": 0.09405580908060074, ""jepa_pooled"": 0.04138357937335968}",0.72656,0.92318,0.99796,71.13,1.54e-04,134261
3600,0.13626,"{""ntp"": 0.09551621973514557, ""jepa_pooled"": 0.04074566811323166}",0.72266,0.92187,0.99914,70.27,1.24e-04,134226
3800,0.13782,"{""ntp"": 0.0976606234908104, ""jepa_pooled"": 0.040157705545425415}",0.80078,0.95573,0.99913,70.23,1.06e-04,134204
4000,0.12916,"{""ntp"": 0.08982425928115845, ""jepa_pooled"": 0.039335962384939194}",0.77734,0.94531,0.99888,69.74,1.00e-04,134189
