step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.12244,"{""ntp"": 1.1025863885879517, ""jepa_pooled"": 0.019856834784150124}",0.00000,0.00000,0.07391,4.10,1.00e-03,187992
400,0.84492,"{""ntp"": 0.8289533853530884, ""jepa_pooled"": 0.015962710604071617}",0.00000,0.88672,0.16572,8.27,9.94e-04,195589
600,0.32615,"{""ntp"": 0.29858121275901794, ""jepa_pooled"": 0.027569198980927467}",0.02344,0.30859,0.75472,16.40,9.76e-04,198332
800,0.28699,"{""ntp"": 0.25503069162368774, ""jepa_pooled"": 0.03196367621421814}",0.00781,0.21484,0.75328,18.27,9.46e-04,199895
1000,0.27473,"{""ntp"": 0.24242733418941498, ""jepa_pooled"": 0.032300107181072235}",0.01953,0.24609,0.75652,22.01,9.05e-04,200684
1200,0.28152,"{""ntp"": 0.24657213687896729, ""jepa_pooled"": 0.03494490683078766}",0.01953,0.21875,0.79134,20.96,8.55e-04,201251
1400,0.27852,"{""ntp"": 0.23889277875423431, ""jepa_pooled"": 0.039629947394132614}",0.01953,0.14062,0.76780,22.82,7.96e-04,201676
1600,0.27289,"{""ntp"": 0.2301989495754242, ""jepa_pooled"": 0.04269372299313545}",0.01562,0.25781,0.76437,22.95,7.31e-04,202897
1800,0.27397,"{""ntp"": 0.22793708741664886, ""jepa_pooled"": 0.04603291675448418}",0.04297,0.19922,0.77135,22.87,6.60e-04,203787
2000,0.27682,"{""ntp"": 0.22661210596561432, ""jepa_pooled"": 0.05021234229207039}",0.02734,0.16406,0.77522,22.81,5.87e-04,204483
2200,0.26710,"{""ntp"": 0.21448685228824615, ""jepa_pooled"": 0.052608270198106766}",0.02344,0.20312,0.77231,23.33,5.13e-04,204995
2400,0.26699,"{""ntp"": 0.21228094398975372, ""jepa_pooled"": 0.05470745265483856}",0.03516,0.17188,0.77800,22.82,4.40e-04,205437
2600,0.26444,"{""ntp"": 0.20918650925159454, ""jepa_pooled"": 0.05525205656886101}",0.02734,0.21875,0.77837,22.36,3.69e-04,205799
2800,0.26426,"{""ntp"": 0.20684465765953064, ""jepa_pooled"": 0.05741037055850029}",0.01562,0.21094,0.76698,21.05,3.04e-04,206091
3000,0.25634,"{""ntp"": 0.19870978593826294, ""jepa_pooled"": 0.05763038247823715}",0.02344,0.19141,0.76880,20.33,2.45e-04,206298
3200,0.25260,"{""ntp"": 0.19466322660446167, ""jepa_pooled"": 0.0579337403178215}",0.04297,0.19141,0.77643,20.77,1.95e-04,206522
3400,0.26023,"{""ntp"": 0.2008344531059265, ""jepa_pooled"": 0.05939130857586861}",0.03125,0.22656,0.77914,19.96,1.54e-04,206697
3600,0.25062,"{""ntp"": 0.1913098692893982, ""jepa_pooled"": 0.059312254190444946}",0.07812,0.25391,0.78223,18.83,1.24e-04,207503
3800,0.25223,"{""ntp"": 0.19299738109111786, ""jepa_pooled"": 0.05922963097691536}",0.04688,0.24219,0.76566,17.82,1.06e-04,209546
4000,0.24557,"{""ntp"": 0.18659301102161407, ""jepa_pooled"": 0.058972857892513275}",0.06250,0.20703,0.77724,17.72,1.00e-04,211375
