step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,1.56269,"{""ntp"": 0.5444946885108948, ""mtp"": 1.0181910991668701}",0.00000,0.00521,0.01119,23.35,1.00e-03,123142
400,0.95915,"{""ntp"": 0.2100335955619812, ""mtp"": 0.7491142153739929}",0.01953,0.33073,0.60253,39.06,9.94e-04,125334
600,0.76549,"{""ntp"": 0.17398345470428467, ""mtp"": 0.5915067791938782}",0.03906,0.43750,0.82814,49.18,9.76e-04,125560
800,0.62954,"{""ntp"": 0.1503649204969406, ""mtp"": 0.47917404770851135}",0.06250,0.54557,0.93305,56.10,9.46e-04,126685
1000,0.53804,"{""ntp"": 0.1294178068637848, ""mtp"": 0.4086266756057739}",0.05859,0.50130,0.92980,61.16,9.05e-04,127234
1200,0.50271,"{""ntp"": 0.12863874435424805, ""mtp"": 0.37407439947128296}",0.17188,0.64974,0.95172,64.11,8.55e-04,127789
1400,0.47314,"{""ntp"": 0.12220202386379242, ""mtp"": 0.3509422838687897}",0.25781,0.70443,0.98764,67.95,7.96e-04,129637
1600,0.46203,"{""ntp"": 0.12054002285003662, ""mtp"": 0.3414859175682068}",0.32422,0.77344,0.97367,69.37,7.31e-04,131429
1800,0.39815,"{""ntp"": 0.1054997369647026, ""mtp"": 0.2926483154296875}",0.36328,0.77604,0.98357,69.47,6.60e-04,132705
2000,0.41639,"{""ntp"": 0.11226282268762589, ""mtp"": 0.30412980914115906}",0.45312,0.82812,0.97897,69.56,5.87e-04,132558
2200,0.38811,"{""ntp"": 0.10254150629043579, ""mtp"": 0.28557103872299194}",0.60156,0.88802,0.99233,70.63,5.13e-04,132471
2400,0.36774,"{""ntp"": 0.10007800906896591, ""mtp"": 0.26766109466552734}",0.58984,0.86328,0.98726,69.11,4.40e-04,132438
2600,0.37223,"{""ntp"": 0.10112980008125305, ""mtp"": 0.2711045444011688}",0.69922,0.90755,0.99544,70.16,3.69e-04,132303
2800,0.33844,"{""ntp"": 0.08968069404363632, ""mtp"": 0.24876262247562408}",0.62891,0.89323,0.99372,67.88,3.04e-04,132145
3000,0.33902,"{""ntp"": 0.08996550738811493, ""mtp"": 0.24905285239219666}",0.72266,0.93750,0.99847,70.25,2.45e-04,132279
3200,0.33942,"{""ntp"": 0.09154736250638962, ""mtp"": 0.24787157773971558}",0.74609,0.93620,0.99900,68.15,1.95e-04,132267
3400,0.35167,"{""ntp"": 0.09475351125001907, ""mtp"": 0.2569182515144348}",0.74609,0.93490,0.99936,68.59,1.54e-04,132516
3600,0.32726,"{""ntp"": 0.09030929952859879, ""mtp"": 0.23694591224193573}",0.78516,0.94531,0.99918,67.00,1.24e-04,132465
3800,0.32063,"{""ntp"": 0.08676622062921524, ""mtp"": 0.23386722803115845}",0.86719,0.96484,0.99860,67.69,1.06e-04,132473
4000,0.31645,"{""ntp"": 0.08527146279811859, ""mtp"": 0.2311805933713913}",0.84375,0.95833,0.99854,67.09,1.00e-04,132386
