step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.85929,"{""ntp"": 3.859288454055786}",0.00000,0.25000,0.57528,-0.00672,11.89,1.00e-03,300707
400,3.24233,"{""ntp"": 3.2423315048217773}",0.03516,0.37698,0.72772,-0.00983,16.06,9.94e-04,319747
600,2.91669,"{""ntp"": 2.916687488555908}",0.16016,0.45635,0.78257,-0.01125,18.46,9.76e-04,323663
800,2.79220,"{""ntp"": 2.7922043800354004}",0.37891,0.57143,0.80892,-0.01196,19.61,9.46e-04,314523
1000,2.76035,"{""ntp"": 2.76035475730896}",0.34766,0.53571,0.82676,-0.01223,19.63,9.05e-04,307204
1200,2.72629,"{""ntp"": 2.7262890338897705}",0.40234,0.53571,0.84062,-0.01240,20.05,8.55e-04,303923
1400,2.71017,"{""ntp"": 2.7101728916168213}",0.46094,0.61508,0.85124,-0.01254,19.58,7.96e-04,300944
1600,2.72120,"{""ntp"": 2.7212018966674805}",0.42578,0.55556,0.85932,-0.01250,20.76,7.31e-04,299705
1800,2.70571,"{""ntp"": 2.705714464187622}",0.46875,0.61508,0.86607,-0.01243,20.02,6.60e-04,297809
2000,2.70511,"{""ntp"": 2.705111503601074}",0.48438,0.60714,0.87128,-0.01228,20.78,5.87e-04,297139
2200,2.67309,"{""ntp"": 2.6730878353118896}",0.48438,0.60714,0.87576,-0.01212,20.50,5.13e-04,297041
2400,2.67853,"{""ntp"": 2.67852783203125}",0.51562,0.65476,0.87850,-0.01187,20.71,4.40e-04,298053
2600,2.67531,"{""ntp"": 2.6753056049346924}",0.54688,0.65079,0.88109,-0.01170,20.73,3.69e-04,299004
2800,2.66963,"{""ntp"": 2.6696290969848633}",0.55078,0.63095,0.88250,-0.01150,20.49,3.04e-04,299817
3000,2.65372,"{""ntp"": 2.6537203788757324}",0.58594,0.69048,0.88371,-0.01120,20.71,2.45e-04,300308
3200,2.65231,"{""ntp"": 2.652310371398926}",0.53906,0.65079,0.88445,-0.01106,20.87,1.95e-04,300511
3400,2.64805,"{""ntp"": 2.6480517387390137}",0.58984,0.68254,0.88489,-0.01091,20.58,1.54e-04,301247
3600,2.64017,"{""ntp"": 2.640169143676758}",0.60156,0.69444,0.88518,-0.01078,20.52,1.24e-04,303589
3800,2.65178,"{""ntp"": 2.651777982711792}",0.61328,0.71032,0.88539,-0.01068,20.64,1.06e-04,304666
4000,2.65259,"{""ntp"": 2.652587652206421}",0.59375,0.69444,0.88549,-0.01059,20.50,1.00e-04,304963
