step,loss,loss_parts,set_acc,path_valid,len_ratio,erank_last,lr,tok_per_s
200,0.69615,"{""ntp"": 0.696148157119751}",0.00000,0.00000,0.00000,28.97,1.00e-03,90249
400,0.18444,"{""ntp"": 0.18444038927555084}",0.16406,0.44531,0.38177,38.38,9.94e-04,91470
600,0.12854,"{""ntp"": 0.128538578748703}",0.30469,0.73438,0.63529,44.01,9.76e-04,92384
800,0.11699,"{""ntp"": 0.11698713898658752}",0.39453,0.80859,0.70404,48.04,9.46e-04,92576
1000,0.10069,"{""ntp"": 0.10068635642528534}",0.48047,0.82422,0.73356,50.63,9.05e-04,93276
1200,0.09310,"{""ntp"": 0.09309503436088562}",0.57031,0.91797,0.83006,51.62,8.55e-04,93292
1400,0.08610,"{""ntp"": 0.08610088378190994}",0.58594,0.96094,0.86335,52.88,7.96e-04,93183
1600,0.08772,"{""ntp"": 0.08771780133247375}",0.58203,0.96484,0.85262,54.17,7.31e-04,93256
1800,0.07785,"{""ntp"": 0.07784678041934967}",0.54688,0.96094,0.86602,54.36,6.60e-04,93387
2000,0.07266,"{""ntp"": 0.07265716046094894}",0.64844,0.96875,0.87706,54.68,5.87e-04,93478
2200,0.07403,"{""ntp"": 0.07403448224067688}",0.69141,0.98438,0.90717,56.86,5.13e-04,93454
2400,0.06479,"{""ntp"": 0.06478743255138397}",0.70703,0.98438,0.91760,56.79,4.40e-04,93383
2600,0.06474,"{""ntp"": 0.06474021077156067}",0.66797,0.97656,0.90653,56.82,3.69e-04,93404
2800,0.06225,"{""ntp"": 0.06225070729851723}",0.75000,0.99609,0.93746,55.29,3.04e-04,93829
3000,0.05484,"{""ntp"": 0.054844148457050323}",0.78906,0.98828,0.93970,56.56,2.45e-04,94209
3200,0.06113,"{""ntp"": 0.06113158538937569}",0.81250,0.98828,0.95456,56.98,1.95e-04,94562
3400,0.06355,"{""ntp"": 0.06354780495166779}",0.79688,0.99609,0.95847,56.17,1.54e-04,94886
3600,0.05922,"{""ntp"": 0.05921519920229912}",0.80859,0.99609,0.96011,56.57,1.24e-04,95277
3800,0.05227,"{""ntp"": 0.0522686205804348}",0.82031,0.99219,0.95725,56.53,1.06e-04,95616
4000,0.04958,"{""ntp"": 0.04958179220557213}",0.83984,0.98828,0.95927,55.94,1.00e-04,95931
