step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,2.22095,"{""ntp"": 2.188730478286743, ""jepa_pooled"": 0.03221974894404411}",0.00391,0.29317,0.72182,-0.01285,18.23,1.00e-03,198762
400,1.59256,"{""ntp"": 1.5619813203811646, ""jepa_pooled"": 0.03057408705353737}",0.17969,0.50602,0.84993,-0.01312,20.62,9.94e-04,205001
600,1.50106,"{""ntp"": 1.45399010181427, ""jepa_pooled"": 0.04706604778766632}",0.35156,0.58233,0.90015,-0.01184,23.16,9.76e-04,206744
800,1.47736,"{""ntp"": 1.4336814880371094, ""jepa_pooled"": 0.04368080571293831}",0.36719,0.54618,0.92825,-0.01046,24.42,9.46e-04,207392
1000,1.45141,"{""ntp"": 1.4104421138763428, ""jepa_pooled"": 0.0409713089466095}",0.41016,0.59036,0.94525,-0.00991,24.61,9.05e-04,206772
1200,1.45007,"{""ntp"": 1.4081127643585205, ""jepa_pooled"": 0.041961535811424255}",0.42578,0.60241,0.95642,-0.00993,25.33,8.55e-04,207382
1400,1.44580,"{""ntp"": 1.4042229652404785, ""jepa_pooled"": 0.04157313331961632}",0.45703,0.57028,0.96357,-0.01011,24.86,7.96e-04,207737
1600,1.42918,"{""ntp"": 1.3866549730300903, ""jepa_pooled"": 0.04252156987786293}",0.48438,0.61847,0.96862,-0.01016,25.44,7.31e-04,207727
1800,1.42802,"{""ntp"": 1.3853075504302979, ""jepa_pooled"": 0.0427171029150486}",0.52344,0.64257,0.97256,-0.00993,25.66,6.60e-04,208174
2000,1.43332,"{""ntp"": 1.3906633853912354, ""jepa_pooled"": 0.04265814274549484}",0.50781,0.62651,0.97513,-0.00992,25.68,5.87e-04,208524
2200,1.42252,"{""ntp"": 1.3797276020050049, ""jepa_pooled"": 0.042792946100234985}",0.55859,0.68273,0.97704,-0.00980,26.01,5.13e-04,208759
2400,1.41886,"{""ntp"": 1.376892328262329, ""jepa_pooled"": 0.04196813330054283}",0.57031,0.67068,0.97881,-0.00971,25.99,4.40e-04,208582
2600,1.40873,"{""ntp"": 1.3668859004974365, ""jepa_pooled"": 0.041840847581624985}",0.55859,0.65863,0.97993,-0.00960,25.98,3.69e-04,208949
2800,1.40184,"{""ntp"": 1.3607003688812256, ""jepa_pooled"": 0.0411432646214962}",0.57812,0.66667,0.98087,-0.00941,25.78,3.04e-04,209241
3000,1.40276,"{""ntp"": 1.3615272045135498, ""jepa_pooled"": 0.04123387858271599}",0.57422,0.66667,0.98155,-0.00919,25.77,2.45e-04,209537
3200,1.39800,"{""ntp"": 1.3564611673355103, ""jepa_pooled"": 0.0415358692407608}",0.59766,0.68273,0.98213,-0.00905,25.87,1.95e-04,209798
3400,1.39855,"{""ntp"": 1.3571101427078247, ""jepa_pooled"": 0.04144292324781418}",0.63672,0.72691,0.98258,-0.00887,25.83,1.54e-04,209967
3600,1.39067,"{""ntp"": 1.3496191501617432, ""jepa_pooled"": 0.04105112701654434}",0.66797,0.72691,0.98291,-0.00879,25.65,1.24e-04,210137
3800,1.39835,"{""ntp"": 1.3574192523956299, ""jepa_pooled"": 0.040927670896053314}",0.66797,0.75100,0.98313,-0.00866,25.67,1.06e-04,210249
4000,1.37932,"{""ntp"": 1.3385440111160278, ""jepa_pooled"": 0.04077145457267761}",0.66406,0.73896,0.98331,-0.00858,25.80,1.00e-04,210357
