step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.94182,"{""ntp"": 3.918804168701172, ""jepa_pooled"": 0.023019084706902504}",0.00000,0.03543,0.57234,-0.00830,13.53,1.00e-03,197739
400,2.97197,"{""ntp"": 2.954556465148926, ""jepa_pooled"": 0.0174166951328516}",0.09766,0.43701,0.76198,-0.01374,15.61,9.94e-04,202241
600,2.93341,"{""ntp"": 2.8804216384887695, ""jepa_pooled"": 0.05299152433872223}",0.17969,0.46457,0.80951,-0.01503,17.43,9.76e-04,204324
800,2.88827,"{""ntp"": 2.795825481414795, ""jepa_pooled"": 0.0924396887421608}",0.26953,0.52362,0.83552,-0.01526,19.10,9.46e-04,206290
1000,2.86923,"{""ntp"": 2.760693311691284, ""jepa_pooled"": 0.10853885859251022}",0.36719,0.57087,0.85304,-0.01545,20.30,9.05e-04,207595
1200,2.84459,"{""ntp"": 2.7337899208068848, ""jepa_pooled"": 0.11079566925764084}",0.35547,0.51969,0.86580,-0.01533,21.14,8.55e-04,208386
1400,2.83057,"{""ntp"": 2.723419427871704, ""jepa_pooled"": 0.10715340077877045}",0.46094,0.60236,0.87585,-0.01522,20.92,7.96e-04,209047
1600,2.80244,"{""ntp"": 2.7005627155303955, ""jepa_pooled"": 0.10187296569347382}",0.49609,0.62992,0.88408,-0.01487,21.70,7.31e-04,209479
1800,2.79711,"{""ntp"": 2.701085329055786, ""jepa_pooled"": 0.09602109342813492}",0.44531,0.55512,0.89002,-0.01464,22.20,6.60e-04,209902
2000,2.79000,"{""ntp"": 2.697655200958252, ""jepa_pooled"": 0.09234286844730377}",0.53516,0.63386,0.89536,-0.01445,22.37,5.87e-04,210170
2200,2.77248,"{""ntp"": 2.685697555541992, ""jepa_pooled"": 0.08677861094474792}",0.50391,0.63386,0.89909,-0.01431,22.34,5.13e-04,210460
2400,2.74290,"{""ntp"": 2.6591968536376953, ""jepa_pooled"": 0.08370660245418549}",0.52734,0.65748,0.90225,-0.01422,22.60,4.40e-04,210645
2600,2.73719,"{""ntp"": 2.6578497886657715, ""jepa_pooled"": 0.07934252172708511}",0.56641,0.65354,0.90484,-0.01410,22.34,3.69e-04,210845
2800,2.72879,"{""ntp"": 2.651749849319458, ""jepa_pooled"": 0.07704298943281174}",0.57031,0.68504,0.90678,-0.01405,22.56,3.04e-04,210968
3000,2.72263,"{""ntp"": 2.648167848587036, ""jepa_pooled"": 0.07446528226137161}",0.62109,0.70866,0.90831,-0.01394,22.24,2.45e-04,211122
3200,2.71360,"{""ntp"": 2.6408586502075195, ""jepa_pooled"": 0.07274423539638519}",0.60938,0.70079,0.90933,-0.01390,22.34,1.95e-04,211203
3400,2.71535,"{""ntp"": 2.6442484855651855, ""jepa_pooled"": 0.07109729945659637}",0.61328,0.68110,0.91004,-0.01382,22.21,1.54e-04,211310
3600,2.71849,"{""ntp"": 2.648683547973633, ""jepa_pooled"": 0.06980592757463455}",0.60938,0.68110,0.91051,-0.01376,22.47,1.24e-04,211399
3800,2.70886,"{""ntp"": 2.6401216983795166, ""jepa_pooled"": 0.06873683631420135}",0.66797,0.73228,0.91087,-0.01366,22.40,1.06e-04,211454
4000,2.70749,"{""ntp"": 2.6391983032226562, ""jepa_pooled"": 0.06828997284173965}",0.62109,0.69685,0.91110,-0.01361,22.28,1.00e-04,211557
