step,loss,loss_parts,embed_acc,perm_valid,edge_f1,erank_last,lr,tok_per_s
200,1.68900,"{""ntp"": 1.1056321859359741, ""mtp"": 0.5833705067634583}",0.00000,0.00000,0.07506,3.92,1.00e-03,180111
400,1.44555,"{""ntp"": 0.9209535717964172, ""mtp"": 0.5245950818061829}",0.00000,0.19922,0.13284,8.46,9.94e-04,187712
600,1.19443,"{""ntp"": 0.7419105768203735, ""mtp"": 0.4525150656700134}",0.00000,0.85547,0.14156,17.84,9.76e-04,199614
800,1.10926,"{""ntp"": 0.6791695952415466, ""mtp"": 0.4300854802131653}",0.00000,1.00000,0.14415,23.84,9.46e-04,198603
1000,1.07680,"{""ntp"": 0.6544685959815979, ""mtp"": 0.42233335971832275}",0.00000,0.95703,0.15232,24.05,9.05e-04,200596
1200,0.69187,"{""ntp"": 0.27500012516975403, ""mtp"": 0.4168722331523895}",0.01562,0.24609,0.73239,30.74,8.55e-04,202336
1400,0.52453,"{""ntp"": 0.2354169487953186, ""mtp"": 0.28911247849464417}",0.02344,0.16797,0.76894,38.67,7.96e-04,204989
1600,0.46313,"{""ntp"": 0.21778088808059692, ""mtp"": 0.24534909427165985}",0.03125,0.33203,0.80580,38.78,7.31e-04,210059
1800,0.46217,"{""ntp"": 0.21232661604881287, ""mtp"": 0.24984505772590637}",0.04297,0.39062,0.82469,43.06,6.60e-04,212790
2000,0.41873,"{""ntp"": 0.19466742873191833, ""mtp"": 0.22406665980815887}",0.04688,0.38281,0.82546,43.95,5.87e-04,211446
2200,0.41346,"{""ntp"": 0.19406439363956451, ""mtp"": 0.21939349174499512}",0.05078,0.35156,0.82408,43.29,5.13e-04,210292
2400,0.40524,"{""ntp"": 0.1904851347208023, ""mtp"": 0.21475572884082794}",0.06641,0.34766,0.82093,44.02,4.40e-04,209262
2600,0.38722,"{""ntp"": 0.18037402629852295, ""mtp"": 0.20684681832790375}",0.04688,0.37500,0.82945,42.29,3.69e-04,208266
2800,0.38989,"{""ntp"": 0.18161676824092865, ""mtp"": 0.20826862752437592}",0.04688,0.34766,0.82784,40.77,3.04e-04,207464
3000,0.38159,"{""ntp"": 0.18000434339046478, ""mtp"": 0.2015840709209442}",0.07422,0.36719,0.83472,40.69,2.45e-04,206542
3200,0.37025,"{""ntp"": 0.17458702623844147, ""mtp"": 0.19566302001476288}",0.10938,0.42188,0.85309,40.52,1.95e-04,205898
3400,0.37012,"{""ntp"": 0.1732485592365265, ""mtp"": 0.19686709344387054}",0.07812,0.35156,0.83819,38.43,1.54e-04,205184
3600,0.36660,"{""ntp"": 0.17377933859825134, ""mtp"": 0.19281640648841858}",0.07812,0.32422,0.84205,39.38,1.24e-04,204605
3800,0.36424,"{""ntp"": 0.1717916876077652, ""mtp"": 0.19244995713233948}",0.09375,0.35938,0.84153,38.48,1.06e-04,204076
4000,0.36250,"{""ntp"": 0.17008014023303986, ""mtp"": 0.19241784512996674}",0.06641,0.32031,0.82075,39.37,1.00e-04,204446
