step,loss,loss_parts,path_acc,decision_acc,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,6.68346,"{""ntp"": 3.9553916454315186, ""mtp"": 2.7280659675598145}",0.00000,0.05118,0.60277,-0.00694,14.51,1.00e-03,199668
400,5.28660,"{""ntp"": 2.822047472000122, ""mtp"": 2.4645512104034424}",0.22656,0.47244,0.76722,-0.00816,21.94,9.94e-04,206265
600,5.13105,"{""ntp"": 2.7686543464660645, ""mtp"": 2.3623909950256348}",0.28906,0.48031,0.81422,-0.00857,28.71,9.76e-04,208913
800,5.05476,"{""ntp"": 2.7516071796417236, ""mtp"": 2.303149461746216}",0.39062,0.57087,0.84390,-0.00871,33.13,9.46e-04,210198
1000,4.96481,"{""ntp"": 2.733675241470337, ""mtp"": 2.2311313152313232}",0.43750,0.58268,0.86522,-0.00849,34.30,9.05e-04,211103
1200,4.88511,"{""ntp"": 2.7202892303466797, ""mtp"": 2.164822578430176}",0.45703,0.57874,0.88084,-0.00809,36.26,8.55e-04,211626
1400,4.82260,"{""ntp"": 2.70924711227417, ""mtp"": 2.113349199295044}",0.52734,0.62598,0.89302,-0.00785,42.79,7.96e-04,212079
1600,4.73180,"{""ntp"": 2.6947154998779297, ""mtp"": 2.0370852947235107}",0.49219,0.63386,0.90212,-0.00749,44.31,7.31e-04,212303
1800,4.68606,"{""ntp"": 2.7002508640289307, ""mtp"": 1.9858070611953735}",0.46875,0.55512,0.90894,-0.00717,42.36,6.60e-04,212525
2000,4.59612,"{""ntp"": 2.6746819019317627, ""mtp"": 1.9214426279067993}",0.58203,0.64567,0.91429,-0.00695,46.07,5.87e-04,212631
2200,4.55192,"{""ntp"": 2.660226821899414, ""mtp"": 1.891689658164978}",0.58984,0.65748,0.91848,-0.00662,39.71,5.13e-04,212785
2400,4.53982,"{""ntp"": 2.6493303775787354, ""mtp"": 1.8904920816421509}",0.68750,0.74016,0.92155,-0.00643,38.80,4.40e-04,212869
2600,4.50143,"{""ntp"": 2.6474030017852783, ""mtp"": 1.854029893875122}",0.71094,0.75984,0.92406,-0.00617,44.84,3.69e-04,213002
2800,4.46290,"{""ntp"": 2.6375231742858887, ""mtp"": 1.8253724575042725}",0.71484,0.76378,0.92585,-0.00593,40.27,3.04e-04,213084
3000,4.43639,"{""ntp"": 2.6413662433624268, ""mtp"": 1.79502272605896}",0.75781,0.79134,0.92745,-0.00568,43.46,2.45e-04,213230
3200,4.40359,"{""ntp"": 2.6305649280548096, ""mtp"": 1.77302885055542}",0.78125,0.81890,0.92847,-0.00547,41.13,1.95e-04,213330
3400,4.41285,"{""ntp"": 2.628582000732422, ""mtp"": 1.784272313117981}",0.78125,0.81102,0.92929,-0.00528,39.83,1.54e-04,213447
3600,4.37559,"{""ntp"": 2.627791404724121, ""mtp"": 1.7478033304214478}",0.78516,0.81890,0.92990,-0.00513,38.74,1.24e-04,213527
3800,4.37053,"{""ntp"": 2.626061201095581, ""mtp"": 1.7444730997085571}",0.81250,0.84646,0.93031,-0.00497,42.85,1.06e-04,213629
4000,4.38112,"{""ntp"": 2.6225597858428955, ""mtp"": 1.7585561275482178}",0.83203,0.85433,0.93060,-0.00484,40.82,1.00e-04,213678
