step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,3.38659,"{""ntp"": 3.3865914344787598}",0.00000,0.00391,0.00708,0.69163,-0.01964,15.76,1.00e-03,117976
400,2.91876,"{""ntp"": 2.91875958442688}",0.00391,0.19792,0.33277,0.81028,-0.02041,20.65,9.94e-04,120287
600,2.85313,"{""ntp"": 2.853130578994751}",0.00391,0.53646,0.73698,0.84937,-0.01927,24.75,9.76e-04,121079
800,2.82553,"{""ntp"": 2.825532913208008}",0.01953,0.55599,0.76968,0.87551,-0.01848,26.46,9.46e-04,121511
1000,2.80746,"{""ntp"": 2.807462453842163}",0.03906,0.59245,0.85407,0.89449,-0.01774,28.23,9.05e-04,121794
1200,2.79743,"{""ntp"": 2.7974328994750977}",0.06641,0.65755,0.87555,0.90836,-0.01739,28.38,8.55e-04,121951
1400,2.78745,"{""ntp"": 2.787449359893799}",0.04688,0.73307,0.92075,0.91917,-0.01700,28.96,7.96e-04,122084
1600,2.79008,"{""ntp"": 2.7900772094726562}",0.13281,0.76432,0.92470,0.92704,-0.01658,28.73,7.31e-04,122175
1800,2.77634,"{""ntp"": 2.776339530944824}",0.12500,0.79557,0.93654,0.93321,-0.01627,29.23,6.60e-04,122233
2000,2.76996,"{""ntp"": 2.7699599266052246}",0.24219,0.82422,0.96583,0.93800,-0.01596,29.11,5.87e-04,122290
2200,2.76755,"{""ntp"": 2.7675528526306152}",0.24609,0.83854,0.96312,0.94188,-0.01564,29.12,5.13e-04,122348
2400,2.75780,"{""ntp"": 2.7577950954437256}",0.35938,0.86979,0.97461,0.94495,-0.01541,29.14,4.40e-04,122366
2600,2.75587,"{""ntp"": 2.755869150161743}",0.41016,0.88151,0.97906,0.94730,-0.01525,29.40,3.69e-04,122382
2800,2.75121,"{""ntp"": 2.7512123584747314}",0.49609,0.91667,0.98824,0.94918,-0.01515,29.10,3.04e-04,122406
3000,2.74745,"{""ntp"": 2.7474539279937744}",0.53516,0.92708,0.98825,0.95063,-0.01508,29.47,2.45e-04,122432
3200,2.74701,"{""ntp"": 2.747006416320801}",0.53906,0.91276,0.98502,0.95169,-0.01500,29.51,1.95e-04,122461
3400,2.74382,"{""ntp"": 2.743821382522583}",0.59375,0.93229,0.98919,0.95250,-0.01499,29.02,1.54e-04,122482
3600,2.73759,"{""ntp"": 2.7375903129577637}",0.65625,0.95443,0.99415,0.95310,-0.01497,29.46,1.24e-04,122510
3800,2.74172,"{""ntp"": 2.741720199584961}",0.61719,0.95833,0.99428,0.95358,-0.01493,29.28,1.06e-04,122534
4000,2.73814,"{""ntp"": 2.73813533782959}",0.67188,0.95182,0.99365,0.95400,-0.01490,29.27,1.00e-04,122552
