step,loss,loss_parts,set_acc,path_valid,len_ratio,syn_cos_within,syn_cos_between,erank_last,lr,tok_per_s
200,5.83172,"{""ntp"": 3.4258804321289062, ""mtp"": 2.4058380126953125}",0.00000,0.00130,0.00323,0.70195,-0.02059,15.72,1.00e-03,113362
400,5.12698,"{""ntp"": 2.9163734912872314, ""mtp"": 2.2106106281280518}",0.00000,0.18490,0.33484,0.83083,-0.02235,26.57,9.94e-04,114956
600,4.93449,"{""ntp"": 2.8541462421417236, ""mtp"": 2.0803442001342773}",0.00000,0.45573,0.64389,0.87019,-0.02238,33.79,9.76e-04,115608
800,4.78046,"{""ntp"": 2.822648525238037, ""mtp"": 1.9578129053115845}",0.02734,0.64583,0.82019,0.89599,-0.02234,41.23,9.46e-04,115877
1000,4.66546,"{""ntp"": 2.80257511138916, ""mtp"": 1.8628841638565063}",0.09375,0.66016,0.88907,0.91480,-0.02245,45.93,9.05e-04,116078
1200,4.60352,"{""ntp"": 2.792262315750122, ""mtp"": 1.811256766319275}",0.10547,0.71484,0.90360,0.92840,-0.02251,52.23,8.55e-04,116319
1400,4.56309,"{""ntp"": 2.779792547225952, ""mtp"": 1.783299446105957}",0.14844,0.76042,0.92599,0.93869,-0.02247,56.67,7.96e-04,116574
1600,4.51294,"{""ntp"": 2.772484540939331, ""mtp"": 1.7404515743255615}",0.21875,0.81250,0.95522,0.94621,-0.02251,61.31,7.31e-04,116711
1800,4.49075,"{""ntp"": 2.771676540374756, ""mtp"": 1.7190724611282349}",0.24219,0.78906,0.95832,0.95209,-0.02255,63.79,6.60e-04,116815
2000,4.44781,"{""ntp"": 2.7567760944366455, ""mtp"": 1.6910301446914673}",0.37500,0.85547,0.98228,0.95659,-0.02253,65.53,5.87e-04,116908
2200,4.42547,"{""ntp"": 2.7535784244537354, ""mtp"": 1.671886920928955}",0.42578,0.86849,0.97938,0.96009,-0.02245,65.88,5.13e-04,116944
2400,4.40628,"{""ntp"": 2.749401092529297, ""mtp"": 1.656877040863037}",0.58594,0.89583,0.98265,0.96281,-0.02244,66.24,4.40e-04,117015
2600,4.38726,"{""ntp"": 2.7468903064727783, ""mtp"": 1.6403648853302002}",0.53516,0.89193,0.98766,0.96480,-0.02242,65.85,3.69e-04,117078
2800,4.39375,"{""ntp"": 2.7454233169555664, ""mtp"": 1.6483279466629028}",0.53125,0.90625,0.98898,0.96642,-0.02240,66.11,3.04e-04,117136
3000,4.37341,"{""ntp"": 2.7425596714019775, ""mtp"": 1.630846619606018}",0.62500,0.92448,0.98936,0.96766,-0.02243,64.21,2.45e-04,117221
3200,4.35481,"{""ntp"": 2.73575758934021, ""mtp"": 1.6190531253814697}",0.69922,0.93750,0.99191,0.96865,-0.02242,64.36,1.95e-04,117274
3400,4.34982,"{""ntp"": 2.739325761795044, ""mtp"": 1.6104952096939087}",0.69922,0.94141,0.99620,0.96937,-0.02244,62.31,1.54e-04,117322
3600,4.34170,"{""ntp"": 2.7351717948913574, ""mtp"": 1.6065266132354736}",0.69922,0.94401,0.99548,0.96993,-0.02245,62.12,1.24e-04,117363
3800,4.34065,"{""ntp"": 2.733030319213867, ""mtp"": 1.6076176166534424}",0.75391,0.95833,0.99783,0.97038,-0.02246,61.03,1.06e-04,117397
4000,4.34771,"{""ntp"": 2.7389028072357178, ""mtp"": 1.6088091135025024}",0.71094,0.95443,0.99744,0.97073,-0.02245,61.03,1.00e-04,117440
